role,source,offset,target_mrp,candidate_record_index_272,candidate_record_start,pre32_hex,post64_hex
loose_runtime_cfg,gwy/cfg.bin,14,gwy/roomlist.mrp,,,00043338000600151a00000003e8,6777792f726f6f6d6c6973742e6d727000000000000000000000000000000000000000000000000000001100000008096777792f67627277636f72652e6d7270
loose_runtime_cfg,gwy/cfg.bin,62,gwy/gbrwcore.mrp,,,0000000000000000000000000000000000000000000000000000110000000809,6777792f67627277636f72652e6d727000000000000000000000000000000000000000000000000000001110000007d96777792f676272777368656c6c2e6d72
loose_runtime_cfg,gwy/cfg.bin,110,gwy/gbrwshell.mrp,,,00000000000000000000000000000000000000000000000000001110000007d9,6777792f676272777368656c6c2e6d7270000000000000000000000000000000000000000000000000002200000000206777792f666f6e742e6d727000000000
loose_runtime_cfg,gwy/cfg.bin,158,gwy/font.mrp,,,7000000000000000000000000000000000000000000000000000220000000020,6777792f666f6e742e6d72700000000000000000000000000000000000000000000000000000000000003d00000004b46777792f736d736368617267652e6d72
loose_runtime_cfg,gwy/cfg.bin,206,gwy/smscharge.mrp,,,00000000000000000000000000000000000000000000000000003d00000004b4,6777792f736d736368617267652e6d7270000000000000000000000000000000000000000000000000003e00000004b26777792f6469726563747061792e6d72
loose_runtime_cfg,gwy/cfg.bin,254,gwy/directpay.mrp,,,70000000000000000000000000000000000000000000000000003e00000004b2,6777792f6469726563747061792e6d727000000000000000000000000000000000000000000000000000ce00000000436777792f776d327065742e6d72700000
loose_runtime_cfg,gwy/cfg.bin,302,gwy/wm2pet.mrp,,,7000000000000000000000000000000000000000000000000000ce0000000043,6777792f776d327065742e6d727000000000000000000000000000000000000000000000000000000000ce0e000000436777792f776d322e6d72700000000000
loose_runtime_cfg,gwy/cfg.bin,350,gwy/wm2.mrp,,,0000000000000000000000000000000000000000000000000000ce0e00000043,6777792f776d322e6d7270000000000000000000000000000000000000000000000000000000000000003100000003e96777792f636172646368617267652e6d
loose_runtime_cfg,gwy/cfg.bin,398,gwy/cardcharge.mrp,,,00000000000000000000000000000000000000000000000000003100000003e9,6777792f636172646368617267652e6d7270000000000000000000000000000000000000000000000000e990000003eb6777792f736d73626173652e6d727000
loose_runtime_cfg,gwy/cfg.bin,446,gwy/smsbase.mrp,,,7270000000000000000000000000000000000000000000000000e990000003eb,6777792f736d73626173652e6d72700000000000000000000000000000000000000000000000000000003e800000000f6777792f6361636c6f74746572792e6d
loose_runtime_cfg,gwy/cfg.bin,494,gwy/caclottery.mrp,,,00000000000000000000000000000000000000000000000000003e800000000f,6777792f6361636c6f74746572792e6d72700000000000000000000000000000000000000000000000001c00000000526777792f656d626672642e6d72700000
loose_runtime_cfg,gwy/cfg.bin,542,gwy/embfrd.mrp,,,72700000000000000000000000000000000000000000000000001c0000000052,6777792f656d626672642e6d7270000000000000000000000000000000000000000000000000000000003200000000236777792f6361636c6f6262792e6d7270
loose_runtime_cfg,gwy/cfg.bin,590,gwy/caclobby.mrp,,,0000000000000000000000000000000000000000000000000000320000000023,6777792f6361636c6f6262792e6d727000000000000000000000000000000000000000000000000000003500000000236777792f6361636368617267652e6d72
loose_runtime_cfg,gwy/cfg.bin,638,gwy/caccharge.mrp,,,0000000000000000000000000000000000000000000000000000350000000023,6777792f6361636368617267652e6d7270000000000000000000000000000000000000000000000000003380000000016777792f63616364647a616e692e6d72
loose_runtime_cfg,gwy/cfg.bin,686,gwy/cacddzani.mrp,,,7000000000000000000000000000000000000000000000000000338000000001,6777792f63616364647a616e692e6d7270000000000000000000000000000000000000000000000000003280000000016777792f6361637075626c69632e6d72
loose_runtime_cfg,gwy/cfg.bin,734,gwy/cacpublic.mrp,,,7000000000000000000000000000000000000000000000000000328000000001,6777792f6361637075626c69632e6d7270000000000000000000000000000000000000000000000000003b000000000b6777792f6361636d617463682e6d7270
loose_runtime_cfg,gwy/cfg.bin,782,gwy/cacmatch.mrp,,,70000000000000000000000000000000000000000000000000003b000000000b,6777792f6361636d617463682e6d727000000000000000000000000000000000000000000000000000003600000000016777792f6361636d6f6e657972616e6b
loose_runtime_cfg,gwy/cfg.bin,830,gwy/cacmoneyrank.mrp,,,0000000000000000000000000000000000000000000000000000360000000001,6777792f6361636d6f6e657972616e6b2e6d7270000000000000000000000000000000000000000000003700000000016777792f6361636d73672e6d72700000
loose_runtime_cfg,gwy/cfg.bin,878,gwy/cacmsg.mrp,,,2e6d727000000000000000000000000000000000000000000000370000000001,6777792f6361636d73672e6d7270000000000000000000000000000000000000000000000000000000003400000000016777792f63616370726f66696c652e6d
loose_runtime_cfg,gwy/cfg.bin,926,gwy/cacprofile.mrp,,,0000000000000000000000000000000000000000000000000000340000000001,6777792f63616370726f66696c652e6d72700000000000000000000000000000000000000000000000003800000000016777792f63616369737375652e6d7270
loose_runtime_cfg,gwy/cfg.bin,974,gwy/cacissue.mrp,,,7270000000000000000000000000000000000000000000000000380000000001,6777792f63616369737375652e6d7270000000000000000000000000000000000000000000000000000000000000001a00000000000000000000000000000000
loose_runtime_cfg,gwy/cfg.bin,1227,gwy/xaqd.mrp,0,1024,4c0000000000000000000000000000000000000001e8e0000000020000000005,6777792f786171642e6d72700000000000000000000000000000000000000000000000000000000003050607ffffffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,1499,gwy/sanguo.mrp,1,1296,3a00000000000000000000000000000000000000018500000000020000000005,6777792f73616e67756f2e6d7270000000000000000000000000000000000000000000000000000003080409ffffffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,1771,gwy/gkdxy.mrp,2,1568,380000000000000000000000000000000000000001e9c0000000020000000001,6777792f676b6478792e6d72700000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff00000000
