path,basename,size,sha256,header_length,first_data_offset,internal_name,display_name,appid_le,appver_le,flags,appid_be,appver_be,member_count,ext_count,asset_count,class,primary,primary_evidence,has_start_mr,start_sha256,has_mrc_loader,mrc_loader_sha256,ext_members
gwy.mrp,gwy.mrp,56345,b14af30084dbe62879304f429eb989a9a9d6d703d8bb996e659963876fbe993f,240,449,gwy.mrp,[免费]冒泡社区,400101,1004,7,400101,1004,8,3,4,mrc_loader_game,,unresolved,1,a2fa653706222b39d34b01e6a3eb4861aeb1e8190a2a9088ec6962f68ebab604,1,d36151ee3c119717305afe4b1f0ba47f0f0154f8ba6f2c5081d6402c8eddd938,mrc_loader.ext|graphics.ext|cfunction.ext
gwy/gbrwcore.mrp,gbrwcore.mrp,100292,dc7c2134d214e0667174d1806227ea88b41357269e92845d15afdb7f10267b44,240,306,brwcore.mrp,冒泡浏览器core,400101,2057,7,400101,2057,3,2,0,gwy_shell_core,gbrwcore.ext,reg.ext_string_first,1,ff67eea7e6eed10e3871bd465953e7137001e2495b1eb13309c56db8659bfc7c,0,,reg.ext|gbrwcore.ext
gwy/gamelist.mrp,gamelist.mrp,72620,4b24babfc82be19015fdf5eb9e2468c7ea030130f61f617a8644ab1e7bf7d956,240,885,gamelist.mrp,游戏大厅,400101,1006,6,400101,1006,26,2,23,gwy_shell_core,gamelist.ext,reg.ext_string_first,1,ff67eea7e6eed10e3871bd465953e7137001e2495b1eb13309c56db8659bfc7c,0,,gamelist.ext|reg.ext
gwy/gbrwshell.mrp,gbrwshell.mrp,33152,3cc99e87680b7ebb94dc6f4c3d765d4480a0595650ee97e3c5463400d1819916,240,470,brwshell.mrp,冒泡浏览器shell,400101,2009,7,400101,2009,9,2,6,gwy_shell_core,gbrwshell.ext,reg.ext_string_first,1,7fc8d5412ac5d932196ebd2b1f22b042965442057f604371f3025d072e94c5fb,0,,reg.ext|gbrwshell.ext
gwy/roomlist.mrp,roomlist.mrp,13627,e014297d3471d3911cd8b0ab8964e859fee58df21fb69c87dd0321397d0bf7dc,240,306,roomlist.mrp,房间列表模块,400101,1000,7,400101,1000,3,2,0,gwy_service_module,roomlist.ext,reg.ext_string_first,1,ff67eea7e6eed10e3871bd465953e7137001e2495b1eb13309c56db8659bfc7c,0,,reg.ext|roomlist.ext
gwy/reglogin.mrp,reglogin.mrp,30992,70da238867c82023a516f26f539b4a36ebf885ba1449866ca6c82853202ced82,240,581,reglogin.mrp,登录注册模块,400101,1005,7,400101,1005,13,2,10,gwy_service_module,reglogin.ext,reg.ext_string_first,1,ff67eea7e6eed10e3871bd465953e7137001e2495b1eb13309c56db8659bfc7c,0,,reg.ext|reglogin.ext
gwy/resmng.mrp,resmng.mrp,14610,9d036ac6c696442c4508d7076b671d94fa96868bd4df9593e33b515b34fbc060,240,332,resmng.mrp,资源管理模块,400101,1002,7,400101,1002,4,2,1,gwy_service_module,resmng.ext,reg.ext_string_first,1,ff67eea7e6eed10e3871bd465953e7137001e2495b1eb13309c56db8659bfc7c,0,,reg.ext|resmng.ext
gwy/font.mrp,font.mrp,116098,0772f152c32910869bda88cfc486ef0903d958073ae3aab270580acb14e7580c,240,941,font.mpr,font,400101,32,7,400101,32,27,2,24,gwy_service_module,font.ext,reg.ext_string_first,1,343197ddca55c015ec3ba917820b0f3dc5aff4da3e076a09485b3483744fbab6,0,,reg.ext|font.ext
gwy/dload.mrp,dload.mrp,10797,d7847c6eac6e486db427f534ed4a4f11850a2eaa2a03fc235fed1be3c8b82fdf,240,306,dload.mrp,下载模块,400101,1000,7,400101,1000,3,2,0,gwy_service_module,download.ext,reg.ext_string_first,1,7fc8d5412ac5d932196ebd2b1f22b042965442057f604371f3025d072e94c5fb,0,,reg.ext|download.ext
gwy/vdload.mrp,vdload.mrp,11586,5089b4f9f5d90b0edd90d9fe8b8b59ba07e28c1c78b00518e9803abdf2942961,240,304,vdload.mrp,单机下载插件,400101,1000,7,400101,1000,3,2,0,gwy_service_module,vdload.ext,reg.ext_string_first,1,ff67eea7e6eed10e3871bd465953e7137001e2495b1eb13309c56db8659bfc7c,0,,reg.ext|vdload.ext
gwy/directpay.mrp,directpay.mrp,24982,771a8aabf4ae6b883c3e82c40a6f94b49d8a90b9bbb450a27794e84eb6e2c590,240,515,directpay.mr,directpay,400101,1202,7,400101,1202,11,2,8,gwy_service_module,directpay.ext,reg.ext_string_first,1,ff67eea7e6eed10e3871bd465953e7137001e2495b1eb13309c56db8659bfc7c,0,,reg.ext|directpay.ext
gwy/smscharge.mrp,smscharge.mrp,28521,ebb7b9a62b7598ce495f79248dc17429001e80d182ca63923dd9c1c50d7332d5,240,307,smscharge.mr,smscharge,400101,1204,7,400101,1204,3,2,0,gwy_service_module,smscharge.ext,reg.ext_string_first,1,ff67eea7e6eed10e3871bd465953e7137001e2495b1eb13309c56db8659bfc7c,0,,reg.ext|smscharge.ext
gwy/jjfb.mrp,jjfb.mrp,414602,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,240,1892,robotol.mrp,robotol,400101,12,7,400101,12,50,21,28,mrc_loader_game,robotol.ext,reg.ext_string_first,1,c8d664aa7034d044ded428158f9cca1d49a3781242421eb1b1de7f201949ff05,1,d36151ee3c119717305afe4b1f0ba47f0f0154f8ba6f2c5081d6402c8eddd938,mrc_loader.ext|bigworldmapmodule.ext|mainmenumodule.ext|mailmodule.ext|moduletest.ext|chatmodule.ext|gezimodule.ext|taobaomodule.ext|gameattackmodule.ext|monsterstatemodule.ext|itembagshopmodule.ext|viewmanmodule.ext|betmodule.ext|monstermodule.ext|leitaimodule.ext|reg.ext|lianmengmodule.ext|othermodule.ext|robotol.ext|shopmodule.ext|itemhechengmodule.ext
