source_archive,source_member,offset,dependency,type
gwy/ajss.mrp,start.mr,924,sdk_key.dat,string_path
gwy/ajss.mrp,start.mr,1344,cfunction.ext,string_path
gwy/ajss.mrp,splitres.cfg,0,ajss.res,string_path
gwy/ajss.mrp,splitres.cfg,20,0.bin,string_path
gwy/ajss.mrp,splitres.cfg,36,1.bin,string_path
gwy/ajss.mrp,splitres.cfg,52,2.bin,string_path
gwy/ajss.mrp,splitres.cfg,68,3.bin,string_path
gwy/ajss.mrp,splitres.cfg,84,4.bin,string_path
gwy/ajss.mrp,splitres.cfg,100,5.bin,string_path
gwy/ajss.mrp,splitres.cfg,116,6.bin,string_path
gwy/ajss.mrp,splitres.cfg,132,7.bin,string_path
gwy/ajss.mrp,splitres.cfg,148,8.bin,string_path
gwy/ajss.mrp,splitres.cfg,164,9.bin,string_path
gwy/ajss.mrp,splitres.cfg,180,10.bin,string_path
gwy/ajss.mrp,splitres.cfg,196,11.bin,string_path
gwy/ajss.mrp,splitres.cfg,212,12.bin,string_path
gwy/ajss.mrp,splitres.cfg,228,13.bin,string_path
gwy/ajss.mrp,splitres.cfg,244,14.bin,string_path
gwy/ajss.mrp,splitres.cfg,260,15.bin,string_path
gwy/ajss.mrp,splitres.cfg,276,16.bin,string_path
gwy/ajss.mrp,splitres.cfg,292,17.bin,string_path
gwy/ajss.mrp,splitres.cfg,308,18.bin,string_path
gwy/ajss.mrp,splitres.cfg,324,19.bin,string_path
gwy/ajss.mrp,splitres.cfg,340,20.bin,string_path
gwy/ajss.mrp,splitres.cfg,356,21.bin,string_path
gwy/ajss.mrp,splitres.cfg,372,22.bin,string_path
gwy/ajss.mrp,splitres.cfg,388,23.bin,string_path
gwy/ajss.mrp,splitres.cfg,404,24.bin,string_path
gwy/ajss.mrp,splitres.cfg,420,25.bin,string_path
gwy/ajss.mrp,splitres.cfg,436,26.bin,string_path
gwy/ajss.mrp,splitres.cfg,452,27.bin,string_path
gwy/ajss.mrp,reg.ext,684,ajss.ext,string_path
gwy/ajss.mrp,ajss.ext,289288,bgtext.bin,string_path
gwy/ajss.mrp,ajss.ext,290852,ajssgif.bin,string_path
gwy/ajss.mrp,ajss.ext,290864,gwy/ajss/ajss.res,string_path
gwy/ajss.mrp,ajss.ext,290896,splitres.cfg,string_path
gwy/ajss.mrp,ajss.ext,290952,MTGain.bin,string_path
gwy/ajss.mrp,ajss.ext,290964,MBGain.bin,string_path
gwy/ajss.mrp,ajss.ext,290976,MClaTem.bin,string_path
gwy/ajss.mrp,ajss.ext,290988,MeridTem.bin,string_path
gwy/ajss.mrp,ajss.ext,291004,ajss_res.bin,string_path
gwy/ajss.mrp,ajss.ext,291020,CrePoint.bin,string_path
gwy/ajss.mrp,ajss.ext,291036,CfgRes.bin,string_path
gwy/ajss.mrp,ajss.ext,291048,GuildUp.bin,string_path
gwy/ajss.mrp,ajss.ext,291060,GuildEff.bin,string_path
gwy/ajss.mrp,ajss.ext,291076,maptele.bin,string_path
gwy/ajss.mrp,ajss.ext,291088,PetSpell.bin,string_path
gwy/ajss.mrp,ajss.ext,291104,UpPSpell.bin,string_path
gwy/ajss.mrp,ajss.ext,291120,mapmng.bin,string_path
gwy/ajss.mrp,ajss.ext,291132,CfgPet.bin,string_path
gwy/ajss.mrp,ajss.ext,291144,ChainExt.bin,string_path
gwy/ajss.mrp,ajss.ext,291160,Chain.bin,string_path
gwy/ajss.mrp,ajss.ext,291172,UpIntell.bin,string_path
gwy/ajss.mrp,ajss.ext,291188,UpStarEf.bin,string_path
gwy/ajss.mrp,ajss.ext,291204,UpStar.bin,string_path
gwy/ajss.mrp,ajss.ext,291216,wmaps.bin,string_path
gwy/ajss.mrp,ajss.ext,291228,box.bin,string_path
gwy/ajss.mrp,ajss.ext,291236,CfgText.bin,string_path
gwy/ajss.mrp,ajss.ext,291248,CfgAura.bin,string_path
gwy/ajss.mrp,ajss.ext,291260,CfgSpell.bin,string_path
gwy/ajss.mrp,ajss.ext,291276,CfgCha.bin,string_path
gwy/ajss.mrp,ajss.ext,291288,CfgCre.bin,string_path
gwy/ajss.mrp,ajss.ext,291300,QuestPk.bin,string_path
gwy/ajss.mrp,ajss.ext,291312,CfgQuest.bin,string_path
gwy/ajss.mrp,ajss.ext,291328,ftelport.bin,string_path
gwy/ajss.mrp,ajss.ext,291344,fbupneed.bin,string_path
gwy/ajss.mrp,ajss.ext,291360,talisman.bin,string_path
gwy/ajss.mrp,ajss.ext,291376,CfgItem.bin,string_path
gwy/ajss.mrp,ajss.ext,291388,CfgGif.bin,string_path
gwy/ajss.mrp,ajss.ext,291688,mapfiles.cfg,string_path
gwy/ajss.mrp,ajss.ext,291720,http://wap.51mrp.com,url_or_endpoint
gwy/ajss.mrp,ajss.ext,291824,ajss.mrp,string_path
gwy/ajss.mrp,ajss.ext,292336,gwy/ajss/ajss.res,string_path
gwy/ajss.mrp,ajss.ext,292952,cache/exdet.dat,string_path
gwy/ajss.mrp,ajss.ext,293036,cache/exr.sav,string_path
gwy/ajss.mrp,ajss.ext,293392,bgappinf/appinf.dat,string_path
gwy/assg.mrp,start.mr,924,sdk_key.dat,string_path
gwy/assg.mrp,start.mr,1344,cfunction.ext,string_path
gwy/assg.mrp,reg.ext,1484,assg.ext,string_path
gwy/assg.mrp,assg.ext,305688,s/res/game.ypak,string_path
gwy/assg.mrp,assg.ext,305712,s/game.ypak,string_path
gwy/assg.mrp,assg.ext,305728,d.ypak,string_path
gwy/assg.mrp,assg.ext,305740,d.ypak,string_path
gwy/assg.mrp,assg.ext,305768,d.ypak.td.cfg,string_path
gwy/assg.mrp,assg.ext,305804,sgame0.ypak,string_path
gwy/assg.mrp,assg.ext,305852,game.ypak,string_path
gwy/assg.mrp,assg.ext,305896,downloadfill.bmp,string_path
gwy/assg.mrp,assg.ext,305916,downloadbar.bmp,string_path
gwy/assg.mrp,assg.ext,305932,downloadbk.bmp,string_path
gwy/assg.mrp,assg.ext,306004,downlace2.bmp,string_path
gwy/assg.mrp,assg.ext,306020,downlace1.bmp,string_path
gwy/assg.mrp,assg.ext,306036,cancel480.bmp,string_path
gwy/assg.mrp,assg.ext,306052,ensure480.bmp,string_path
gwy/assg.mrp,assg.ext,306068,arrow480.bmp,string_path
gwy/assg.mrp,assg.ext,306084,lacework2.bmp,string_path
gwy/assg.mrp,assg.ext,306100,lacework1.bmp,string_path
gwy/assg.mrp,assg.ext,306260,copy.dat,string_path
gwy/assg.mrp,assg.ext,306316,gwy/assg.mrp,string_path
gwy/assg.mrp,assg.ext,306420,floor.dat,string_path
gwy/assg.mrp,assg.ext,306504,d.bmp,string_path
gwy/assg.mrp,assg.ext,306544,d.bmp,string_path
gwy/assg.mrp,assg.ext,306552,upgrade.dat,string_path
gwy/assg.mrp,assg.ext,306568,skill.dat,string_path
gwy/assg.mrp,assg.ext,307276,d.bmp,string_path
gwy/assg.mrp,assg.ext,307324,fun_2.bin,string_path
gwy/assg.mrp,assg.ext,307336,fpoint_2.bin,string_path
gwy/assg.mrp,assg.ext,307672,equip.dat,string_path
gwy/assg.mrp,assg.ext,307684,filed.dat,string_path
gwy/assg.mrp,assg.ext,307696,expend.dat,string_path
gwy/assg.mrp,assg.ext,307708,attachedSkill.dat,string_path
gwy/assg.mrp,assg.ext,307728,copy.dat,string_path
gwy/assg.mrp,assg.ext,307740,city.dat,string_path
gwy/assg.mrp,assg.ext,307812,guide.dat,string_path
gwy/assg.mrp,assg.ext,307952,bquest.dat,string_path
gwy/assg.mrp,assg.ext,307964,mquest.dat,string_path
gwy/assg.mrp,assg.ext,308144,level.dat,string_path
gwy/assg.mrp,assg.ext,308336,d.ypak,string_path
gwy/assg.mrp,assg.ext,308360,s/game.ypak,string_path
gwy/assg.mrp,assg.ext,308656,d.bmp,string_path
gwy/assg.mrp,assg.ext,309016,guidecopy.dat,string_path
gwy/assg.mrp,assg.ext,309360,hero.dat,string_path
gwy/assg.mrp,assg.ext,309372,layout.dat,string_path
gwy/assg.mrp,assg.ext,309384,gem.dat,string_path
gwy/assg.mrp,assg.ext,309396,guide.dat,string_path
gwy/assg.mrp,assg.ext,309408,npc.dat,string_path
gwy/assg.mrp,assg.ext,309420,name.dat,string_path
gwy/assg.mrp,assg.ext,309432,feature.dat,string_path
gwy/assg.mrp,assg.ext,309468,passiveSkill.dat,string_path
gwy/assg.mrp,assg.ext,309488,mquest.dat,string_path
gwy/assg.mrp,assg.ext,309500,bquest.dat,string_path
gwy/assg.mrp,assg.ext,309512,dquest.dat,string_path
gwy/assg.mrp,assg.ext,309532,help.dat,string_path
gwy/assg.mrp,assg.ext,309712,frag.dat,string_path
gwy/assg.mrp,assg.ext,309788,s/res/game.ypak,string_path
gwy/assg.mrp,assg.ext,310096,cache/exdet.dat,string_path
gwy/assg.mrp,assg.ext,310180,cache/exr.sav,string_path
gwy/assg.mrp,assg.ext,310520,bgappinf/appinf.dat,string_path
gwy/bbjq.mrp,start.mr,924,sdk_key.dat,string_path
gwy/bbjq.mrp,start.mr,1344,cfunction.ext,string_path
gwy/bbjq.mrp,tlol.ext,229144,d.dat,string_path
gwy/bbjq.mrp,tlol.ext,229172,d.dat,string_path
gwy/bbjq.mrp,tlol.ext,229192,d.bin,string_path
gwy/bbjq.mrp,tlol.ext,229208,d.bin,string_path
gwy/bbjq.mrp,tlol.ext,229328,d.dat,string_path
gwy/bbjq.mrp,tlol.ext,229352,d.dat,string_path
gwy/bbjq.mrp,tlol.ext,234300,d.bin,string_path
