cfg,path_off,path,pre16_hex,post48_hex,pre_minus8_u32le_a,pre_minus4_u32le_b
冒泡游戏320480/网游/gwy/cfg.bin,14,gwy/roomlist.mrp,00043338000600151a00000003e8,6777792f726f6f6d6c6973742e6d727000000000000000000000000000000000000000000000000000001100000008096777792f67627277636f72652e6d7270,1709312,3892510720
冒泡游戏320480/网游/gwy/cfg.bin,62,gwy/gbrwcore.mrp,00000000000000000000110000000809,6777792f67627277636f72652e6d727000000000000000000000000000000000000000000000000000001110000007d96777792f676272777368656c6c2e6d72,1114112,151519232
冒泡游戏320480/网游/gwy/cfg.bin,110,gwy/gbrwshell.mrp,000000000000000000001110000007d9,6777792f676272777368656c6c2e6d7270000000000000000000000000000000000000000000000000002200000000206777792f666f6e742e6d72700000000000,269549568,3641114624
冒泡游戏320480/网游/gwy/cfg.bin,158,gwy/font.mrp,00000000000000000000220000000020,6777792f666f6e742e6d72700000000000000000000000000000000000000000000000000000000000003d00000004b46777792f736d736368617267,2228224,536870912
冒泡游戏320480/网游/gwy/cfg.bin,206,gwy/smscharge.mrp,000000000000000000003d00000004b4,6777792f736d736368617267652e6d7270000000000000000000000000000000000000000000000000003e00000004b26777792f6469726563747061792e6d7270,3997696,3020161024
冒泡游戏320480/网游/gwy/cfg.bin,254,gwy/directpay.mrp,000000000000000000003e00000004b2,6777792f6469726563747061792e6d727000000000000000000000000000000000000000000000000000ce00000000436777792f776d327065742e6d7270000000,4063232,2986606592
冒泡游戏320480/网游/gwy/cfg.bin,302,gwy/wm2pet.mrp,00000000000000000000ce0000000043,6777792f776d327065742e6d727000000000000000000000000000000000000000000000000000000000ce0e000000436777792f776d322e6d7270000000,13500416,1124073472
冒泡游戏320480/网游/gwy/cfg.bin,350,gwy/wm2.mrp,00000000000000000000ce0e00000043,6777792f776d322e6d7270000000000000000000000000000000000000000000000000000000000000003100000003e96777792f63617264636861,248381440,1124073472
冒泡游戏320480/网游/gwy/cfg.bin,398,gwy/cardcharge.mrp,000000000000000000003100000003e9,6777792f636172646368617267652e6d7270000000000000000000000000000000000000000000000000e990000003eb6777792f736d73626173652e6d7270000000,3211264,3909287936
冒泡游戏320480/网游/gwy/cfg.bin,446,gwy/smsbase.mrp,00000000000000000000e990000003eb,6777792f736d73626173652e6d72700000000000000000000000000000000000000000000000000000003e800000000f6777792f6361636c6f74746572792e,2431188992,3942842368
