mrp_zip_path,member,unpacked_size,sha256,is_mrpgcmap,string_count,interesting_string_count,primary_guess_context
冒泡游戏320480/网游/gwy/ajss.mrp,reg.ext,700,1b94671718e27c9d6003495d3b97fd9cc35fcded581df78fd1d8852520c4917c,True,10,1,ajss.ext
冒泡游戏320480/网游/gwy/ajss.mrp,ajss.ext,293812,71cc5f9f3df0c36146d909685337bf1f3018907987afb3b76c170703885e06ef,True,2640,17,ajss.ext
冒泡游戏320480/网游/gwy/assg.mrp,reg.ext,1500,f7ad0ac43358db1a1af79ee8ee2de9ce6d7713cb826652c2bcda095504148c94,True,15,1,assg.ext
冒泡游戏320480/网游/gwy/assg.mrp,assg.ext,312180,72468eaa2ed97a5d42ad7f6f555818584cf370738710ae0e7ebf3c3b139a731c,True,3800,16,assg.ext
冒泡游戏320480/网游/gwy/bbjq.mrp,tlol.ext,241712,a951dcc4540c6640706c887101bf848ece0ddd8bb428235294bf06b7ead51db9,True,2086,1,
冒泡游戏320480/网游/gwy/bbjq.mrp,reg.ext,1500,e30c79e24e75bdf7751fdeda460c90e741650e80b2db06f0d10e582d45be7cbd,True,15,1,tlol.ext
冒泡游戏320480/网游/gwy/caccharge.mrp,caccharge.ext,101276,6d7f64331718cddf7be161d62780837438e3307e880396f16cad57be683244d5,True,1796,39,
冒泡游戏320480/网游/gwy/caccharge.mrp,reg.ext,632,9036d06db4411f22b7cc9bad335aaa0db3320e9cd876e86c544fd9055ffb3c16,True,8,1,caccharge.ext
冒泡游戏320480/网游/gwy/cacddz.mrp,cacddz.ext,81596,72c82a71c61d15ab0068692f8ac87b31d706432bef5089528e892280e13e55dd,True,1170,65,
冒泡游戏320480/网游/gwy/cacddz.mrp,reg.ext,628,45b952f32e0d506e419270da53032160756beaa0988c46fdd1f3c12eb2ed8ba0,True,7,1,cacddz.ext
冒泡游戏320480/网游/gwy/cacddzani.mrp,reg.ext,632,f3d87a4bd581431821855549d045b1b0d2cd5761d07815dfe0f2ce5910364adc,True,7,1,cacddzani.ext
