subdir,files,bytes,mb,ext_counts
(top),48,7400854,7.058,"{"".mrp"": 45, "".bin"": 3}"
assg,23,5146442,4.908,"{"".ypak"": 21, ""(none)"": 2}"
smd,7,2374384,2.264,"{"".cfg"": 1, "".map"": 1, "".res"": 2, "".tes"": 2, "".dat"": 1}"
xjwq,15,2274578,2.169,"{"".rs"": 7, "".mrp"": 6, "".bin"": 1, "".res"": 1}"
xyol,459,1951191,1.861,"{"".pak"": 15, "".xyp"": 242, "".xym"": 13, "".xya"": 187, "".xyi"": 1, "".xyu"": 1}"
gkdxy,474,1483338,1.415,"{"".fs"": 2, ""(none)"": 472}"
jjfbol,119,1029289,0.982,"{"".mrp"": 59, "".v"": 59, ""(none)"": 1}"
mhxx,80,725553,0.692,"{"".actor"": 17, "".mrp"": 8, "".ani"": 1, "".bin"": 4, "".a"": 2, "".g"": 47, "".gl"": 1}"
ssjx,6,666591,0.636,"{""(none)"": 1, "".mrp"": 5}"
tlbb,61,610331,0.582,"{"".actor"": 7, "".mrp"": 7, "".bin"": 26, "".a"": 2, "".e"": 1, "".g"": 17, "".gl"": 1}"
sgmj,1,581795,0.555,"{"".res"": 1}"
ajss,1,559305,0.533,"{"".res"": 1}"
yxlm,154,162821,0.155,"{"".txt"": 2, "".png"": 130, "".pwd"": 14, "".aef"": 8}"
gifs,88,82581,0.079,"{"".gif"": 46, "".info"": 1, "".idx1"": 1, "".idx12"": 1, "".idx13"": 1, "".idx16"": 1, "".idx18"": 1, "".idx20"": 1, "".idx22"": 1, "".idx23"": 1, "".idx25"": 1, "".idx26"": 1, "".idx28"": 1, "".idx31"": 1, "".idx34"": 1, "".idx36"": 1, "".idx39"": 1, "".idx40"": 1, "".idx41"": 1, "".idx42"": 1, "".idx44"": 1, "".idx5"": 1, "".idx50"": 1, "".idx54"": 1, "".idx55"": 1, "".idx57"": 1, "".idx60"": 1, "".idx61"": 1, "".idx67"": 1, "".idx69"": 1, "".idx70"": 1, "".idx71"": 1, "".idx76"": 1, "".idx83"": 1, "".idx88"": 1, "".idx89"": 1, "".idx9"": 1, "".idx91"": 1, "".idx93"": 1, "".idx94"": 1, "".idx95"": 1, "".idx98"": 1, "".idx99"": 1}"
caclottery,2,14717,0.014,"{"".lst"": 1, "".gif"": 1}"
wm1,5,10668,0.01,"{"".png"": 5}"
caclobby,2,6475,0.006,"{"".gif"": 1, "".ini"": 1}"
sanguo,1,3606,0.003,"{"".sgp"": 1}"
sound,4,1611,0.002,"{"".mid"": 4}"
spacetime,1,478,0.0,"{"".db"": 1}"
