primary,count,members
mrpmaker.ext,6,xjwq/res/mrp/mmochat_res1.mrp|xjwq/res/mrp/mmochat_res2.mrp|xjwq/res/mrp/mmochat_res3.mrp|xjwq/res/mrp/mmochat_res4.mrp|xjwq/res/mrp/mmochat_res5.mrp|xjwq/res/mrp/mmochat_res6.mrp
dream.ext,2,tlbb.mrp|zsol.mrp
ajss.ext,1,ajss.mrp
assg.ext,1,assg.mrp
tlol.ext,1,bbjq.mrp
caccharge.ext,1,caccharge.mrp
cacddz.ext,1,cacddz.mrp
cacddzani.ext,1,cacddzani.mrp
caclobby.ext,1,caclobby.mrp
caclottery.ext,1,caclottery.mrp
cacpublic.ext,1,cacpublic.mrp
cardcharge.ext,1,cardcharge.mrp
directpay.ext,1,directpay.mrp
download.ext,1,dload.mrp
embfrd.ext,1,embfrd.mrp
font.ext,1,font.mrp
gamelist.ext,1,gamelist.mrp
gbrwcore.ext,1,gbrwcore.mrp
gbrwshell.ext,1,gbrwshell.mrp
gkdxy.ext,1,gkdxy.mrp
gui.ext,1,gui.mrp
hotchat.ext,1,hotchat.mrp
robotol.ext,1,jjfb.mrp
pmsg.ext,1,pmsg.mrp
reglogin.ext,1,reglogin.mrp
resmng.ext,1,resmng.mrp
roll.ext,1,rollscr.mrp
roomlist.ext,1,roomlist.mrp
sanguo.ext,1,sanguo.mrp
sgmj.ext,1,sgmj.mrp
smd.ext,1,smd.mrp
smsbase.ext,1,smsbase.mrp
smscharge.ext,1,smscharge.mrp
spacetime.ext,1,spacetime.mrp
gameonline.ext,1,ssjx.mrp
svrctrl.ext,1,svrctrl.mrp
tyol.ext,1,tyol.mrp
vdload.ext,1,vdload.mrp
wapgame.ext,1,wapgame.mrp
wm1_help.ext,1,wm2.mrp
wmpk.ext,1,wm2pet.mrp
mmochat.ext,1,wxjwq.mrp
wm1.ext,1,xaqd.mrp
xiyou.ext,1,xyol.mrp
xqj.ext,1,yxlm.mrp
