ext_code_hex,count,sample
0x1,1,[JJFB_SEND] extCode=0x1 app=0x64 code=0x0 param0=0x0 param1=0x0
0x10102,1,[JJFB_SEND] extCode=0x10102 app=0x1E200 code=0x30D301 param0=0x0 param1=0x0
0x10113,3,[JJFB_SEND] extCode=0x10113 app=0x11F02 code=0x0 param0=0x27FCC0 param1=0x0
0x10120,1,[JJFB_SEND] extCode=0x10120 app=0x4 code=0x2829DC param0=0x0 param1=0x0
0x10130,1,[JJFB_SEND] extCode=0x10130 app=0xAF000 code=0x0 param0=0x0 param1=0x0
0x10140,1,[JJFB_SEND] extCode=0x10140 app=0x5 code=0x2829DC param0=0x30630D param1=0x0
0x10162,1,[JJFB_SEND] extCode=0x10162 app=0xE200 code=0x30D249 param0=0x0 param1=0x0
0x10165,1,[JJFB_SEND] extCode=0x10165 app=0xE200 code=0x30D2F9 param0=0x0 param1=0x0
0x10180,1,[JJFB_SEND] extCode=0x10180 app=0x1 code=0x0 param0=0x0 param1=0x0
0x10800,1,[JJFB_SEND] extCode=0x10800 app=0x4 code=0x0 param0=0x0 param1=0x0
