
�����

  Э��  ���ص�ַ          �ⲿ��ַ        ״̬           PID
  TCP    0.0.0.0:7              0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:9              0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:13             0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:17             0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:19             0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1652
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1024           0.0.0.0:0              LISTENING       7664
  TCP    0.0.0.0:1025           0.0.0.0:0              LISTENING       7548
  TCP    0.0.0.0:1027           0.0.0.0:0              LISTENING       1228
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       3584
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       2028
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       9264
  TCP    0.0.0.0:5471           0.0.0.0:0              LISTENING       31036
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1328
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1144
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2296
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2852
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4316
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       6132
  TCP    0.0.0.0:65532          0.0.0.0:0              LISTENING       18716
  TCP    127.0.0.1:4001         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:4301         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:4310         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:4709         0.0.0.0:0              LISTENING       31036
  TCP    127.0.0.1:5037         0.0.0.0:0              LISTENING       22692
  TCP    127.0.0.1:5283         0.0.0.0:0              LISTENING       12340
  TCP    127.0.0.1:5284         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:6873         0.0.0.0:0              LISTENING       18716
  TCP    127.0.0.1:6873         127.0.0.1:6875         ESTABLISHED     18716
  TCP    127.0.0.1:6875         127.0.0.1:6873         ESTABLISHED     18716
  TCP    127.0.0.1:6933         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:7005         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:7007         127.0.0.1:65532        ESTABLISHED     13392
  TCP    127.0.0.1:9210         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:9410         0.0.0.0:0              LISTENING       12368
  TCP    127.0.0.1:10851        127.0.0.1:65532        ESTABLISHED     13392
  TCP    127.0.0.1:10852        127.0.0.1:65532        ESTABLISHED     13392
  TCP    127.0.0.1:11540        127.0.0.1:18789        ESTABLISHED     21912
  TCP    127.0.0.1:11546        127.0.0.1:18789        ESTABLISHED     27500
  TCP    127.0.0.1:11547        127.0.0.1:18789        ESTABLISHED     27500
  TCP    127.0.0.1:11855        127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:12207        127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:12213        127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:12348        127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:12544        127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:12624        127.0.0.1:65532        CLOSE_WAIT      20960
  TCP    127.0.0.1:12650        127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:12651        127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:12652        127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:12653        127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:12674        127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:12712        127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:12713        127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:12714        127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:12715        127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:12816        127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:12824        127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:12836        127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:12838        127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:12842        127.0.0.1:18789        TIME_WAIT       0
  TCP    127.0.0.1:12844        127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:12854        127.0.0.1:65532        ESTABLISHED     5908
  TCP    127.0.0.1:12859        127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:12861        127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:12862        127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:12869        127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:12879        127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:12885        127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:12895        127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:12897        127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:12899        127.0.0.1:18789        TIME_WAIT       0
  TCP    127.0.0.1:12903        127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:12931        127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:12942        127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:12943        127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:12944        127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:12945        127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:12946        127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:12954        127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:12957        127.0.0.1:65532        ESTABLISHED     20996
  TCP    127.0.0.1:13330        127.0.0.1:13331        ESTABLISHED     22692
  TCP    127.0.0.1:13331        127.0.0.1:13330        ESTABLISHED     22692
  TCP    127.0.0.1:13332        127.0.0.1:13333        ESTABLISHED     22692
  TCP    127.0.0.1:13333        127.0.0.1:13332        ESTABLISHED     22692
  TCP    127.0.0.1:14355        127.0.0.1:49853        ESTABLISHED     17108
  TCP    127.0.0.1:14520        0.0.0.0:0              LISTENING       28588
  TCP    127.0.0.1:18789        0.0.0.0:0              LISTENING       27500
  TCP    127.0.0.1:18789        127.0.0.1:11540        ESTABLISHED     27500
  TCP    127.0.0.1:18789        127.0.0.1:11546        ESTABLISHED     27500
  TCP    127.0.0.1:18789        127.0.0.1:11547        ESTABLISHED     27500
  TCP    127.0.0.1:18790        0.0.0.0:0              LISTENING       21912
  TCP    127.0.0.1:41303        0.0.0.0:0              LISTENING       7548
  TCP    127.0.0.1:49853        0.0.0.0:0              LISTENING       20996
  TCP    127.0.0.1:49853        127.0.0.1:14355        ESTABLISHED     20996
  TCP    127.0.0.1:50158        0.0.0.0:0              LISTENING       26996
  TCP    127.0.0.1:57973        0.0.0.0:0              LISTENING       7664
  TCP    127.0.0.1:59575        0.0.0.0:0              LISTENING       7664
  TCP    127.0.0.1:65532        127.0.0.1:6933         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7005         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7007         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:10851        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:10852        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:11855        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:12207        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:12213        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:12348        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:12624        FIN_WAIT_2      18716
  TCP    127.0.0.1:65532        127.0.0.1:12651        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:12652        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:12696        TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:12836        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:12854        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:12860        TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:12863        TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:12895        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:12897        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:12920        TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:12942        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:12943        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:12944        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:12945        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:12946        ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:12954        ESTABLISHED     18716
