
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,304 K
Secure System                   88 Services                   0     40,536 K
Registry                       156 Services                   0     91,864 K
smss.exe                       696 Services                   0      1,148 K
csrss.exe                      780 Services                   0      5,060 K
wininit.exe                   1144 Services                   0      6,080 K
csrss.exe                     1156 Console                    1      7,612 K
services.exe                  1228 Services                   0     13,552 K
winlogon.exe                  1256 Console                    1     12,528 K
LsaIso.exe                    1308 Services                   0      3,064 K
lsass.exe                     1328 Services                   0     24,640 K
svchost.exe                   1460 Services                   0     38,368 K
fontdrvhost.exe               1480 Services                   0      4,284 K
fontdrvhost.exe               1488 Console                    1     20,468 K
WUDFHost.exe                  1536 Services                   0      6,636 K
svchost.exe                   1652 Services                   0     19,808 K
svchost.exe                   1804 Services                   0     11,100 K
WUDFHost.exe                  1832 Services                   0      6,004 K
WUDFHost.exe                  1904 Services                   0      5,344 K
svchost.exe                   2028 Services                   0     11,808 K
svchost.exe                   1268 Services                   0      9,792 K
svchost.exe                    816 Services                   0      7,720 K
svchost.exe                   1404 Services                   0     10,800 K
svchost.exe                   1348 Services                   0      5,436 K
svchost.exe                   1716 Services                   0     12,544 K
svchost.exe                   2164 Services                   0      9,644 K
svchost.exe                   2224 Services                   0     10,712 K
svchost.exe                   2232 Services                   0     12,404 K
svchost.exe                   2296 Services                   0     17,676 K
svchost.exe                   2444 Services                   0      8,756 K
svchost.exe                   2480 Services                   0      8,260 K
svchost.exe                   2496 Services                   0      6,404 K
svchost.exe                   2704 Services                   0     13,432 K
svchost.exe                   2712 Services                   0      9,040 K
svchost.exe                   2740 Services                   0      6,916 K
svchost.exe                   2764 Services                   0     11,124 K
dwm.exe                       2900 Console                    1     89,776 K
svchost.exe                   2932 Services                   0      7,612 K
svchost.exe                   3012 Services                   0     12,960 K
svchost.exe                   2852 Services                   0     17,204 K
svchost.exe                   2860 Services                   0      9,732 K
svchost.exe                   3148 Services                   0     10,920 K
svchost.exe                   3160 Services                   0     13,468 K
svchost.exe                   3200 Services                   0     17,292 K
svchost.exe                   3248 Services                   0     28,740 K
HrASDaemon.exe                3300 Services                   0      8,828 K
svchost.exe                   3464 Services                   0      6,244 K
svchost.exe                   3568 Services                   0      8,276 K
vmms.exe                      3584 Services                   0     31,668 K
svchost.exe                   3620 Services                   0     10,452 K
svchost.exe                   3832 Services                   0     13,424 K
svchost.exe                   3872 Services                   0      6,628 K
svchost.exe                   3892 Services                   0      7,888 K
svchost.exe                   4228 Services                   0      6,752 K
svchost.exe                   4316 Services                   0      9,000 K
svchost.exe                   4500 Services                   0     21,216 K
svchost.exe                   4540 Services                   0      7,252 K
atiesrxx.exe                  4856 Services                   0      6,772 K
amdfendrsr.exe                4864 Services                   0      7,100 K
svchost.exe                   4892 Services                   0     10,440 K
svchost.exe                   4996 Services                   0      7,720 K
vmcompute.exe                 5084 Services                   0     11,996 K
svchost.exe                   3936 Services                   0      5,940 K
svchost.exe                   4396 Services                   0     10,872 K
atieclxx.exe                  4328 Console                    1     16,888 K
svchost.exe                   5060 Services                   0      7,796 K
svchost.exe                   5052 Services                   0      7,564 K
svchost.exe                   5732 Services                   0     14,500 K
svchost.exe                   5840 Services                   0      9,308 K
ctfmon.exe                    5920 Console                    1     31,492 K
svchost.exe                   5948 Services                   0     23,732 K
svchost.exe                   5968 Services                   0     10,772 K
svchost.exe                   6048 Services                   0     19,224 K
svchost.exe                   6084 Services                   0     14,080 K
spoolsv.exe                   6132 Services                   0     14,208 K
svchost.exe                   5516 Services                   0     15,068 K
svchost.exe                   5352 Services                   0      9,348 K
DAX3API.exe                   6148 Services                   0     15,012 K
AdminService.exe              6156 Services                   0      8,600 K
svchost.exe                   6164 Services                   0     11,180 K
LenovoPcManagerService.ex     6172 Services                   0      9,260 K
svchost.exe                   6180 Services                   0     38,860 K
ldplayerservice.exe           6192 Services                   0      5,256 K
ELANFPService.exe             6200 Services                   0      5,076 K
OfficeClickToRun.exe          6208 Services                   0     38,940 K
