
�����

  Э��  ���ص�ַ          �ⲿ��ַ        ״̬           PID
  TCP    0.0.0.0:7              0.0.0.0:0              LISTENING       6448
  TCP    0.0.0.0:9              0.0.0.0:0              LISTENING       6448
  TCP    0.0.0.0:13             0.0.0.0:0              LISTENING       6448
  TCP    0.0.0.0:17             0.0.0.0:0              LISTENING       6448
  TCP    0.0.0.0:19             0.0.0.0:0              LISTENING       6448
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1692
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1024           0.0.0.0:0              LISTENING       7384
  TCP    0.0.0.0:1025           0.0.0.0:0              LISTENING       7532
  TCP    0.0.0.0:1059           0.0.0.0:0              LISTENING       1236
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       3552
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       2020
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       11916
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1340
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1152
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2484
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3152
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       3896
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       4012
  TCP    0.0.0.0:65532          0.0.0.0:0              LISTENING       11056
  TCP    127.0.0.1:2680         127.0.0.1:65532        ESTABLISHED     23876
  TCP    127.0.0.1:2785         127.0.0.1:65532        ESTABLISHED     24148
  TCP    127.0.0.1:2853         127.0.0.1:65532        ESTABLISHED     5536
  TCP    127.0.0.1:2966         127.0.0.1:65532        ESTABLISHED     24148
  TCP    127.0.0.1:2991         127.0.0.1:65532        ESTABLISHED     24148
  TCP    127.0.0.1:2993         127.0.0.1:65532        ESTABLISHED     24148
  TCP    127.0.0.1:2995         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:3001         127.0.0.1:65532        ESTABLISHED     24148
  TCP    127.0.0.1:3008         127.0.0.1:65532        ESTABLISHED     24148
  TCP    127.0.0.1:3010         127.0.0.1:65532        ESTABLISHED     24148
  TCP    127.0.0.1:3012         127.0.0.1:65532        ESTABLISHED     24148
  TCP    127.0.0.1:3014         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:3016         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:3018         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:3020         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:3022         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:3024         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:3081         127.0.0.1:65532        ESTABLISHED     24148
  TCP    127.0.0.1:3121         127.0.0.1:65532        ESTABLISHED     5536
  TCP    127.0.0.1:3141         127.0.0.1:65532        ESTABLISHED     24148
  TCP    127.0.0.1:3155         127.0.0.1:65532        ESTABLISHED     24148
  TCP    127.0.0.1:3157         127.0.0.1:65532        ESTABLISHED     24148
  TCP    127.0.0.1:3160         127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:3179         127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:3191         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:3193         127.0.0.1:18789        TIME_WAIT       0
  TCP    127.0.0.1:3195         127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:3219         127.0.0.1:65532        CLOSE_WAIT      24148
  TCP    127.0.0.1:3221         127.0.0.1:65532        CLOSE_WAIT      24148
  TCP    127.0.0.1:3224         127.0.0.1:65532        ESTABLISHED     24148
  TCP    127.0.0.1:3230         127.0.0.1:65532        ESTABLISHED     13556
  TCP    127.0.0.1:3237         127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:3247         127.0.0.1:65532        ESTABLISHED     19828
