
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,256 K
Secure System                   88 Services                   0     40,536 K
Registry                       156 Services                   0     95,608 K
smss.exe                       696 Services                   0      1,148 K
csrss.exe                      780 Services                   0      5,256 K
wininit.exe                   1144 Services                   0      6,080 K
csrss.exe                     1156 Console                    1     12,720 K
services.exe                  1228 Services                   0     13,436 K
winlogon.exe                  1256 Console                    1     12,420 K
LsaIso.exe                    1308 Services                   0      3,064 K
lsass.exe                     1328 Services                   0     24,740 K
svchost.exe                   1460 Services                   0     38,752 K
fontdrvhost.exe               1480 Services                   0      4,324 K
fontdrvhost.exe               1488 Console                    1     21,352 K
WUDFHost.exe                  1536 Services                   0      6,624 K
svchost.exe                   1652 Services                   0     19,620 K
svchost.exe                   1804 Services                   0     10,924 K
WUDFHost.exe                  1832 Services                   0      5,992 K
WUDFHost.exe                  1904 Services                   0      5,332 K
svchost.exe                   2028 Services                   0     11,776 K
svchost.exe                   1268 Services                   0      7,940 K
svchost.exe                    816 Services                   0      7,412 K
svchost.exe                   1404 Services                   0     10,780 K
svchost.exe                   1348 Services                   0      5,444 K
svchost.exe                   1716 Services                   0     12,528 K
svchost.exe                   2164 Services                   0      9,768 K
svchost.exe                   2224 Services                   0     11,000 K
svchost.exe                   2232 Services                   0     12,476 K
svchost.exe                   2296 Services                   0     17,824 K
svchost.exe                   2444 Services                   0      8,440 K
svchost.exe                   2480 Services                   0      7,952 K
svchost.exe                   2496 Services                   0      6,372 K
svchost.exe                   2704 Services                   0     11,832 K
svchost.exe                   2712 Services                   0      8,924 K
svchost.exe                   2740 Services                   0      6,916 K
svchost.exe                   2764 Services                   0     11,264 K
dwm.exe                       2900 Console                    1     98,168 K
svchost.exe                   2932 Services                   0      7,596 K
svchost.exe                   3012 Services                   0     13,020 K
svchost.exe                   2852 Services                   0     17,704 K
svchost.exe                   2860 Services                   0      9,584 K
svchost.exe                   3148 Services                   0     10,456 K
svchost.exe                   3160 Services                   0     13,424 K
svchost.exe                   3200 Services                   0     18,224 K
HipsDaemon.exe                3236 Services                   0     24,908 K
svchost.exe                   3248 Services                   0     27,620 K
HrASDaemon.exe                3300 Services                   0      8,784 K
svchost.exe                   3464 Services                   0      6,248 K
svchost.exe                   3568 Services                   0      8,252 K
vmms.exe                      3584 Services                   0     32,108 K
svchost.exe                   3620 Services                   0     10,456 K
svchost.exe                   3832 Services                   0     12,908 K
svchost.exe                   3872 Services                   0      6,640 K
svchost.exe                   3892 Services                   0      7,884 K
svchost.exe                   4228 Services                   0      6,744 K
svchost.exe                   4316 Services                   0      8,928 K
svchost.exe                   4500 Services                   0     16,132 K
svchost.exe                   4540 Services                   0      7,224 K
atiesrxx.exe                  4856 Services                   0      6,748 K
amdfendrsr.exe                4864 Services                   0      7,096 K
svchost.exe                   4892 Services                   0      9,924 K
svchost.exe                   4996 Services                   0      7,648 K
vmcompute.exe                 5084 Services                   0     12,008 K
svchost.exe                   3936 Services                   0      5,948 K
svchost.exe                   4396 Services                   0     10,884 K
atieclxx.exe                  4328 Console                    1     16,900 K
svchost.exe                   5060 Services                   0      8,320 K
svchost.exe                   5052 Services                   0     10,660 K
svchost.exe                   5732 Services                   0     14,984 K
svchost.exe                   5840 Services                   0      9,288 K
ctfmon.exe                    5920 Console                    1     31,780 K
svchost.exe                   5948 Services                   0     23,728 K
svchost.exe                   5968 Services                   0     10,768 K
svchost.exe                   6048 Services                   0     18,464 K
svchost.exe                   6084 Services                   0     14,064 K
spoolsv.exe                   6132 Services                   0     13,820 K
svchost.exe                   5516 Services                   0     14,988 K
svchost.exe                   5352 Services                   0      9,388 K
DAX3API.exe                   6148 Services                   0     15,692 K
AdminService.exe              6156 Services                   0      8,596 K
svchost.exe                   6164 Services                   0     10,856 K
LenovoPcManagerService.ex     6172 Services                   0      9,208 K
svchost.exe                   6180 Services                   0     40,524 K
ldplayerservice.exe           6192 Services                   0      5,204 K
ELANFPService.exe             6200 Services                   0      4,884 K
