
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,260 K
Secure System                   88 Services                   0     40,536 K
Registry                       156 Services                   0     92,480 K
smss.exe                       696 Services                   0      1,148 K
csrss.exe                      780 Services                   0      5,300 K
wininit.exe                   1144 Services                   0      6,080 K
csrss.exe                     1156 Console                    1      7,580 K
services.exe                  1228 Services                   0     13,604 K
winlogon.exe                  1256 Console                    1     12,492 K
LsaIso.exe                    1308 Services                   0      3,432 K
lsass.exe                     1328 Services                   0     24,776 K
svchost.exe                   1460 Services                   0     38,596 K
fontdrvhost.exe               1480 Services                   0      4,288 K
fontdrvhost.exe               1488 Console                    1     21,744 K
WUDFHost.exe                  1536 Services                   0      6,624 K
svchost.exe                   1652 Services                   0     20,732 K
svchost.exe                   1804 Services                   0     11,124 K
WUDFHost.exe                  1832 Services                   0      6,004 K
WUDFHost.exe                  1904 Services                   0      5,800 K
svchost.exe                   2028 Services                   0     11,876 K
svchost.exe                   1268 Services                   0     12,568 K
svchost.exe                    816 Services                   0      7,940 K
svchost.exe                   1404 Services                   0     11,036 K
svchost.exe                   1348 Services                   0      5,448 K
svchost.exe                   1716 Services                   0     12,720 K
svchost.exe                   2164 Services                   0     10,792 K
svchost.exe                   2224 Services                   0     11,232 K
svchost.exe                   2232 Services                   0     12,692 K
svchost.exe                   2296 Services                   0     19,280 K
svchost.exe                   2444 Services                   0      8,596 K
svchost.exe                   2480 Services                   0      8,516 K
svchost.exe                   2496 Services                   0      6,408 K
svchost.exe                   2704 Services                   0     14,184 K
svchost.exe                   2712 Services                   0      9,288 K
svchost.exe                   2740 Services                   0      7,136 K
svchost.exe                   2764 Services                   0     11,484 K
dwm.exe                       2900 Console                    1    103,528 K
svchost.exe                   2932 Services                   0      7,992 K
svchost.exe                   3012 Services                   0     13,048 K
svchost.exe                   2852 Services                   0     17,244 K
svchost.exe                   2860 Services                   0     10,340 K
svchost.exe                   3148 Services                   0     11,184 K
svchost.exe                   3160 Services                   0     14,020 K
svchost.exe                   3200 Services                   0     19,100 K
svchost.exe                   3248 Services                   0     30,468 K
HrASDaemon.exe                3300 Services                   0      9,544 K
svchost.exe                   3464 Services                   0      6,260 K
svchost.exe                   3568 Services                   0      8,268 K
vmms.exe                      3584 Services                   0     32,656 K
svchost.exe                   3620 Services                   0     10,500 K
svchost.exe                   3832 Services                   0     14,340 K
svchost.exe                   3872 Services                   0      6,892 K
svchost.exe                   3892 Services                   0      7,912 K
svchost.exe                   4228 Services                   0      7,196 K
svchost.exe                   4316 Services                   0      9,332 K
svchost.exe                   4500 Services                   0     25,112 K
svchost.exe                   4540 Services                   0      7,824 K
atiesrxx.exe                  4856 Services                   0      6,772 K
amdfendrsr.exe                4864 Services                   0      7,100 K
svchost.exe                   4892 Services                   0     11,092 K
svchost.exe                   4996 Services                   0      7,804 K
vmcompute.exe                 5084 Services                   0     12,880 K
svchost.exe                   3936 Services                   0      5,940 K
svchost.exe                   4396 Services                   0     11,036 K
atieclxx.exe                  4328 Console                    1     17,200 K
svchost.exe                   5060 Services                   0      7,768 K
svchost.exe                   5052 Services                   0      7,476 K
svchost.exe                   5732 Services                   0     14,584 K
svchost.exe                   5840 Services                   0      9,776 K
ctfmon.exe                    5920 Console                    1     32,316 K
svchost.exe                   5948 Services                   0     23,892 K
svchost.exe                   5968 Services                   0     11,752 K
svchost.exe                   6048 Services                   0     20,004 K
svchost.exe                   6084 Services                   0     14,752 K
spoolsv.exe                   6132 Services                   0     14,732 K
svchost.exe                   5516 Services                   0     15,040 K
svchost.exe                   5352 Services                   0      9,456 K
DAX3API.exe                   6148 Services                   0     16,044 K
AdminService.exe              6156 Services                   0      8,716 K
svchost.exe                   6164 Services                   0     11,916 K
LenovoPcManagerService.ex     6172 Services                   0      9,008 K
svchost.exe                   6180 Services                   0     41,012 K
ldplayerservice.exe           6192 Services                   0      5,248 K
ELANFPService.exe             6200 Services                   0      4,880 K
OfficeClickToRun.exe          6208 Services                   0     40,836 K
