
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,268 K
Secure System                   88 Services                   0     40,536 K
Registry                       156 Services                   0     92,132 K
smss.exe                       696 Services                   0      1,148 K
csrss.exe                      780 Services                   0      5,096 K
wininit.exe                   1144 Services                   0      6,080 K
csrss.exe                     1156 Console                    1      7,568 K
services.exe                  1228 Services                   0     13,448 K
winlogon.exe                  1256 Console                    1     12,484 K
LsaIso.exe                    1308 Services                   0      3,064 K
lsass.exe                     1328 Services                   0     24,696 K
svchost.exe                   1460 Services                   0     38,672 K
fontdrvhost.exe               1480 Services                   0      4,284 K
fontdrvhost.exe               1488 Console                    1     21,048 K
WUDFHost.exe                  1536 Services                   0      6,836 K
svchost.exe                   1652 Services                   0     19,588 K
svchost.exe                   1804 Services                   0     11,008 K
WUDFHost.exe                  1832 Services                   0      6,004 K
WUDFHost.exe                  1904 Services                   0      5,344 K
svchost.exe                   2028 Services                   0     11,796 K
svchost.exe                   1268 Services                   0     10,148 K
svchost.exe                    816 Services                   0      7,448 K
svchost.exe                   1404 Services                   0     10,832 K
svchost.exe                   1348 Services                   0      5,448 K
svchost.exe                   1716 Services                   0     12,608 K
svchost.exe                   2164 Services                   0      9,968 K
svchost.exe                   2224 Services                   0     10,708 K
svchost.exe                   2232 Services                   0     12,520 K
svchost.exe                   2296 Services                   0     17,468 K
svchost.exe                   2444 Services                   0      8,464 K
svchost.exe                   2480 Services                   0      8,344 K
svchost.exe                   2496 Services                   0      6,380 K
svchost.exe                   2704 Services                   0     13,628 K
svchost.exe                   2712 Services                   0      9,044 K
svchost.exe                   2740 Services                   0      6,944 K
svchost.exe                   2764 Services                   0     11,132 K
dwm.exe                       2900 Console                    1     88,380 K
svchost.exe                   2932 Services                   0      7,612 K
svchost.exe                   3012 Services                   0     12,856 K
svchost.exe                   2852 Services                   0     17,728 K
svchost.exe                   2860 Services                   0      9,908 K
svchost.exe                   3148 Services                   0     10,972 K
svchost.exe                   3160 Services                   0     13,476 K
svchost.exe                   3200 Services                   0     18,608 K
svchost.exe                   3248 Services                   0     29,812 K
HrASDaemon.exe                3300 Services                   0      8,860 K
svchost.exe                   3464 Services                   0      6,164 K
svchost.exe                   3568 Services                   0      8,264 K
vmms.exe                      3584 Services                   0     31,640 K
svchost.exe                   3620 Services                   0     10,408 K
svchost.exe                   3832 Services                   0     13,420 K
svchost.exe                   3872 Services                   0      6,628 K
svchost.exe                   3892 Services                   0      7,924 K
svchost.exe                   4228 Services                   0      6,752 K
svchost.exe                   4316 Services                   0      8,956 K
svchost.exe                   4500 Services                   0     21,428 K
svchost.exe                   4540 Services                   0      7,248 K
atiesrxx.exe                  4856 Services                   0      6,772 K
amdfendrsr.exe                4864 Services                   0      7,100 K
svchost.exe                   4892 Services                   0     10,500 K
svchost.exe                   4996 Services                   0      7,628 K
vmcompute.exe                 5084 Services                   0     12,000 K
svchost.exe                   3936 Services                   0      5,940 K
svchost.exe                   4396 Services                   0     10,844 K
atieclxx.exe                  4328 Console                    1     16,816 K
svchost.exe                   5060 Services                   0      7,776 K
svchost.exe                   5052 Services                   0      7,432 K
svchost.exe                   5732 Services                   0     14,104 K
svchost.exe                   5840 Services                   0      9,300 K
ctfmon.exe                    5920 Console                    1     31,228 K
svchost.exe                   5948 Services                   0     23,696 K
svchost.exe                   5968 Services                   0     11,404 K
svchost.exe                   6048 Services                   0     19,140 K
svchost.exe                   6084 Services                   0     14,080 K
spoolsv.exe                   6132 Services                   0     13,820 K
svchost.exe                   5516 Services                   0     15,040 K
svchost.exe                   5352 Services                   0      9,348 K
DAX3API.exe                   6148 Services                   0     15,012 K
AdminService.exe              6156 Services                   0      8,608 K
svchost.exe                   6164 Services                   0     11,724 K
LenovoPcManagerService.ex     6172 Services                   0     12,052 K
svchost.exe                   6180 Services                   0     39,816 K
ldplayerservice.exe           6192 Services                   0      5,248 K
ELANFPService.exe             6200 Services                   0      4,880 K
OfficeClickToRun.exe          6208 Services                   0     38,976 K
