
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,328 K
Secure System                   88 Services                   0     40,536 K
Registry                       156 Services                   0     91,660 K
smss.exe                       696 Services                   0      1,148 K
csrss.exe                      780 Services                   0      5,168 K
wininit.exe                   1144 Services                   0      6,096 K
csrss.exe                     1156 Console                    1      7,740 K
services.exe                  1228 Services                   0     14,244 K
winlogon.exe                  1256 Console                    1     12,532 K
LsaIso.exe                    1308 Services                   0      3,080 K
lsass.exe                     1328 Services                   0     24,800 K
svchost.exe                   1460 Services                   0     38,900 K
fontdrvhost.exe               1480 Services                   0      4,324 K
fontdrvhost.exe               1488 Console                    1     20,628 K
WUDFHost.exe                  1536 Services                   0      6,864 K
svchost.exe                   1652 Services                   0     20,092 K
svchost.exe                   1804 Services                   0     11,200 K
WUDFHost.exe                  1832 Services                   0      6,068 K
WUDFHost.exe                  1904 Services                   0      5,384 K
svchost.exe                   2028 Services                   0     12,152 K
svchost.exe                   1268 Services                   0     10,088 K
svchost.exe                    816 Services                   0      7,816 K
svchost.exe                   1404 Services                   0     10,816 K
svchost.exe                   1348 Services                   0      5,448 K
svchost.exe                   1716 Services                   0     12,628 K
svchost.exe                   2164 Services                   0     10,140 K
svchost.exe                   2224 Services                   0     11,212 K
svchost.exe                   2232 Services                   0     12,628 K
svchost.exe                   2296 Services                   0     18,288 K
svchost.exe                   2444 Services                   0      8,808 K
svchost.exe                   2480 Services                   0      8,324 K
svchost.exe                   2496 Services                   0      6,436 K
svchost.exe                   2704 Services                   0     13,556 K
svchost.exe                   2712 Services                   0      9,140 K
svchost.exe                   2740 Services                   0      6,956 K
svchost.exe                   2764 Services                   0     11,316 K
dwm.exe                       2900 Console                    1     98,032 K
svchost.exe                   2932 Services                   0      7,628 K
svchost.exe                   3012 Services                   0     12,960 K
svchost.exe                   2852 Services                   0     17,708 K
svchost.exe                   2860 Services                   0      9,892 K
svchost.exe                   3148 Services                   0     10,996 K
svchost.exe                   3160 Services                   0     13,968 K
svchost.exe                   3200 Services                   0     19,892 K
svchost.exe                   3248 Services                   0     28,896 K
HrASDaemon.exe                3300 Services                   0      8,868 K
svchost.exe                   3464 Services                   0      6,256 K
svchost.exe                   3568 Services                   0      8,300 K
vmms.exe                      3584 Services                   0     31,764 K
svchost.exe                   3620 Services                   0     10,484 K
svchost.exe                   3832 Services                   0     13,272 K
svchost.exe                   3872 Services                   0      6,636 K
svchost.exe                   3892 Services                   0      7,824 K
svchost.exe                   4228 Services                   0      6,756 K
svchost.exe                   4316 Services                   0      9,036 K
svchost.exe                   4500 Services                   0     22,440 K
svchost.exe                   4540 Services                   0      7,780 K
atiesrxx.exe                  4856 Services                   0      6,820 K
amdfendrsr.exe                4864 Services                   0      7,132 K
svchost.exe                   4892 Services                   0     10,444 K
svchost.exe                   4996 Services                   0      7,696 K
vmcompute.exe                 5084 Services                   0     12,012 K
svchost.exe                   3936 Services                   0      5,932 K
svchost.exe                   4396 Services                   0     11,100 K
atieclxx.exe                  4328 Console                    1     17,080 K
svchost.exe                   5060 Services                   0      8,016 K
svchost.exe                   5052 Services                   0      7,696 K
svchost.exe                   5732 Services                   0     15,040 K
svchost.exe                   5840 Services                   0      9,332 K
ctfmon.exe                    5920 Console                    1     31,872 K
svchost.exe                   5948 Services                   0     47,616 K
svchost.exe                   5968 Services                   0     11,732 K
svchost.exe                   6048 Services                   0     19,344 K
svchost.exe                   6084 Services                   0     14,296 K
spoolsv.exe                   6132 Services                   0     14,324 K
svchost.exe                   5516 Services                   0     15,420 K
svchost.exe                   5352 Services                   0      9,352 K
DAX3API.exe                   6148 Services                   0     15,564 K
AdminService.exe              6156 Services                   0      8,612 K
svchost.exe                   6164 Services                   0     11,452 K
LenovoPcManagerService.ex     6172 Services                   0     10,172 K
svchost.exe                   6180 Services                   0     41,304 K
ldplayerservice.exe           6192 Services                   0      5,248 K
ELANFPService.exe             6200 Services                   0      5,100 K
OfficeClickToRun.exe          6208 Services                   0     39,744 K
