
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,260 K
Secure System                   88 Services                   0     40,536 K
Registry                       156 Services                   0    103,984 K
smss.exe                       696 Services                   0      1,148 K
csrss.exe                      780 Services                   0      5,328 K
wininit.exe                   1144 Services                   0      6,080 K
csrss.exe                     1156 Console                    1      7,592 K
services.exe                  1228 Services                   0     13,656 K
winlogon.exe                  1256 Console                    1     12,480 K
LsaIso.exe                    1308 Services                   0      3,064 K
lsass.exe                     1328 Services                   0     24,828 K
svchost.exe                   1460 Services                   0     39,004 K
fontdrvhost.exe               1480 Services                   0      4,308 K
fontdrvhost.exe               1488 Console                    1     21,400 K
WUDFHost.exe                  1536 Services                   0      6,624 K
svchost.exe                   1652 Services                   0     21,352 K
svchost.exe                   1804 Services                   0     11,020 K
WUDFHost.exe                  1832 Services                   0      5,992 K
WUDFHost.exe                  1904 Services                   0      5,648 K
svchost.exe                   2028 Services                   0     11,848 K
svchost.exe                   1268 Services                   0     13,004 K
svchost.exe                    816 Services                   0      7,720 K
svchost.exe                   1404 Services                   0     10,944 K
svchost.exe                   1348 Services                   0      5,436 K
svchost.exe                   1716 Services                   0     12,468 K
svchost.exe                   2164 Services                   0     10,964 K
svchost.exe                   2224 Services                   0     11,240 K
svchost.exe                   2232 Services                   0     12,648 K
svchost.exe                   2296 Services                   0     18,740 K
svchost.exe                   2444 Services                   0      8,600 K
svchost.exe                   2480 Services                   0      9,344 K
svchost.exe                   2496 Services                   0      6,408 K
svchost.exe                   2704 Services                   0     14,768 K
svchost.exe                   2712 Services                   0      9,152 K
svchost.exe                   2740 Services                   0      6,928 K
svchost.exe                   2764 Services                   0     11,516 K
dwm.exe                       2900 Console                    1     83,488 K
svchost.exe                   2932 Services                   0      7,920 K
svchost.exe                   3012 Services                   0     12,996 K
svchost.exe                   2852 Services                   0     17,808 K
svchost.exe                   2860 Services                   0     10,948 K
svchost.exe                   3148 Services                   0     12,016 K
svchost.exe                   3160 Services                   0     14,132 K
svchost.exe                   3200 Services                   0     19,460 K
HipsDaemon.exe                3236 Services                   0     25,344 K
svchost.exe                   3248 Services                   0     30,508 K
HrASDaemon.exe                3300 Services                   0      8,832 K
svchost.exe                   3464 Services                   0      6,288 K
svchost.exe                   3568 Services                   0      8,264 K
vmms.exe                      3584 Services                   0     32,824 K
svchost.exe                   3620 Services                   0     10,432 K
svchost.exe                   3832 Services                   0     14,084 K
svchost.exe                   3872 Services                   0      6,876 K
svchost.exe                   3892 Services                   0      7,912 K
svchost.exe                   4228 Services                   0      7,144 K
svchost.exe                   4316 Services                   0      9,280 K
svchost.exe                   4500 Services                   0     25,828 K
svchost.exe                   4540 Services                   0      7,888 K
atiesrxx.exe                  4856 Services                   0      6,748 K
amdfendrsr.exe                4864 Services                   0      7,096 K
svchost.exe                   4892 Services                   0     19,660 K
svchost.exe                   4996 Services                   0      7,820 K
vmcompute.exe                 5084 Services                   0     12,852 K
svchost.exe                   3936 Services                   0      5,948 K
svchost.exe                   4396 Services                   0     11,212 K
atieclxx.exe                  4328 Console                    1     17,240 K
svchost.exe                   5060 Services                   0      8,332 K
svchost.exe                   5052 Services                   0     11,164 K
svchost.exe                   5732 Services                   0     15,048 K
svchost.exe                   5840 Services                   0      9,760 K
ctfmon.exe                    5920 Console                    1     32,368 K
svchost.exe                   5948 Services                   0     23,952 K
svchost.exe                   5968 Services                   0     11,464 K
svchost.exe                   6048 Services                   0     19,932 K
svchost.exe                   6084 Services                   0     14,688 K
spoolsv.exe                   6132 Services                   0     14,504 K
svchost.exe                   5516 Services                   0     15,000 K
svchost.exe                   5352 Services                   0      9,460 K
DAX3API.exe                   6148 Services                   0     16,056 K
AdminService.exe              6156 Services                   0      8,596 K
svchost.exe                   6164 Services                   0     12,072 K
LenovoPcManagerService.ex     6172 Services                   0     11,000 K
svchost.exe                   6180 Services                   0     42,252 K
ldplayerservice.exe           6192 Services                   0      5,288 K
ELANFPService.exe             6200 Services                   0      4,884 K
