
�����

  Э��  ���ص�ַ          �ⲿ��ַ        ״̬           PID
  TCP    0.0.0.0:7              0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:9              0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:13             0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:17             0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:19             0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1652
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1024           0.0.0.0:0              LISTENING       7664
  TCP    0.0.0.0:1025           0.0.0.0:0              LISTENING       7548
  TCP    0.0.0.0:1027           0.0.0.0:0              LISTENING       1228
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       3584
  TCP    0.0.0.0:2222           0.0.0.0:0              LISTENING       26840
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       2028
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       9264
  TCP    0.0.0.0:5471           0.0.0.0:0              LISTENING       31036
  TCP    0.0.0.0:5555           0.0.0.0:0              LISTENING       26840
  TCP    0.0.0.0:6009           0.0.0.0:0              LISTENING       29800
  TCP    0.0.0.0:12862          0.0.0.0:0              LISTENING       7664
  TCP    0.0.0.0:20000          0.0.0.0:0              LISTENING       29800
  TCP    0.0.0.0:20000          0.0.0.0:0              LISTENING       21156
  TCP    0.0.0.0:21002          0.0.0.0:0              LISTENING       21156
  TCP    0.0.0.0:21002          0.0.0.0:0              LISTENING       29800
  TCP    0.0.0.0:21003          0.0.0.0:0              LISTENING       29800
  TCP    0.0.0.0:21003          0.0.0.0:0              LISTENING       21156
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1328
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1144
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2296
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2852
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4316
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       6132
  TCP    0.0.0.0:65532          0.0.0.0:0              LISTENING       18716
  TCP    127.0.0.1:3180         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:3182         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:3184         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:3202         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:3220         127.0.0.1:65532        ESTABLISHED     15300
  TCP    127.0.0.1:3659         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:3722         127.0.0.1:65532        ESTABLISHED     23736
  TCP    127.0.0.1:3759         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:3760         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:3792         127.0.0.1:65532        ESTABLISHED     28236
  TCP    127.0.0.1:4001         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:4301         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:4310         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:4709         0.0.0.0:0              LISTENING       31036
  TCP    127.0.0.1:5037         0.0.0.0:0              LISTENING       22692
  TCP    127.0.0.1:5037         127.0.0.1:7534         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7535         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7542         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7543         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7552         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7553         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7561         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7562         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7569         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7570         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7587         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7588         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7598         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7599         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7614         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7615         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7627         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7628         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7639         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7640         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7656         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7657         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7686         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7687         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7697         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7698         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7706         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7707         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7717         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7718         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7735         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7736         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7752         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7753         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7778         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7779         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7785         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7786         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7788         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7789         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7791         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7792         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7794         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7795         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7797         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7798         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7800         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7801         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7804         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7805         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7808         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7809         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7811         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7812         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7813         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7814         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7816         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7817         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7819         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7820         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7822         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7823         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7825         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7826         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7828         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7829         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7831         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7832         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7834         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7835         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7838         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7839         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7841         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7842         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7844         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7845         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7847         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7848         TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:7850         TIME_WAIT       0
