
�����

  Э��  ���ص�ַ          �ⲿ��ַ        ״̬           PID
  TCP    0.0.0.0:7              0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:9              0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:13             0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:17             0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:19             0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1652
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1024           0.0.0.0:0              LISTENING       7664
  TCP    0.0.0.0:1025           0.0.0.0:0              LISTENING       7548
  TCP    0.0.0.0:1027           0.0.0.0:0              LISTENING       1228
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       3584
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       2028
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       9264
  TCP    0.0.0.0:5471           0.0.0.0:0              LISTENING       31036
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1328
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1144
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2296
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2852
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4316
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       6132
  TCP    0.0.0.0:65532          0.0.0.0:0              LISTENING       18716
  TCP    127.0.0.1:4001         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:4301         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:4310         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:4535         127.0.0.1:65532        ESTABLISHED     13392
  TCP    127.0.0.1:4537         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:4709         0.0.0.0:0              LISTENING       31036
  TCP    127.0.0.1:5037         0.0.0.0:0              LISTENING       22692
  TCP    127.0.0.1:5283         0.0.0.0:0              LISTENING       12340
  TCP    127.0.0.1:5284         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:5351         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:5398         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:5525         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:6442         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:6454         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:6456         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:6457         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:6458         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:6459         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:6497         127.0.0.1:65532        CLOSE_WAIT      20960
  TCP    127.0.0.1:6500         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:6501         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:6503         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:6515         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:6517         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:6519         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:6521         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:6531         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:6547         127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:6561         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:6563         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:6564         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:6565         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:6571         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:6577         127.0.0.1:18789        TIME_WAIT       0
  TCP    127.0.0.1:6578         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:6581         127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:6595         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:6605         127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:6615         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:6616         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:6617         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:6618         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:6619         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:6626         127.0.0.1:18789        TIME_WAIT       0
  TCP    127.0.0.1:6627         127.0.0.1:65532        ESTABLISHED     20996
  TCP    127.0.0.1:6631         127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:6873         0.0.0.0:0              LISTENING       18716
  TCP    127.0.0.1:6873         127.0.0.1:6875         ESTABLISHED     18716
  TCP    127.0.0.1:6875         127.0.0.1:6873         ESTABLISHED     18716
  TCP    127.0.0.1:7005         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:9210         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:9410         0.0.0.0:0              LISTENING       12368
  TCP    127.0.0.1:11540        127.0.0.1:18789        ESTABLISHED     21912
  TCP    127.0.0.1:11546        127.0.0.1:18789        ESTABLISHED     27500
  TCP    127.0.0.1:11547        127.0.0.1:18789        ESTABLISHED     27500
  TCP    127.0.0.1:13330        127.0.0.1:13331        ESTABLISHED     22692
  TCP    127.0.0.1:13331        127.0.0.1:13330        ESTABLISHED     22692
  TCP    127.0.0.1:13332        127.0.0.1:13333        ESTABLISHED     22692
  TCP    127.0.0.1:13333        127.0.0.1:13332        ESTABLISHED     22692
  TCP    127.0.0.1:14355        127.0.0.1:49853        ESTABLISHED     17108
  TCP    127.0.0.1:14520        0.0.0.0:0              LISTENING       28588
  TCP    127.0.0.1:18789        0.0.0.0:0              LISTENING       27500
  TCP    127.0.0.1:18789        127.0.0.1:11540        ESTABLISHED     27500
  TCP    127.0.0.1:18789        127.0.0.1:11546        ESTABLISHED     27500
  TCP    127.0.0.1:18789        127.0.0.1:11547        ESTABLISHED     27500
  TCP    127.0.0.1:18790        0.0.0.0:0              LISTENING       21912
  TCP    127.0.0.1:41303        0.0.0.0:0              LISTENING       7548
  TCP    127.0.0.1:49853        0.0.0.0:0              LISTENING       20996
  TCP    127.0.0.1:49853        127.0.0.1:14355        ESTABLISHED     20996
  TCP    127.0.0.1:50158        0.0.0.0:0              LISTENING       26996
  TCP    127.0.0.1:57973        0.0.0.0:0              LISTENING       7664
  TCP    127.0.0.1:59575        0.0.0.0:0              LISTENING       7664
  TCP    127.0.0.1:65532        127.0.0.1:4535         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:4537         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:5351         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:5398         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:5525         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6412         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:6424         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:6442         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6454         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6457         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6458         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6459         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6497         FIN_WAIT_2      18716
  TCP    127.0.0.1:65532        127.0.0.1:6500         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6503         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6518         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:6520         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:6528         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:6543         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:6562         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:6571         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6595         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6615         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6616         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6617         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6618         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6619         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6627         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7005         ESTABLISHED     18716
  TCP    172.24.96.1:139        0.0.0.0:0              LISTENING       4
  TCP    192.168.16.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.31.44:139      0.0.0.0:0              LISTENING       4
