
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,264 K
Secure System                   88 Services                   0     40,536 K
Registry                       156 Services                   0     92,704 K
smss.exe                       696 Services                   0      1,148 K
csrss.exe                      780 Services                   0      5,260 K
wininit.exe                   1144 Services                   0      6,080 K
csrss.exe                     1156 Console                    1      7,468 K
services.exe                  1228 Services                   0     13,460 K
winlogon.exe                  1256 Console                    1     12,436 K
LsaIso.exe                    1308 Services                   0      3,432 K
lsass.exe                     1328 Services                   0     24,536 K
svchost.exe                   1460 Services                   0     38,360 K
fontdrvhost.exe               1480 Services                   0      4,288 K
fontdrvhost.exe               1488 Console                    1     21,268 K
WUDFHost.exe                  1536 Services                   0      6,624 K
svchost.exe                   1652 Services                   0     19,944 K
svchost.exe                   1804 Services                   0     10,992 K
WUDFHost.exe                  1832 Services                   0      6,004 K
WUDFHost.exe                  1904 Services                   0      5,380 K
svchost.exe                   2028 Services                   0     11,820 K
svchost.exe                   1268 Services                   0     11,512 K
svchost.exe                    816 Services                   0      7,676 K
svchost.exe                   1404 Services                   0     10,940 K
svchost.exe                   1348 Services                   0      5,436 K
svchost.exe                   1716 Services                   0     12,508 K
svchost.exe                   2164 Services                   0     10,540 K
svchost.exe                   2224 Services                   0     10,968 K
svchost.exe                   2232 Services                   0     12,556 K
svchost.exe                   2296 Services                   0     18,580 K
svchost.exe                   2444 Services                   0      8,456 K
svchost.exe                   2480 Services                   0      8,352 K
svchost.exe                   2496 Services                   0      6,404 K
svchost.exe                   2704 Services                   0     13,784 K
svchost.exe                   2712 Services                   0      9,140 K
svchost.exe                   2740 Services                   0      6,920 K
svchost.exe                   2764 Services                   0     11,188 K
dwm.exe                       2900 Console                    1     95,152 K
svchost.exe                   2932 Services                   0      7,624 K
svchost.exe                   3012 Services                   0     13,028 K
svchost.exe                   2852 Services                   0     17,168 K
svchost.exe                   2860 Services                   0      9,988 K
svchost.exe                   3148 Services                   0     11,040 K
svchost.exe                   3160 Services                   0     13,824 K
svchost.exe                   3200 Services                   0     19,076 K
svchost.exe                   3248 Services                   0     29,196 K
HrASDaemon.exe                3300 Services                   0      8,912 K
svchost.exe                   3464 Services                   0      6,236 K
svchost.exe                   3568 Services                   0      8,264 K
vmms.exe                      3584 Services                   0     31,668 K
svchost.exe                   3620 Services                   0     10,436 K
svchost.exe                   3832 Services                   0     13,744 K
svchost.exe                   3872 Services                   0      6,756 K
svchost.exe                   3892 Services                   0      7,856 K
svchost.exe                   4228 Services                   0      7,112 K
svchost.exe                   4316 Services                   0      8,980 K
svchost.exe                   4500 Services                   0     21,256 K
svchost.exe                   4540 Services                   0      7,420 K
atiesrxx.exe                  4856 Services                   0      6,772 K
amdfendrsr.exe                4864 Services                   0      7,100 K
svchost.exe                   4892 Services                   0     10,976 K
svchost.exe                   4996 Services                   0      7,648 K
vmcompute.exe                 5084 Services                   0     12,644 K
svchost.exe                   3936 Services                   0      5,940 K
svchost.exe                   4396 Services                   0     10,908 K
atieclxx.exe                  4328 Console                    1     16,848 K
svchost.exe                   5060 Services                   0      7,768 K
svchost.exe                   5052 Services                   0      7,476 K
svchost.exe                   5732 Services                   0     14,348 K
svchost.exe                   5840 Services                   0      9,484 K
ctfmon.exe                    5920 Console                    1     31,636 K
svchost.exe                   5948 Services                   0     23,716 K
svchost.exe                   5968 Services                   0     11,196 K
svchost.exe                   6048 Services                   0     19,288 K
svchost.exe                   6084 Services                   0     14,516 K
spoolsv.exe                   6132 Services                   0     13,964 K
svchost.exe                   5516 Services                   0     15,040 K
svchost.exe                   5352 Services                   0      9,348 K
DAX3API.exe                   6148 Services                   0     15,388 K
AdminService.exe              6156 Services                   0      8,540 K
svchost.exe                   6164 Services                   0     11,968 K
LenovoPcManagerService.ex     6172 Services                   0      8,556 K
svchost.exe                   6180 Services                   0     40,384 K
ldplayerservice.exe           6192 Services                   0      5,216 K
ELANFPService.exe             6200 Services                   0      4,880 K
OfficeClickToRun.exe          6208 Services                   0     40,052 K
