
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,348 K
Secure System                   88 Services                   0     40,536 K
Registry                       156 Services                   0     92,132 K
smss.exe                       696 Services                   0      1,148 K
csrss.exe                      780 Services                   0      5,168 K
wininit.exe                   1144 Services                   0      6,080 K
csrss.exe                     1156 Console                    1     14,308 K
services.exe                  1228 Services                   0     14,096 K
winlogon.exe                  1256 Console                    1     12,408 K
LsaIso.exe                    1308 Services                   0      3,064 K
lsass.exe                     1328 Services                   0     24,732 K
svchost.exe                   1460 Services                   0     39,156 K
fontdrvhost.exe               1480 Services                   0      4,284 K
fontdrvhost.exe               1488 Console                    1     20,672 K
WUDFHost.exe                  1536 Services                   0      6,644 K
svchost.exe                   1652 Services                   0     20,528 K
svchost.exe                   1804 Services                   0     11,064 K
WUDFHost.exe                  1832 Services                   0      6,004 K
WUDFHost.exe                  1904 Services                   0      5,344 K
svchost.exe                   2028 Services                   0     11,848 K
svchost.exe                   1268 Services                   0     10,264 K
svchost.exe                    816 Services                   0      7,668 K
svchost.exe                   1404 Services                   0     10,800 K
svchost.exe                   1348 Services                   0      5,448 K
svchost.exe                   1716 Services                   0     12,560 K
svchost.exe                   2164 Services                   0     10,104 K
svchost.exe                   2224 Services                   0     10,672 K
svchost.exe                   2232 Services                   0     12,560 K
svchost.exe                   2296 Services                   0     17,108 K
svchost.exe                   2444 Services                   0      8,468 K
svchost.exe                   2480 Services                   0      8,228 K
svchost.exe                   2496 Services                   0      6,404 K
svchost.exe                   2704 Services                   0     13,584 K
svchost.exe                   2712 Services                   0      9,108 K
svchost.exe                   2740 Services                   0      6,924 K
svchost.exe                   2764 Services                   0     11,192 K
dwm.exe                       2900 Console                    1    121,032 K
svchost.exe                   2932 Services                   0      7,612 K
svchost.exe                   3012 Services                   0     13,028 K
svchost.exe                   2852 Services                   0     17,748 K
svchost.exe                   2860 Services                   0      9,836 K
svchost.exe                   3148 Services                   0     10,932 K
svchost.exe                   3160 Services                   0     13,456 K
svchost.exe                   3200 Services                   0     19,224 K
svchost.exe                   3248 Services                   0     29,764 K
HrASDaemon.exe                3300 Services                   0      9,604 K
svchost.exe                   3464 Services                   0      6,284 K
svchost.exe                   3568 Services                   0      8,264 K
vmms.exe                      3584 Services                   0     31,644 K
svchost.exe                   3620 Services                   0     10,428 K
svchost.exe                   3832 Services                   0     13,264 K
svchost.exe                   3872 Services                   0      6,628 K
svchost.exe                   3892 Services                   0      7,924 K
svchost.exe                   4228 Services                   0      6,748 K
svchost.exe                   4316 Services                   0      8,988 K
svchost.exe                   4500 Services                   0     21,960 K
svchost.exe                   4540 Services                   0      7,260 K
atiesrxx.exe                  4856 Services                   0      6,772 K
amdfendrsr.exe                4864 Services                   0      7,100 K
svchost.exe                   4892 Services                   0     10,436 K
svchost.exe                   4996 Services                   0      7,700 K
vmcompute.exe                 5084 Services                   0     11,996 K
svchost.exe                   3936 Services                   0      5,940 K
svchost.exe                   4396 Services                   0     10,884 K
atieclxx.exe                  4328 Console                    1     17,000 K
svchost.exe                   5060 Services                   0      7,988 K
svchost.exe                   5052 Services                   0      7,892 K
svchost.exe                   5732 Services                   0     15,968 K
svchost.exe                   5840 Services                   0      9,300 K
ctfmon.exe                    5920 Console                    1     32,572 K
svchost.exe                   5948 Services                   0     27,116 K
svchost.exe                   5968 Services                   0     11,768 K
svchost.exe                   6048 Services                   0     19,116 K
svchost.exe                   6084 Services                   0     14,208 K
spoolsv.exe                   6132 Services                   0     13,960 K
svchost.exe                   5516 Services                   0     15,372 K
svchost.exe                   5352 Services                   0      9,344 K
DAX3API.exe                   6148 Services                   0     15,472 K
AdminService.exe              6156 Services                   0      8,588 K
svchost.exe                   6164 Services                   0     11,140 K
LenovoPcManagerService.ex     6172 Services                   0     12,356 K
svchost.exe                   6180 Services                   0     41,848 K
ldplayerservice.exe           6192 Services                   0      5,280 K
ELANFPService.exe             6200 Services                   0      4,884 K
OfficeClickToRun.exe          6208 Services                   0     42,172 K
