
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,344 K
Secure System                   88 Services                   0     40,536 K
Registry                       156 Services                   0     92,212 K
smss.exe                       696 Services                   0      1,148 K
csrss.exe                      780 Services                   0      5,140 K
wininit.exe                   1144 Services                   0      6,080 K
csrss.exe                     1156 Console                    1     13,952 K
services.exe                  1228 Services                   0     13,552 K
winlogon.exe                  1256 Console                    1     12,464 K
LsaIso.exe                    1308 Services                   0      3,064 K
lsass.exe                     1328 Services                   0     24,708 K
svchost.exe                   1460 Services                   0     39,216 K
fontdrvhost.exe               1480 Services                   0      4,260 K
fontdrvhost.exe               1488 Console                    1     20,336 K
WUDFHost.exe                  1536 Services                   0      6,600 K
svchost.exe                   1652 Services                   0     20,524 K
svchost.exe                   1804 Services                   0     11,088 K
WUDFHost.exe                  1832 Services                   0      5,936 K
WUDFHost.exe                  1904 Services                   0      5,276 K
svchost.exe                   2028 Services                   0     11,820 K
svchost.exe                   1268 Services                   0     10,256 K
svchost.exe                    816 Services                   0      7,684 K
svchost.exe                   1404 Services                   0     10,792 K
svchost.exe                   1348 Services                   0      5,424 K
svchost.exe                   1716 Services                   0     12,560 K
svchost.exe                   2164 Services                   0     10,136 K
svchost.exe                   2224 Services                   0     10,664 K
svchost.exe                   2232 Services                   0     12,508 K
svchost.exe                   2296 Services                   0     17,428 K
svchost.exe                   2444 Services                   0      8,584 K
svchost.exe                   2480 Services                   0      8,204 K
svchost.exe                   2496 Services                   0      6,368 K
svchost.exe                   2704 Services                   0     13,528 K
svchost.exe                   2712 Services                   0      9,084 K
svchost.exe                   2740 Services                   0      6,912 K
svchost.exe                   2764 Services                   0     11,180 K
dwm.exe                       2900 Console                    1     96,552 K
svchost.exe                   2932 Services                   0      7,592 K
svchost.exe                   3012 Services                   0     13,064 K
svchost.exe                   2852 Services                   0     17,412 K
svchost.exe                   2860 Services                   0      9,880 K
svchost.exe                   3148 Services                   0     10,980 K
svchost.exe                   3160 Services                   0     13,424 K
svchost.exe                   3200 Services                   0     19,216 K
svchost.exe                   3248 Services                   0     29,472 K
HrASDaemon.exe                3300 Services                   0      8,772 K
svchost.exe                   3464 Services                   0      6,284 K
svchost.exe                   3568 Services                   0      8,248 K
vmms.exe                      3584 Services                   0     31,608 K
svchost.exe                   3620 Services                   0     10,564 K
svchost.exe                   3832 Services                   0     13,456 K
svchost.exe                   3872 Services                   0      6,620 K
svchost.exe                   3892 Services                   0      7,936 K
svchost.exe                   4228 Services                   0      6,740 K
svchost.exe                   4316 Services                   0      8,936 K
svchost.exe                   4500 Services                   0     22,076 K
svchost.exe                   4540 Services                   0      7,248 K
atiesrxx.exe                  4856 Services                   0      6,724 K
amdfendrsr.exe                4864 Services                   0      7,044 K
svchost.exe                   4892 Services                   0     10,392 K
svchost.exe                   4996 Services                   0      7,680 K
vmcompute.exe                 5084 Services                   0     11,892 K
svchost.exe                   3936 Services                   0      5,936 K
svchost.exe                   4396 Services                   0     10,932 K
atieclxx.exe                  4328 Console                    1     16,976 K
svchost.exe                   5060 Services                   0      7,944 K
svchost.exe                   5052 Services                   0      7,600 K
svchost.exe                   5732 Services                   0     15,920 K
svchost.exe                   5840 Services                   0      9,284 K
ctfmon.exe                    5920 Console                    1     32,536 K
svchost.exe                   5948 Services                   0     25,920 K
svchost.exe                   5968 Services                   0     11,772 K
svchost.exe                   6048 Services                   0     19,064 K
svchost.exe                   6084 Services                   0     14,052 K
spoolsv.exe                   6132 Services                   0     13,700 K
svchost.exe                   5516 Services                   0     14,988 K
svchost.exe                   5352 Services                   0      9,332 K
DAX3API.exe                   6148 Services                   0     15,496 K
AdminService.exe              6156 Services                   0      8,576 K
svchost.exe                   6164 Services                   0     11,080 K
LenovoPcManagerService.ex     6172 Services                   0     11,616 K
svchost.exe                   6180 Services                   0     42,040 K
ldplayerservice.exe           6192 Services                   0      5,244 K
ELANFPService.exe             6200 Services                   0      4,836 K
OfficeClickToRun.exe          6208 Services                   0     41,388 K
