name,offset,stored_length,decoded_length,encoding,reserved
start.mr,1921,1514,3787,gzip,0
mrc_loader.ext,3458,219,232,gzip,0
jiantou_t!12!10.bmp,3705,47,240,gzip,0
loadingbar!201!29.bmp,3782,1385,11658,gzip,0
wy_jiao02!10!10.bmp,5195,91,200,gzip,0
bar!16!18.bmp,5308,35,576,gzip,0
jiao42!11!6.bmp,5367,48,132,gzip,0
target.ani,5434,113,125,gzip,0
textbar!120!30.bmp,5574,1544,7200,gzip,0
listicon.bmp,7139,184,800,gzip,0
target!65!25.bmp,7348,351,3250,gzip,0
dirarrow!13!12.bmp,7726,95,312,gzip,0
wy_jiao3!10!10.bmp,7848,67,200,gzip,0
wy_xian2!15!5.bmp,7941,35,150,gzip,0
wy_jiao2!10!10.bmp,8003,67,200,gzip,0
wy_jiao22!10!10.bmp,8098,48,200,gzip,0
wy_jiao5!11!11.bmp,8173,73,242,gzip,0
wy_xian1!15!7.bmp,8272,36,210,gzip,0
wy_jiao12!11!11.bmp,8336,51,242,gzip,0
wy_jiao1!11!11.bmp,8414,90,242,gzip,0
jt!30!16.bmp,8525,148,960,gzip,0
top!76!28.bmp,8695,1321,4256,gzip,0
jiantou!12!15.bmp,10042,108,360,gzip,0
wy_xian0!15!6.bmp,10176,42,180,gzip,0
wy_jiao0!10!10.bmp,10245,89,200,gzip,0
wy_xian3!15!5.bmp,10360,36,150,gzip,0
wy_jiao32!10!10.bmp,10424,48,200,gzip,0
jiao41!12!12.bmp,10497,90,288,gzip,0
jiantou_x!12!10.bmp,10615,45,240,gzip,0
slogo!157!58.bmp,10685,11897,18212,gzip,0
bigworldmapmodule.ext,22612,8741,17360,gzip,0
mainmenumodule.ext,31380,15300,28712,gzip,0
mailmodule.ext,46703,14778,27692,gzip,0
moduletest.ext,61504,7200,15152,gzip,0
chatmodule.ext,68727,8857,15228,gzip,0
gezimodule.ext,77607,4261,7356,gzip,0
taobaomodule.ext,81893,9352,16504,gzip,0
gameattackmodule.ext,91274,26089,47368,gzip,0
monsterstatemodule.ext,117394,10663,18712,gzip,0
itembagshopmodule.ext,128087,20439,43420,gzip,0
viewmanmodule.ext,148552,10976,19436,gzip,0
betmodule.ext,159550,8327,14512,gzip,0
monstermodule.ext,167903,8870,19256,gzip,0
leitaimodule.ext,176798,11387,21248,gzip,0
reg.ext,188201,1381,2472,gzip,0
lianmengmodule.ext,189609,17529,36216,gzip,0
othermodule.ext,207162,24412,46708,gzip,0
robotol.ext,231594,161178,253420,gzip,0
shopmodule.ext,392795,8820,14836,gzip,0
itemhechengmodule.ext,401645,12957,25136,gzip,0
