name,offset,stored_length,decoded_length,encoding,reserved
start.mr,808,1514,3787,gzip,0
mrc_loader.ext,2345,219,232,gzip,0
name3.bmp,2582,161,696,gzip,0
name2.bmp,2761,159,224,gzip,0
load3.bmp,2938,112,364,gzip,0
load2.bmp,3068,321,3006,gzip,0
load1.bmp,3407,465,6154,gzip,0
name1.bmp,3890,3410,23940,gzip,0
hill2.bmp,7318,17987,42390,gzip,0
hill1.bmp,25323,16861,35960,gzip,0
zhang.bmp,42202,691,684,gzip,0
sfcidx.bin,42912,1978,2020,gzip,0
world.path,44909,1053,1694,gzip,0
face4.bmp,45980,11632,30720,gzip,0
face5.bmp,57630,9314,30720,gzip,0
text.res,66961,4359,8454,gzip,0
face1.bmp,71338,4411,30720,gzip,0
face2.bmp,75767,5858,30720,gzip,0
face3.bmp,81643,10582,30720,gzip,0
reg.ext,92241,658,704,gzip,0
mmochat.ext,92919,206148,320292,gzip,0
