call_id,resource_sequence,member_name,tag,pc,sp,lr,r0,r4,r5,r6,r9
1,1,"loadingbar!201!29.bmp",LOOKUP_CALLSITE,0x304BF0,0x27FE80,0x2D93D1,0x2B216C,0x6BBB98,0x0,0x6BBB48,0x2B1858
1,1,"loadingbar!201!29.bmp",CALLER_CONTINUATION,0x2D93D2,0x27FE80,0x2D93D1,0x0,0x6BBB98,0x0,0x6BBB48,0x2B1858
2,2,"bar!16!18.bmp",LOOKUP_CALLSITE,0x304BF0,0x27FE80,0x2D93D1,0x2B216C,0x6BE990,0x0,0x6BE948,0x2B1858
2,2,"bar!16!18.bmp",CALLER_CONTINUATION,0x2D93D2,0x27FE80,0x2D93D1,0x0,0x6BE990,0x0,0x6BE948,0x2B1858
3,3,"textbar!120!30.bmp",LOOKUP_CALLSITE,0x304BF0,0x27FE80,0x2D93D1,0x2B216C,0x6BEC48,0x0,0x6BEBF8,0x2B1858
3,3,"textbar!120!30.bmp",CALLER_CONTINUATION,0x2D93D2,0x27FE80,0x2D93D1,0x0,0x6BEC48,0x0,0x6BEBF8,0x2B1858
4,4,"topleft!15!5.bmp",LOOKUP_CALLSITE,0x304BF0,0x27FEF8,0x2D93D1,0x2B216C,0x6C08E0,0x0,0x6C0890,0x2B1858
4,4,"topleft!15!5.bmp",CALLER_CONTINUATION,0x2D93D2,0x27FEF8,0x2D93D1,0x0,0x6C08E0,0x0,0x6C0890,0x2B1858
5,5,"topright!12!4.bmp",LOOKUP_CALLSITE,0x304BF0,0x27FEF8,0x2D93D1,0x2B216C,0x6C09F0,0x0,0x6C09A0,0x2B1858
5,5,"topright!12!4.bmp",CALLER_CONTINUATION,0x2D93D2,0x27FEF8,0x2D93D1,0x0,0x6C09F0,0x0,0x6C09A0,0x2B1858
6,6,"loadingbar!201!29.bmp",LOOKUP_CALLSITE,0x304BF0,0x27FE38,0x2D93D1,0x2B216C,0x6C1258,0x0,0x6C1208,0x2B1858
6,6,"loadingbar!201!29.bmp",LOOKUP_CONTINUATION,0x304BF4,0x27FE14,0x2D93D1,0x2B216C,0x6C1258,0x0,0x6C1208,0x2B1858
