call_id,resource_sequence,member_name,tag,pc,sp,lr,r0,r4,r5,r6,r9
1,1,"loadingbar!201!29.bmp",LOOKUP_CALLSITE,0x304BF0,0x27FE80,0x2D93D1,0x2B216C,0x6BBB98,0x0,0x6BBB48,0x2B1858
1,1,"loadingbar!201!29.bmp",CALLER_CONTINUATION,0x2D93D2,0x27FE80,0x2D93D1,0x6BBB98,0x6BBB98,0x6BBB98,0x6BBB48,0x2B1858
2,2,"bar!16!18.bmp",LOOKUP_CALLSITE,0x304BF0,0x27FE80,0x2D93D1,0x2B216C,0x6BBC00,0x0,0x6BBBB8,0x2B1858
2,2,"bar!16!18.bmp",CALLER_CONTINUATION,0x2D93D2,0x27FE80,0x2D93D1,0x6BBC00,0x6BBC00,0x6BBC00,0x6BBBB8,0x2B1858
3,3,"textbar!120!30.bmp",LOOKUP_CALLSITE,0x304BF0,0x27FE80,0x2D93D1,0x2B216C,0x6BBC70,0x0,0x6BBC20,0x2B1858
3,3,"textbar!120!30.bmp",CALLER_CONTINUATION,0x2D93D2,0x27FE80,0x2D93D1,0x6BBC70,0x6BBC70,0x6BBC70,0x6BBC20,0x2B1858
4,4,"loadingbar!201!29.bmp",LOOKUP_CALLSITE,0x304BF0,0x27FE10,0x2D93D1,0x2B216C,0x6BBD30,0x0,0x6BBCE0,0x2B1858
4,4,"loadingbar!201!29.bmp",LOOKUP_CONTINUATION,0x304BF4,0x27FDEC,0x2D93D1,0x2B216C,0x6BBD30,0x0,0x6BBCE0,0x2B1858
4,4,"loadingbar!201!29.bmp",CALLER_CONTINUATION,0x2D93D2,0x27FE10,0x304609,0x0,0x6BBD30,0x0,0x6BBCE0,0x2B1858
5,5,"bar!16!18.bmp",LOOKUP_CALLSITE,0x304BF0,0x27FE10,0x2D93D1,0x2B216C,0x6BEB28,0x0,0x6BEAE0,0x2B1858
5,5,"bar!16!18.bmp",LOOKUP_CONTINUATION,0x304BF4,0x27FDEC,0x2D93D1,0x2B216C,0x6BEB28,0x0,0x6BEAE0,0x2B1858
