sequence,runCode_depth,runCode_serial,slot,api,pc,lr,cpsr,r0,r1,r2,r3,r9,sp,owner_module,current_mrp,logical_package,previous_bridge_api,previous_bridge_slot,previous_bridge_entry_lr,previous_bridge_leave_lr,previous_bridge_return_r0,classification,branch_kind,branch_insn_pc,branch_target,r0_last_writer_pc,r0_source,r1_last_writer_pc,r1_source,args_valid
1,1,1,0x280068,_mr_c_function_new,0x280068,0x80034,0x600001D3,0xA4178,0x14,0x280068,0x0,0x0,0x27FFF0,?,?,?,,0x0,0x0,0x0,0x0,UNKNOWN,,0x0,0x0,0x0,"NONE_SINCE_RESET",0x0,"NONE_SINCE_RESET",0
12,0,6,0x28005C,DATA:reserve1,0x28005C,0x304599,0x1F3,0x0,0x9,0x0,0x0,0x2B1868,0x27FFA8,robotol.ext,gwy/jjfb.mrp,gwy/jjfb.mrp,_mr_c_function_new,0x280068,0x80034,0x80034,0x0,TABLE_DATA_EXECUTION,,0x0,0x0,0x30E1B4,"movs r0, #0x0",0x2D9986,"ldr r1, [r0, #0x4C]",0
13,0,6,0x280060,DATA:_mr_c_internal_table,0x280060,0x304599,0x1F3,0x0,0x9,0x0,0x0,0x2B1868,0x27FFA8,robotol.ext,gwy/jjfb.mrp,gwy/jjfb.mrp,DATA:reserve1,0x28005C,0x304599,0x80034,0x0,TABLE_DATA_EXECUTION,,0x0,0x0,0x0,"NONE_SINCE_RESET",0x0,"NONE_SINCE_RESET",0
14,0,6,0x280064,DATA:_mr_c_port_table,0x280064,0x304599,0x1F3,0x0,0x9,0x0,0x0,0x2B1868,0x27FFA8,robotol.ext,gwy/jjfb.mrp,gwy/jjfb.mrp,DATA:_mr_c_internal_table,0x280060,0x304599,0x80034,0x0,TABLE_DATA_EXECUTION,,0x0,0x0,0x0,"NONE_SINCE_RESET",0x0,"NONE_SINCE_RESET",0
15,0,6,0x280068,_mr_c_function_new,0x280068,0x304599,0x1F3,0x0,0x9,0x0,0x0,0x2B1868,0x27FFA8,robotol.ext,gwy/jjfb.mrp,gwy/jjfb.mrp,DATA:_mr_c_port_table,0x280064,0x304599,0x80034,0x0,LINEAR_SLOT_FALLTHROUGH,,0x0,0x0,0x0,"NONE_SINCE_RESET",0x0,"NONE_SINCE_RESET",0
16,0,6,0x28006C,mr_printf,0x28006C,0x304599,0x1F3,0x0,0x9,0x0,0x0,0x2B1868,0x27FFA8,robotol.ext,gwy/jjfb.mrp,gwy/jjfb.mrp,_mr_c_function_new,0x280068,0x304599,0x304599,0x0,LINEAR_SLOT_FALLTHROUGH,,0x0,0x0,0x0,"NONE_SINCE_RESET",0x0,"NONE_SINCE_RESET",0
17,0,6,0x280070,mr_mem_get,0x280070,0x304599,0x1F3,0x0,0x9,0x0,0x0,0x2B1868,0x27FFA8,robotol.ext,gwy/jjfb.mrp,gwy/jjfb.mrp,mr_printf,0x28006C,0x304599,0x304599,0x0,LINEAR_SLOT_FALLTHROUGH,,0x0,0x0,0x0,"NONE_SINCE_RESET",0x0,"NONE_SINCE_RESET",0
18,0,6,0x280074,mr_mem_free,0x280074,0x304599,0x1F3,0x0,0x9,0x0,0x0,0x2B1868,0x27FFA8,robotol.ext,gwy/jjfb.mrp,gwy/jjfb.mrp,mr_mem_get,0x280070,0x304599,0x304599,0x0,LINEAR_SLOT_FALLTHROUGH,,0x0,0x0,0x0,"NONE_SINCE_RESET",0x0,"NONE_SINCE_RESET",0
19,0,6,0x280078,mr_drawBitmap,0x280078,0x304599,0x1F3,0x0,0x9,0x0,0x0,0x2B1868,0x27FFA8,robotol.ext,gwy/jjfb.mrp,gwy/jjfb.mrp,mr_mem_free,0x280074,0x304599,0x304599,0x0,LINEAR_SLOT_FALLTHROUGH,,0x0,0x0,0x0,"NONE_SINCE_RESET",0x0,"NONE_SINCE_RESET",0
20,0,6,0x28007C,mr_getCharBitmap,0x28007C,0x304599,0x1F3,0x0,0x9,0x0,0x0,0x2B1868,0x27FFA8,robotol.ext,gwy/jjfb.mrp,gwy/jjfb.mrp,mr_drawBitmap,0x280078,0x304599,0x304599,0x0,LINEAR_SLOT_FALLTHROUGH,,0x0,0x0,0x0,"NONE_SINCE_RESET",0x0,"NONE_SINCE_RESET",0
