sequence,op,site,depth,serial,outer_pc,outer_lr,outer_sp,outer_r9,outer_cpsr,live_pc,live_lr,pc_match,lr_match,sp_match,r9_match,cpsr_match
2,SAVE,bridge_uc_save_regs,0,1,0x80000,0x80104,0x280000,0x0,0x200001D3,0x0,0x0,0,0,0,0,0
3,RESTORE,bridge_uc_restore_regs,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,0x80000,0x90DF8,1,0,1,1,0
4,SAVE,bridge_uc_save_regs,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,0x0,0x0,0,0,0,0,0
5,RESTORE,bridge_uc_restore_regs,0,3,0x80000,0x80104,0x280000,0x0,0x200001D3,0x80000,0xA2548,1,0,1,0,0
6,SAVE,bridge_uc_save_regs,0,3,0x80000,0x80104,0x280000,0x0,0x200001D3,0x0,0x0,0,0,0,0,0
7,RESTORE,bridge_uc_restore_regs,0,4,0x80000,0x80104,0x280000,0x0,0x200001D3,0x80000,0x304B13,1,0,1,0,0
8,SAVE,bridge_uc_save_regs,0,4,0x80000,0x80104,0x280000,0x0,0x200001D3,0x0,0x0,0,0,0,0,0
9,RESTORE,bridge_uc_restore_regs,0,5,0x80000,0x80104,0x280000,0x0,0x200001D3,0x80000,0x304B13,1,0,1,0,0
10,SAVE,bridge_uc_save_regs,0,5,0x80000,0x80104,0x280000,0x0,0x200001D3,0x0,0x0,0,0,0,0,0
11,RESTORE,bridge_uc_restore_regs,0,6,0x80000,0x80104,0x280000,0x0,0x200001D3,0x80000,0x304599,1,0,1,0,0
