sequence,from_api,from_slot,to_api,to_slot,from_leave_lr,to_entry_lr,from_return_r0,to_r0,to_r1,slot_delta,same_lr,r0_is_prev_ret,note
12,_mr_c_function_new,0x280068,DATA:reserve1,0x28005C,0x80034,0x304599,0x0,0x0,0x9,-12,0,1,UNKNOWN
13,DATA:reserve1,0x28005C,DATA:_mr_c_internal_table,0x280060,0x80034,0x304599,0x0,0x0,0x9,4,1,1,LINEAR_SLOT_FALLTHROUGH
14,DATA:_mr_c_internal_table,0x280060,DATA:_mr_c_port_table,0x280064,0x80034,0x304599,0x0,0x0,0x9,4,1,1,LINEAR_SLOT_FALLTHROUGH
15,DATA:_mr_c_port_table,0x280064,_mr_c_function_new,0x280068,0x80034,0x304599,0x0,0x0,0x9,4,1,1,LINEAR_SLOT_FALLTHROUGH
16,_mr_c_function_new,0x280068,mr_printf,0x28006C,0x304599,0x304599,0x0,0x0,0x9,4,1,1,LINEAR_SLOT_FALLTHROUGH
17,mr_printf,0x28006C,mr_mem_get,0x280070,0x304599,0x304599,0x0,0x0,0x9,4,1,1,LINEAR_SLOT_FALLTHROUGH
18,mr_mem_get,0x280070,mr_mem_free,0x280074,0x304599,0x304599,0x0,0x0,0x9,4,1,1,LINEAR_SLOT_FALLTHROUGH
19,mr_mem_free,0x280074,mr_drawBitmap,0x280078,0x304599,0x304599,0x0,0x0,0x9,4,1,1,LINEAR_SLOT_FALLTHROUGH
20,mr_drawBitmap,0x280078,mr_getCharBitmap,0x28007C,0x304599,0x304599,0x0,0x0,0x9,4,1,1,LINEAR_SLOT_FALLTHROUGH
21,mr_getCharBitmap,0x28007C,mr_timerStart,0x280080,0x304599,0x304599,0x2829E4,0x2829E4,0x9,4,1,1,LINEAR_SLOT_FALLTHROUGH
22,mr_timerStart,0x280080,mr_timerStop,0x280084,0x304599,0x304599,0x0,0x0,0x9,4,1,1,LINEAR_SLOT_FALLTHROUGH
23,mr_timerStop,0x280084,mr_getTime,0x280088,0x304599,0x304599,0x0,0x0,0x9,4,1,1,LINEAR_SLOT_FALLTHROUGH
24,mr_getTime,0x280088,mr_getDatetime,0x28008C,0x304599,0x304599,0x0,0x0,0x9,4,1,1,LINEAR_SLOT_FALLTHROUGH
25,mr_getDatetime,0x28008C,mr_getUserInfo,0x280090,0x304599,0x304599,0x0,0x0,0x9,4,1,1,LINEAR_SLOT_FALLTHROUGH
26,mr_getUserInfo,0x280090,mr_sleep,0x280094,0x304599,0x304599,0xFFFFFFFF,0xFFFFFFFF,0x9,4,1,1,LINEAR_SLOT_FALLTHROUGH
27,mr_sleep,0x280094,mr_plat,0x280098,0x304599,0x304599,0x0,0x0,0x9,4,1,1,LINEAR_SLOT_FALLTHROUGH
