genuine_count=0 post_genuine=0 post_1e209=100
--- top PC mentions (proxy hotspot) ---
0X80000 count=4726
0X0 count=3181
0X2F997A count=3070
0X280058 count=1603
0X30634A count=1536
0X306666 count=1535
0X306770 count=1535
0X306656 count=1535
0X306650 count=1535
0X306762 count=1535
0X31030C count=1535
0X2FEBC6 count=1535
0X30667A count=1535
0X2F9986 count=1535
0X304599 count=56
0X305E32 count=48
0X30D312 count=48
0X30D310 count=48
0X30E1B0 count=48
0X303BA2 count=20
0X3049C6 count=12
0X2AEB44 count=12
0X304962 count=12
0X2D999C count=12
0X91530 count=10
0X2D9908 count=10
0X303BA0 count=10
0X303BFC count=9
0X304964 count=6
0X304B0E count=6
0XA4178 count=6
0X2D92E4 count=6
0X2D990A count=6
0X3049C8 count=6
0X2D999E count=6
0X280068 count=5
0X303BD4 count=5
0X89B78 count=5
0XA2548 count=4
0X2AEB40 count=4
0X94F04 count=4
0X2AEB80 count=4
0X2AEBB8 count=4
0X80034 count=4
0X2AEBDC count=3
0X2AEB4C count=3
0X303BFE count=3
0X2AEB84 count=3
0X89CF4 count=3
0X303BD6 count=3
0X2AEBBC count=3
0X3049E2 count=2
0X2FD4D6 count=2
0XAC428 count=2
0X3049B6 count=2
0X2FD4AC count=2
0X30497A count=2
0X304B38 count=2
0X81238 count=2
0X2D991E count=2
0X30466C count=2
0X304A28 count=2
0X304942 count=2
0XA2544 count=2
loop_class=A_NORMAL_WAIT_OR_TIMER_CYCLE
