sequence,time_from_case9,operation,detail
1,0,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DELIVER_DONE ok=1 ret=0 end=stop_at_base end_class=REACHED_STOP reached_stop=1 handler=0x30D311 pc_after=0x80000 stop=0x80000 lr_after=0x304599 lim=5000000 evidence=OBSERVED"
2,2,EMU_NEST,"[EMU_NEST] op=FAMILY_DRAIN_LEAVE depth=0 site=drain_family_events evidence=OBSERVED"
3,3,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
4,4,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
5,5,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
6,6,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
7,7,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
8,8,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
9,10,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=2 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
10,12,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=2 frame_token=8593105693 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
11,21,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
12,22,FFP_GUEST_REQUEST_SAMPLE,"[FFP_GUEST_REQUEST_SAMPLE] n=2 event=0x1E209 app=0x9 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 r5=0x9 r6=0x0 r7=0x280058 stack0=0x0 stack1=0x0 caller_pc=0x304599 caller_lr=0x304599 insn=2 ctx=0x690D04 er_digest=0x3936FB"
