run_id,metric,value
pah_A_20260724_234631,enter_30CBBC,0
pah_A_20260724_234631,true_enter_2E2520,1
pah_A_20260724_234631,enter_2DC4D8,0
pah_A_20260724_234631,store_15D,0
pah_A_20260724_234631,store_B71,0
pah_A_20260724_234631,store_15D_pc,0x0
pah_A_20260724_234631,store_B71_pc,0x0
pah_A_20260724_234631,15D_writer_grade,candidate_unproven
pah_A_20260724_234631,B71_writer_grade,candidate_entered_no_dispatch
pah_A_20260724_234631,watch_events,2
pah_A_20260724_234631,dispatch_calls,1
pah_A_20260724_234631,successor_status,POST_DRAIN_SUCCESSOR_BLOCKED
