run_id,dispatch_call_id,pc,base_reg,offset,effective_addr,value,feeds
pah_B_20260724_234746,1,0x2E2520,r0,0x0,0x2A8374,0x0,"entry_obj+0"
pah_B_20260724_234746,1,0x2E2520,r0,0x4,0x2A8378,0x2A8364,"entry_obj+4"
pah_B_20260724_234746,1,0x2E2520,r0,0x8,0x2A837C,0x3,"entry_obj+8"
pah_B_20260724_234746,1,0x2E2520,r0,0xC,0x2A8380,0x12,"entry_obj+12"
pah_B_20260724_234746,1,0x2E2520,r0,0x4,0x2A8364,0x627857,"inner_via_+4[+0]"
pah_B_20260724_234746,1,0x2E2520,r0,0x4,0x2A8368,0x4,"inner_via_+4[+4]"
pah_B_20260724_234746,1,0x2E2520,r0,0x4,0x2A836C,0x10,"inner_via_+4[+8]"
pah_B_20260724_234746,1,0x2E2524,r0,0x0,0x2A8374,0x0,"event_code->index=code-3"
pah_B_20260724_234746,1,0x2E252A,r0,0x3,0x0,0xFFFFFFFD,"index=event_code-3"
pah_B_20260724_234746,1,0x2E252E,r0,0x0,0x0,0xFFFFFFFD,"CMP_index_vs_max"
pah_B_20260724_234746,2,0x2E2520,r0,0x0,0x2A83C4,0x0,"entry_obj+0"
pah_B_20260724_234746,2,0x2E2520,r0,0x4,0x2A83C8,0x2A83A4,"entry_obj+4"
pah_B_20260724_234746,2,0x2E2520,r0,0x8,0x2A83CC,0xFFFFFFFD,"entry_obj+8"
pah_B_20260724_234746,2,0x2E2520,r0,0xC,0x2A83D0,0x6D466468,"entry_obj+12"
pah_B_20260724_234746,2,0x2E2520,r0,0x4,0x2A83A4,0x25998,"inner_via_+4[+0]"
pah_B_20260724_234746,2,0x2E2520,r0,0x4,0x2A83A8,0x10,"inner_via_+4[+4]"
pah_B_20260724_234746,2,0x2E2520,r0,0x4,0x2A83AC,0x38303436,"inner_via_+4[+8]"
pah_B_20260724_234746,2,0x2E2524,r0,0x0,0x2A83C4,0x0,"event_code->index=code-3"
pah_B_20260724_234746,2,0x2E252A,r0,0x3,0x0,0xFFFFFFFD,"index=event_code-3"
pah_B_20260724_234746,2,0x2E252E,r0,0x0,0x0,0xFFFFFFFD,"CMP_index_vs_max"
