path,basename,size,sha256,header_length,first_data_offset,internal_name,display_name,appid_le,appver_le,flags,appid_be,appver_be,member_count,ext_count,asset_count,class,primary,primary_evidence,has_start_mr,start_sha256,has_mrc_loader,mrc_loader_sha256,ext_members
gwy/ajss.mrp,ajss.mrp,377064,b3080a3dd3d18404ebd58fa29a6196b5dec9544008c7ebfeebc6e350d6fdcbc2,240,1020,ajss.mrp,傲剑Online,479998,21,7,479998,21,34,2,31,native_ext_package,ajss.ext,reg.ext_string_first,1,e318e580d789041a524a656038fcf38c6be35f9abba48902c8d4580ea8563ed7,0,,reg.ext|ajss.ext
gwy/assg.mrp,assg.mrp,244412,d5b5fd0a074e7e7d5561cc366c22a677c2b6307a6bfec1b9cf354f592b4f0c60,240,607,assg.mrp,傲视三国,400101,8,7,400101,8,13,2,10,native_ext_package,assg.ext,reg.ext_string_first,1,e318e580d789041a524a656038fcf38c6be35f9abba48902c8d4580ea8563ed7,0,,reg.ext|assg.ext
gwy/bbjq.mrp,bbjq.mrp,342790,b5a739b81505e7b1d15dc9a9bb34087e7e90056d5899405329458d2dadc1fc72,240,1263,bbjq.mrp,gbbjq,479958,5,7,479958,5,43,2,40,native_ext_package,tlol.ext,reg.ext_string_first,1,e318e580d789041a524a656038fcf38c6be35f9abba48902c8d4580ea8563ed7,0,,tlol.ext|reg.ext
gwy/caccharge.mrp,caccharge.mrp,113627,5c21c675393bba51c627e61fb16a3f2b4fc11b1d53b9e1bccb6b415a3987117c,240,1264,caccharge.mr,caccharge,400101,35,7,400101,35,41,2,38,native_ext_package,caccharge.ext,reg.ext_string_first,1,7fc8d5412ac5d932196ebd2b1f22b042965442057f604371f3025d072e94c5fb,0,,caccharge.ext|reg.ext
gwy/cacddz.mrp,cacddz.mrp,89044,ce92678a145007f268908cc2cfa2b04dddeeda661796b2f9ff489182e946c44a,240,1792,cacddz.mrp,cacddz,400101,4,7,400101,4,58,2,55,native_ext_package,cacddz.ext,reg.ext_string_first,1,7fc8d5412ac5d932196ebd2b1f22b042965442057f604371f3025d072e94c5fb,0,,cacddz.ext|reg.ext
gwy/cacddzani.mrp,cacddzani.mrp,52301,e12407157ab05865994a7bad82e47b6c78a1150781372d675708b38d66029759,240,1001,cacddzani.mr,cacddzani,400101,1,7,400101,1,26,2,23,native_ext_package,cacddzani.ext,reg.ext_string_first,1,7fc8d5412ac5d932196ebd2b1f22b042965442057f604371f3025d072e94c5fb,0,,reg.ext|cacddzani.ext
gwy/caclobby.mrp,caclobby.mrp,75312,91d4ffa959dbbf2b88dd0614dd35cc793cf0871bda2ccc00678ebf949228169d,240,1211,caclobby.mrp,caclobby,400101,35,7,400101,35,37,2,34,native_ext_package,caclobby.ext,reg.ext_string_first,1,7fc8d5412ac5d932196ebd2b1f22b042965442057f604371f3025d072e94c5fb,0,,caclobby.ext|reg.ext
gwy/caclottery.mrp,caclottery.mrp,155848,95565d5503b167966d8fd3ae8d47a99491b7cb560cfdd9cc8810ff736fcd6e92,240,1417,caclottery.m,caclottery,400101,15,7,400101,15,44,2,41,native_ext_package,caclottery.ext,reg.ext_string_first,1,7fc8d5412ac5d932196ebd2b1f22b042965442057f604371f3025d072e94c5fb,0,,caclottery.ext|reg.ext
gwy/cacpublic.mrp,cacpublic.mrp,49933,bd9e98042305e114edec5f42bdcaad155d2e4fe7d1c4321566f810e80489cfbe,240,796,cacpublic.mr,cacpublic,400101,1,7,400101,1,23,2,20,native_ext_package,cacpublic.ext,reg.ext_string_first,1,7fc8d5412ac5d932196ebd2b1f22b042965442057f604371f3025d072e94c5fb,0,,cacpublic.ext|reg.ext
gwy/cardcharge.mrp,cardcharge.mrp,7241,57805f07edbe10ee6e4ce86cb6787de2eb1ce3928523e00816b8b5f64f61e773,240,308,cardcharge.m,cardcharge,400101,1001,7,400101,1001,3,2,0,native_ext_package,cardcharge.ext,reg.ext_string_first,1,aa518953e32491eb345816181d5f9b9d65b5da907a2625f67e016ea141ed8b8f,0,,reg.ext|cardcharge.ext
gwy/directpay.mrp,directpay.mrp,24982,771a8aabf4ae6b883c3e82c40a6f94b49d8a90b9bbb450a27794e84eb6e2c590,240,515,directpay.mr,directpay,400101,1202,7,400101,1202,11,2,8,gwy_service_module,directpay.ext,reg.ext_string_first,1,ff67eea7e6eed10e3871bd465953e7137001e2495b1eb13309c56db8659bfc7c,0,,reg.ext|directpay.ext
gwy/dload.mrp,dload.mrp,10797,d7847c6eac6e486db427f534ed4a4f11850a2eaa2a03fc235fed1be3c8b82fdf,240,306,dload.mrp,下载模块,400101,1000,7,400101,1000,3,2,0,gwy_service_module,download.ext,reg.ext_string_first,1,7fc8d5412ac5d932196ebd2b1f22b042965442057f604371f3025d072e94c5fb,0,,reg.ext|download.ext
gwy/embfrd.mrp,embfrd.mrp,8572,05316ff52a966657efc25265bb1f11606a4eed9a98c7281f65144b7caf732b5b,240,304,embfrd.mrp,嵌入好友模块,400101,82,7,400101,82,3,2,0,native_ext_package,embfrd.ext,reg.ext_string_first,1,7fc8d5412ac5d932196ebd2b1f22b042965442057f604371f3025d072e94c5fb,0,,reg.ext|embfrd.ext
gwy/font.mrp,font.mrp,116098,0772f152c32910869bda88cfc486ef0903d958073ae3aab270580acb14e7580c,240,941,font.mpr,font,400101,32,7,400101,32,27,2,24,gwy_service_module,font.ext,reg.ext_string_first,1,343197ddca55c015ec3ba917820b0f3dc5aff4da3e076a09485b3483744fbab6,0,,reg.ext|font.ext
