primary,count,archives
ajss.ext,1,gwy/ajss.mrp
assg.ext,1,gwy/assg.mrp
caccharge.ext,1,gwy/caccharge.mrp
cacddz.ext,1,gwy/cacddz.mrp
cacddzani.ext,1,gwy/cacddzani.mrp
caclobby.ext,1,gwy/caclobby.mrp
caclottery.ext,1,gwy/caclottery.mrp
cacpublic.ext,1,gwy/cacpublic.mrp
cardcharge.ext,1,gwy/cardcharge.mrp
cfunction.ext,3,gwyaz.mrp|hxsg.mrp|mpqp.mrp
directpay.ext,1,gwy/directpay.mrp
download.ext,1,gwy/dload.mrp
dream.ext,2,gwy/tlbb.mrp|gwy/zsol.mrp
embfrd.ext,1,gwy/embfrd.mrp
font.ext,1,gwy/font.mrp
gamelist.ext,1,gwy/gamelist.mrp
gameonline.ext,1,gwy/ssjx.mrp
gbrwcore.ext,1,gwy/gbrwcore.mrp
gbrwshell.ext,1,gwy/gbrwshell.mrp
gkdxy.ext,1,gwy/gkdxy.mrp
gui.ext,1,gwy/gui.mrp
hotchat.ext,1,gwy/hotchat.mrp
mmochat.ext,1,gwy/wxjwq.mrp
mrpmaker.ext,6,gwy/xjwq/res/mrp/mmochat_res1.mrp|gwy/xjwq/res/mrp/mmochat_res2.mrp|gwy/xjwq/res/mrp/mmochat_res3.mrp|gwy/xjwq/res/mrp/mmochat_res4.mrp|gwy/xjwq/res/mrp/mmochat_res5.mrp|gwy/xjwq/res/mrp/mmochat_res6.mrp
pmsg.ext,1,gwy/pmsg.mrp
reglogin.ext,1,gwy/reglogin.mrp
resmng.ext,1,gwy/resmng.mrp
robotol.ext,1,gwy/jjfb.mrp
roll.ext,1,gwy/rollscr.mrp
roomlist.ext,1,gwy/roomlist.mrp
sanguo.ext,1,gwy/sanguo.mrp
sgmj.ext,1,gwy/sgmj.mrp
smd.ext,1,gwy/smd.mrp
smsbase.ext,1,gwy/smsbase.mrp
smscharge.ext,1,gwy/smscharge.mrp
spacetime.ext,1,gwy/spacetime.mrp
svrctrl.ext,1,gwy/svrctrl.mrp
tlol.ext,1,gwy/bbjq.mrp
tyol.ext,1,gwy/tyol.mrp
vdload.ext,1,gwy/vdload.mrp
wapgame.ext,1,gwy/wapgame.mrp
wm1.ext,1,gwy/xaqd.mrp
wm1_help.ext,1,gwy/wm2.mrp
wmpk.ext,1,gwy/wm2pet.mrp
xiyou.ext,1,gwy/xyol.mrp
xqj.ext,1,gwy/yxlm.mrp
