tag,pc,r0,r1,r2,r3,r9,sp,lr
mrpgcmap_helper,0x30CA80,0x0,0x2EB804,0x12,0x27FB74,0x280400,0x27FD88,0x2EB814
MODULE_COMMAND_0_ENTER,0x30CFE8,0x2AC8DC,0x0,0x2AD954,0x0,0x280400,0x27FD90,0x89BF0
cmd0_branch,0x30D018,0x0,0x280400,0x2AD954,0xA,0x2B0D18,0x27FD68,0x30CFFF
plat_reg_wrap,0x30CCD0,0x1,0x64,0x0,0x0,0x2B0D18,0x27FD50,0x30B747
cb_reg_call,0x30D024,0x270D,0x7,0x1,0x81238,0x2B0D18,0x27FD68,0x30B7C3
reg_fn,0x30CED0,0x270D,0x7,0x1,0x81238,0x2B0D18,0x27FD68,0x30D029
event_callback,0x30B7E0,0x2,0x0,0x24B8,0x0,0x2B0D18,0x280000,0x7F000000
lazy_init,0x30BC40,0x0,0x0,0x2,0x0,0x2B0D18,0x27FFD0,0x30B809
api_builder,0x306BFC,0x0,0x0,0x2A8458,0x0,0x2B0D18,0x27FFC0,0x30BC81
sg_fn_store,0x306CF6,0x2B0D24,0x306671,0x3043B1,0x3,0x2B0D18,0x27FFB0,0x2F432D
api_name,fn,table_off,r9,table
