n,tick,pc,lr,r0,r1,r2,r3,r4,r9,sp,bar,textbar,loadingbar,count,bd0,note
1,1,0x2EFAFA,0x0,0x0,0x0,0x0,0x0,0x314338,0x2B1858,0x0,0x3910080,0x39100C0,0x2A83C4,0x4,0x314338,r4_gate
2,1,0x2EFAFA,0xB3,0x0,0x2B23F8,0xE2,0x0,0x314338,0x2B1858,0x27FFC0,0x0,0x0,0x0,0x4,0x314338,r4_cmp_nz
3,1,0x2EFB08,0x0,0x0,0x0,0x0,0x0,0x314338,0x2B1858,0x0,0x3910080,0x39100C0,0x2A83C4,0x4,0x314338,pre_post_r4_blx
4,1,0x2EFB0E,0x0,0x0,0x0,0x0,0x0,0x314338,0x2B1858,0x0,0x3910080,0x39100C0,0x2A83C4,0x4,0x314338,post_r4_2EFB0E
5,1,0x2EFB0E,0x2EFB0B,0x1,0x3142B1,0xC7,0x0,0x314338,0x2B1858,0x27FFC0,0x0,0x0,0x0,0x0,0x0,post_r4_2EFB0E
6,1,0x2F2174,0x0,0x0,0x0,0x0,0x0,0x314338,0x2B1858,0x0,0x3910080,0x39100C0,0x2A83C4,0x4,0x314338,textbar_layout_2F2174
7,1,0x2F2174,0x2EFB67,0x3C,0x100,0x2A83B4,0x8,0x314338,0x2B1858,0x27FFC0,0x0,0x0,0x0,0x0,0x0,2F2174_layout
8,1,0x2EFBA2,0x0,0x0,0x0,0x0,0x0,0x314338,0x2B1858,0x0,0x3910080,0x39100C0,0x2A83C4,0x4,0x314338,305BFC
9,1,0x2EFBA2,0x70,0x314338,0x70,0x105,0xFF,0x314338,0x2B1858,0x27FFC0,0x0,0x0,0x0,0x0,0x0,2EFBA2_bl
10,1,0x305BFC,0x0,0x0,0x0,0x0,0x0,0x314338,0x2B1858,0x0,0x3910080,0x39100C0,0x2A83C4,0x4,0x314338,305BFC
11,1,0x305BFC,0x2EFBA7,0x314338,0x70,0x105,0xFF,0x314338,0x2B1858,0x27FFC0,0x0,0x0,0x0,0x0,0x0,305BFC
12,1,0x2EFBA6,0x304621,0x0,0x682A54,0x2A83B4,0x305D95,0x314338,0x2B1858,0x27FFC0,0x0,0x0,0x0,0x0,0x0,305BFC_ret
