n,tick,pc,lr,r0,r1,r2,r3,glyph_type,str_va,str,note
1,1,0x304558,0x302173,0x1E213,0x2,0x0,0x0,0,0x0,"",304558_plat_bridge
2,1,0x304558,0x305EA1,0x12340,0x1,0x2A835C,0x0,0,0x0,"",304558_plat_bridge
3,1,0x304558,0x2D9A73,0x10138,0x27FF78,0x27FF74,0x27FF70,0,0x0,"",304558_plat_bridge
4,1,0x304558,0x2D9A73,0x10138,0x27FF60,0x27FF5C,0x27FF58,0,0x0,"",304558_plat_bridge
5,1,0x304558,0x2D9A73,0x10138,0x27FF48,0x27FF44,0x27FF40,0,0x0,"",304558_plat_bridge
6,1,0x304558,0x305E27,0x10133,0x2A8390,0x0,0x0,0,0x0,"",304558_plat_bridge
7,1,0x304558,0x2D9A73,0x10138,0x27FF48,0x27FF44,0x27FF40,0,0x0,"",304558_plat_bridge
8,1,0x304558,0x305E27,0x10133,0x2A83A0,0x0,0x0,0,0x0,"",304558_plat_bridge
9,1,0x304558,0x2D9A73,0x10138,0x27FF78,0x27FF74,0x27FF70,0,0x0,"",304558_plat_bridge
10,1,0x304558,0x305E27,0x10133,0x2A8380,0x0,0x0,0,0x0,"",304558_plat_bridge
11,1,0x304558,0x305E27,0x10133,0x2A8360,0x0,0x0,0,0x0,"",304558_plat_bridge
12,1,0x304558,0x2D957D,0x10134,0x2D8A,0x0,0x0,0,0x0,"",304558_plat_bridge
13,1,0x304558,0x305EA1,0x12340,0x1,0x2A83AC,0x0,0,0x0,"",304558_plat_bridge
14,1,0x304558,0x305EA1,0x12340,0x1,0x2A83AC,0x0,0,0x0,"",304558_plat_bridge
15,1,0x305D08,0x304621,0x314338,0x0,0x27FF48,0x0,0,0x314338,"......",303C50_call
16,1,0x305D16,0x303C63,0x0,0x0,0x2A83B2,0x0,0,0x314338,"",draw_mode_gate
17,1,0x305D5C,0x303C63,0x0,0x8,0x2A83B2,0x0,0,0x314338,"",draw_skip
18,1,0x2F2360,0x305D95,0x2A83AC,0x70,0x105,0x1050070,0,0x314338,"",2F2360_enter
19,1,0x304558,0x2F239B,0x11F00,0x7,0x2A83AC,0x27FF10,0,0x0,"",304558_11F00
