run_id,seq,from_pc,to_pc,r0,r1,r2,mapped_ptr,peek0,req_size,role,arg_class
p10138_B_20260725_001313,1,0x2AEB70,0x80160,0x8,0x80160,0x0,0x0,0x0,0x8,dsm_mr_malloc,NODE_COPY_SOURCE_NULL
p10138_B_20260725_001313,2,0x303BC4,0x80160,0x1520,0x80160,0x0,0x0,0x0,0x1520,dsm_mr_malloc,NODE_COPY_SOURCE_NULL
p10138_B_20260725_001313,4,0x0,0x101AB,0x6AD11C,0x27FFE0,0x0,0x6AD11C,0x0,0x0,plat_101ab_fill,NODE_COPY_SOURCE_NULL
p10138_B_20260725_001313,8,0x2E4EAE,0x2D99AD,0x4,0x27FFAC,0x0,0x0,0x0,0x4,indirect_to_heap_helper,NODE_COPY_SOURCE_NULL
p10138_B_20260725_001313,11,0x2D99AC,0x2D99AC,0x4,0x27FFAC,0x0,0x0,0x0,0x4,heap_helper_size,NODE_COPY_SOURCE_NULL
p10138_B_20260725_001313,13,0x2D99AE,0x2D99AC,0x4,0x27FFAC,0x0,0x0,0x0,0x4,heap_helper_size,NODE_COPY_SOURCE_NULL
p10138_B_20260725_001313,14,0x0,0x10138,0x27FF88,0x27FF84,0x0,0x0,0x0,0x0,plat_10138_heap_gate,NODE_COPY_SOURCE_NULL
p10138_B_20260725_001313,15,0x0,0x10132,0x8,0x0,0x0,0x8,0x0,0x0,plat_10132,NODE_COPY_SOURCE_NULL
p10138_B_20260725_001313,16,0x0,0x10132,0x8,0x0,0x0,0x8,0x0,0x0,plat_10132,NODE_COPY_SOURCE_NULL
p10138_B_20260725_001313,18,0x2D9AD0,0x94E34,0x0,0x0,0x0,0x0,0x0,0x0,cross_dsm_mem,NODE_COPY_SOURCE_NULL
p10138_B_20260725_001313,20,0x94E34,0x94E34,0x0,0x0,0x0,0x0,0x0,0x0,dsm_mem_r0,NODE_COPY_SOURCE_NULL
