run_id,metric,value
t16_B8_20260727_203813,enter_30CBBC,1
t16_B8_20260727_203813,true_enter_2E2520,1
t16_B8_20260727_203813,enter_2DC4D8,0
t16_B8_20260727_203813,store_15D,1
t16_B8_20260727_203813,store_B71,1
t16_B8_20260727_203813,store_15D_pc,0x30CCF4
t16_B8_20260727_203813,store_B71_pc,0x2FE854
t16_B8_20260727_203813,15D_writer_grade,proven_natural_writer
t16_B8_20260727_203813,B71_writer_grade,store_from_unrelated_pc
t16_B8_20260727_203813,watch_events,6
t16_B8_20260727_203813,dispatch_calls,0
t16_B8_20260727_203813,successor_status,POST_DRAIN_SUCCESSOR_BLOCKED
