seq,pc,lr,sp,r0,r1,r2,r3,r4,r5,r9,cpsr,insn,note,mem_addr,smscfg_offset_if_any,lhs_value,rhs_value,condition,branch_taken,lhs_source,rhs_source,evidence,failure_pc,predecessor_pc,predicate_pc
1,0x2E53DA,0x2E31B1,0x27FA00,0x27FA30,0x2E8458,0xAC2D0,0x27FA38,0x0,0xFFFFFFFF,0x280400,0x1F3,"BLX_strcmp_gwy","gwy_compare_call",0x0,-1,0x0,0x0,,-1,,,"OBSERVED",0x0,0x0,0x0
2,0x2E53DC,0x2E53DD,0x27FA00,0x0,0x2E845C,0x0,0x0,0x0,0xFFFFFFFF,0x682B6C,0x600001F3,"CMP_r0_#0","gwy_strcmp_result",0x0,-1,0x0,0x0,EQ,-1,STRCMP_RET,IMM_0,"OBSERVED",0x0,0x0,0x0
3,0x2E53DE,0x2E53DD,0x27FA00,0x0,0x2E845C,0x0,0x0,0x0,0xFFFFFFFF,0x682B6C,0x600001F3,"BEQ","gwy_pass",0x0,-1,0x0,0x0,EQ,1,,,"OBSERVED",0x0,0x0,0x0
4,0x2E53EA,0x2E53DD,0x27FA00,0x355,0x27FA48,0x2,0x0,0x0,0xFFFFFFFF,0x682B6C,0x200001F3,"BL_sms_get_bytes","copy_off_0x355_len_2",0x281029,853,0x0,0x0,,-1,SMSCFG,,"r0=off r1=dst r2=len",0x0,0x0,0x0
5,0x2E53EE,0x2E31B1,0x27FA00,0x0,0x28102B,0xFFFFFFFF,0x27FA4A,0x0,0xFFFFFFFF,0x682B6C,0x400001F3,"INSN","window",0x0,-1,0x0,0x0,,-1,,,"OBSERVED",0x0,0x0,0x0
6,0x2E53F0,0x2E31B1,0x27FA00,0x0,0x28102B,0xFFFFFFFF,0x27FA40,0x0,0xFFFFFFFF,0x682B6C,0x400001F3,"INSN","window",0x0,-1,0x0,0x0,,-1,,,"OBSERVED",0x0,0x0,0x0
7,0x2E53F2,0x2E31B1,0x27FA00,0x8,0x28102B,0xFFFFFFFF,0x27FA40,0x0,0xFFFFFFFF,0x682B6C,0x1F3,"LDRSH_r0_[r3,r0]","load_int16_from_copy",0x27FA48,853,0x1,0x0,,-1,SMSCFG_INT16_LE_0x355,,"addr=0x27FA48 value=1",0x0,0x0,0x0
8,0x2E53F4,0x2E31B1,0x27FA00,0x1,0x28102B,0xFFFFFFFF,0x27FA40,0x0,0xFFFFFFFF,0x682B6C,0x1F3,"CMP_r0_#0","predicate_a",0x0,-1,0x1,0x0,LE_next,-1,SMSCFG_INT16_LE_0x355,IMM_0,"OBSERVED",0x0,0x0,0x2E53F4
9,0x2E53F6,0x2E31B1,0x27FA00,0x1,0x28102B,0xFFFFFFFF,0x27FA40,0x0,0xFFFFFFFF,0x682B6C,0x200001F3,"BLE","continue_pred_b",0x0,-1,0x1,0x0,LE,0,SMSCFG_INT16_LE_0x355,IMM_0,"OBSERVED",0x0,0x2E53F6,0x2E53F4
10,0x2E53F8,0x2E31B1,0x27FA00,0x1,0x28102B,0xFFFFFFFF,0x27FA40,0x0,0xFFFFFFFF,0x682B6C,0x200001F3,"INSN","window",0x0,-1,0x0,0x0,,-1,,,"OBSERVED",0x0,0x2E53F6,0x2E53F4
11,0x2E53FA,0x2E31B1,0x27FA00,0x8,0x28102B,0xFFFFFFFF,0x27FA40,0x0,0xFFFFFFFF,0x682B6C,0x200001F3,"INSN","window",0x0,-1,0x0,0x0,,-1,,,"OBSERVED",0x0,0x2E53F6,0x2E53F4
12,0x2E53FC,0x2E31B1,0x27FA00,0x1,0x28102B,0xFFFFFFFF,0x27FA40,0x0,0xFFFFFFFF,0x682B6C,0x200001F3,"INSN","window",0x0,-1,0x0,0x0,,-1,,,"OBSERVED",0x0,0x2E53F6,0x2E53F4
13,0x2E53FE,0x2E31B1,0x27FA00,0x1,0xFF,0xFFFFFFFF,0x27FA40,0x0,0xFFFFFFFF,0x682B6C,0x200001F3,"INSN","window",0x0,-1,0x0,0x0,,-1,,,"OBSERVED",0x0,0x2E53F6,0x2E53F4
14,0x2E5400,0x2E31B1,0x27FA00,0x1,0x1B2,0xFFFFFFFF,0x27FA40,0x0,0xFFFFFFFF,0x682B6C,0x1F3,"CMP_r0_r1","predicate_b_max_0x1B2",0x0,-1,0x1,0x1B2,LE_next,-1,SMSCFG_INT16_LE_0x355,IMM_0xFF_plus_0xB3,"OBSERVED",0x0,0x2E53F6,0x2E53F4
15,0x2E5402,0x2E31B1,0x27FA00,0x1,0x1B2,0xFFFFFFFF,0x27FA40,0x0,0xFFFFFFFF,0x682B6C,0x800001F3,"BLE","to_success",0x0,-1,0x1,0x1B2,LE,1,,,"OBSERVED",0x0,0x2E53F6,0x2E53F4
16,0x2E5408,0x2E31B1,0x27FA00,0x1,0x1B2,0xFFFFFFFF,0x27FA40,0x0,0xFFFFFFFF,0x682B6C,0x800001F3,"INSN","window",0x0,-1,0x0,0x0,,-1,,,"OBSERVED",0x0,0x2E53F6,0x2E53F4
17,0x2E5404,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,"FINAL","failure_summary",0x281029,853,0x1,0x0,LE,0,SMSCFG_INT16_LE_0x355,IMM_0,"pred_a_cmp=0x2E53F4 ble=0x2E53F6 fail=0x2E5404 value=1",0x2E5404,0x2E53F6,0x2E53F4
