source_file,needle,offset,context
game_files/mythroad/320x480/gwy/cfg.bin,gwy/jjfb.mrp,10943,........gwy/jjfb.mrp................................................
game_files/mythroad/320x480/gwy/cfg.bin,jjfb,10883,.....ng_jjfb.gif.............g:u2..f..(pkr.QlmK.)...........
game_files/mythroad/320x480/gwy/cfg.bin,jjfb,10947,....gwy/jjfb.mrp............................................
game_files/mythroad/320x480/gwy/cfg.bin,roomlist,18,....gwy/roomlist.mrp................................gwy/gbrwcore
game_files/mythroad/320x480/gwy/cfg.bin,gbrwcore,66,....gwy/gbrwcore.mrp................................gwy/gbrwshel
game_files/mythroad/320x480/gwy/cfg.bin,gbrwshell,114,"....gwy/gbrwshell.mrp........................."".... gwy/font.mrp."
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),14,gwy/roomlist.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),62,gwy/gbrwcore.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),110,gwy/gbrwshell.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),157, gwy/font.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),206,gwy/smscharge.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),254,gwy/directpay.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),301,Cgwy/wm2pet.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),349,Cgwy/wm2.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),398,gwy/cardcharge.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),446,gwy/smsbase.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),494,gwy/caclottery.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),541,Rgwy/embfrd.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),589,#gwy/caclobby.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),637,#gwy/caccharge.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),686,gwy/cacddzani.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),734,gwy/cacpublic.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),782,gwy/cacmatch.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),830,gwy/cacmoneyrank.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),878,gwy/cacmsg.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),926,gwy/cacprofile.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),974,gwy/cacissue.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),1227,gwy/xaqd.mrp
game_files/mythroad/320x480/gwy/cfg.bin,(ascii),1499,gwy/sanguo.mrp
