name,offset,stored_size,decoded_size,encoding,reserved,extension,width,height,format,bpp,sha256,first_32_hex,decoder_status,kind,ui_hint,fits_240x320,other,nonblank,preview,score,black,white,key
slogo!157!58.bmp,10685,11897,18212,gzip,0,bmp,157,58,raw_rgb565,16,919d94d541ad0863fd1e7b630475401cde0097801ccdc8a516ef48cb84773fa9,20004108610861088210a210e31804212421452965298631a631a631c739c739,ok,background_or_title,True,True,6584,6584,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/slogo_157_58.bmp.png,260,2446,76,0
loadingbar!201!29.bmp,3782,1385,11658,gzip,0,bmp,201,29,raw_rgb565,16,6ab17ba601918ab21e1ec7d802ed70027586f2ce231e5b11732e0f97a5d6435d,1ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff86141614161416141,ok,background_or_title,True,True,5627,5627,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/loadingbar_201_29.bmp.png,260,0,0,202
textbar!120!30.bmp,5574,1544,7200,gzip,0,bmp,120,30,raw_rgb565,16,1ec9f3d46f79243d4c961afc2b61a241b213a22ef35f43999fd6f2a1adb13bbc,6241624162416241624162416241624162416241624162416241624162416241,ok,mid_sprite,True,True,3600,3600,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/textbar_120_30.bmp.png,192,0,0,0
top!76!28.bmp,8695,1321,4256,gzip,0,bmp,76,28,raw_rgb565,16,b2dbe87f1b037af5cb892bac0c0469f2d7d5415f9df7df4c1d2bb9f5f8d9da0a,1ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff8,ok,mid_sprite,False,True,1960,1960,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/top_76_28.bmp.png,122,0,16,152
wy_xian1!15!7.bmp,8272,36,210,gzip,0,bmp,15,7,raw_rgb565,16,84d53fabd01318e635c5f87138f21d2eb3271d280f56ca9c0dd8b01f1554968d,2001200120012001200120012001200120012001200120012001200120016f77,ok,small_sprite,True,True,105,105,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/wy_xian1_15_7.bmp.png,122,0,0,0
wy_xian2!15!5.bmp,7941,35,150,gzip,0,bmp,15,5,raw_rgb565,16,d38fb926de56c4243ea0145f5454b52ccfd19d683ebe4cb758743efabc4a5485,200120012001200120012001200120012001200120012001200120012001fc67,ok,small_sprite,True,True,75,75,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/wy_xian2_15_5.bmp.png,121,0,0,0
wy_xian3!15!5.bmp,10360,36,150,gzip,0,bmp,15,5,raw_rgb565,16,872cd8cab86510eb19b578fec2ffa07af1792940c95835644cb59618bb73ce92,2001200120012001200120012001200120012001200120012001200120016efe,ok,small_sprite,True,True,75,75,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/wy_xian3_15_5.bmp.png,121,0,0,0
target!65!25.bmp,7348,351,3250,gzip,0,bmp,65,25,raw_rgb565,16,636bacb7634ff7eda8c69ae9816decc99f62a9356c1986cdbe97b887255cba7a,1ff81ff821ec21ec1ff81ff81ff81ff81ff81ff81ff821ec21ec1ff81ff81ff8,ok,mid_sprite,False,True,323,323,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/target_65_25.bmp.png,112,0,0,1302
bar!16!18.bmp,5308,35,576,gzip,0,bmp,16,18,raw_rgb565,16,3dfc15b75d265a3593991b6d076e41b678d341c681721628baac21cd081886eb,000000000000000000000000000000001ff81ff81ff81ff81ff81ff81ff81ff8,ok,small_sprite,True,True,0,0,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/bar_16_18.bmp.png,105,152,0,136
wy_xian0!15!6.bmp,10176,42,180,gzip,0,bmp,15,6,raw_rgb565,16,e581348ffc815e467b5314bdfc9bb887dc3ae02ded019975403af80037572899,000000000000000000000000000000000000000000000000000000000000359f,ok,small_sprite,True,True,60,60,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/wy_xian0_15_6.bmp.png,101,30,0,0
jiao41!12!12.bmp,10497,90,288,gzip,0,bmp,12,12,raw_rgb565,16,77d895f0cc9fa2a9ce2f46c90269ca7e5dc7088280102b747fe850d8c291ae78,1ff81ff81ff81ff81ff8206a206a206a206a206a206a206a1ff81ff81ff81ff8,ok,sprite_button,True,True,129,129,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/jiao41_12_12.bmp.png,92,0,0,15
wy_jiao5!11!11.bmp,8173,73,242,gzip,0,bmp,11,11,raw_rgb565,16,8c32b77a50ba7638952ccdbfbd160b2c9ba7f618157222b1c563151ef52bcdc6,1ff81ff81ff81ff81ff81ff81ff820012001200120011ff81ff81ff81ff81ff8,ok,sprite_button,True,True,93,93,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/wy_jiao5_11_11.bmp.png,92,0,0,28
wy_jiao12!11!11.bmp,8336,51,242,gzip,0,bmp,11,11,raw_rgb565,16,a998e920d576ab639cdffad5b47f8f088431c8fa12f44747b68ebbb45f78b6d8,20016f77651265126512c411c411430943094309430920016f77651265126512,ok,sprite_button,True,True,121,121,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/wy_jiao12_11_11.bmp.png,92,0,0,0
wy_jiao1!11!11.bmp,8414,90,242,gzip,0,bmp,11,11,raw_rgb565,16,edfe428dfb2daa8deea599915b7c5d4db75b6bfbfe78671cecd33e4ca4662a13,1ff860006000600060006000600060002001200120016000c62bc62bc62bc62b,ok,sprite_button,True,True,120,120,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/wy_jiao1_11_11.bmp.png,92,0,0,1
wy_jiao3!10!10.bmp,7848,67,200,gzip,0,bmp,10,10,raw_rgb565,16,6c75abc1bb592f55c075d4681769205d25f65d11744b95155e967d3f3bd8878c,1ff81ff81ff81ff81ff8200120012001200120011ff81ff81ff81ff820016efe,ok,sprite_button,True,True,85,85,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/wy_jiao3_10_10.bmp.png,92,0,0,15
wy_jiao2!10!10.bmp,8003,67,200,gzip,0,bmp,10,10,raw_rgb565,16,e44746d176272d4165daa2e5733c7ea188c82762c8bba8fe8f65618d5613415c,1ff81ff81ff81ff81ff8200120012001200120011ff81ff81ff81ff82001fc67,ok,sprite_button,True,True,85,85,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/wy_jiao2_10_10.bmp.png,92,0,0,15
wy_jiao22!10!10.bmp,8098,48,200,gzip,0,bmp,10,10,raw_rgb565,16,455e422004ed8dbfa1e822e656034aaa60d5c7fd77dd8409483f832680b66881,2001fc678c128c128c12091287118711871187112001fc678c128c128c120912,ok,sprite_button,True,True,100,100,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/wy_jiao22_10_10.bmp.png,92,0,0,0
wy_jiao32!10!10.bmp,10424,48,200,gzip,0,bmp,10,10,raw_rgb565,16,d0fa471ca30cf10edf1c18b0af25868b411870380e06d90499c9151532580361,20016efe808c808c808cc07b206b206b206b206b20016efe808c808c808cc07b,ok,sprite_button,True,True,100,100,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/wy_jiao32_10_10.bmp.png,92,0,0,0
jiao42!11!6.bmp,5367,48,132,gzip,0,bmp,11,6,raw_rgb565,16,a252997e7ea6abb542f300257d4459eed5217c8616692da92afa473762396013,206a206a206a206a206a206a206a206a206a206a206a844a844ae673e673e673,ok,sprite_button,True,True,66,66,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/jiao42_11_6.bmp.png,91,0,0,0
jt!30!16.bmp,8525,148,960,gzip,0,bmp,30,16,raw_rgb565,16,c65d7cdd7edb99447ff33268a7e56658bbddf7b502c0a08877a1c2bc897dc601,1ff81ff81ff81ff8fffeffffffffffffffffffffffffffffffffffffffffffff,ok,small_sprite,False,True,222,222,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/jt_30_16.bmp.png,89,80,54,124
jiantou!12!15.bmp,10042,108,360,gzip,0,bmp,12,15,raw_rgb565,16,26cd05339d7819be0b6cff6781cf666f5fd614a55fe943594d606d021bf6f7c2,1ff81ff81ff81ff81ff8000000001ff81ff81ff81ff81ff81ff81ff81ff81ff8,ok,small_sprite,False,True,96,96,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/jiantou_12_15.bmp.png,83,40,0,44
dirarrow!13!12.bmp,7726,95,312,gzip,0,bmp,13,12,raw_rgb565,16,b74167de275cc489e573714b3c5a7af4d0df86a31e31cf6c353fde4accb0f866,1ff81ff81ff81ff81ff81ff821ec1ff81ff81ff81ff81ff81ff81ff81ff81ff8,ok,small_sprite,False,True,74,74,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/dirarrow_13_12.bmp.png,83,0,0,82
jiantou_t!12!10.bmp,3705,47,240,gzip,0,bmp,12,10,raw_rgb565,16,b5be03d78f1fc1c7b688b3e2c76e6c2239c1c2b2e533e72f207c380ea5981c94,0000000000000000000000000000000000000000000000000000c942c942c942,ok,small_sprite,False,True,90,90,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/jiantou_t_12_10.bmp.png,82,30,0,0
jiantou_x!12!10.bmp,10615,45,240,gzip,0,bmp,12,10,raw_rgb565,16,2983645fa9322a3339df218d9ffe615aac39c764f5caf6ab60889139f026b609,0000c942359f651265124309430965126512359fc94200000000c942359f6512,ok,small_sprite,False,True,100,100,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/jiantou_x_12_10.bmp.png,82,20,0,0
wy_jiao02!10!10.bmp,5195,91,200,gzip,0,bmp,10,10,raw_rgb565,16,57298e740114d972d8c14c4c9b9075ec5119be13acc3888512b7cf658f6e2786,0000359fef7448320000263200000000000000000000359fef7448320000094b,ok,sprite_button,True,True,60,60,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/wy_jiao02_10_10.bmp.png,72,37,0,3
wy_jiao0!10!10.bmp,10245,89,200,gzip,0,bmp,10,10,raw_rgb565,16,de492a542e5aec02cee34d3508c0c728c09d5404ed24007211f44d74f90a0f64,1ff81ff8000000000000000000000000000000001ff80000359f359f359f359f,ok,sprite_button,True,True,60,60,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/wy_jiao0_10_10.bmp.png,72,37,0,3
listicon.bmp,7139,184,800,gzip,0,bmp,,,unknown,,2828abd633027d0d3a890438149f574eb1b626262689f92027ae3b21e24c75f2,1ff8411041104110411041104110411041104110411041104110411041104110,ok,blob,True,False,0,0,C:/Users/24231/Desktop/jjfb_pc_vmrp_bootkit/out/e9c_resource_previews/listicon.bmp.bin,60,,,
