name,offset,stored_size,decoded_size,encoding,reserved,extension,width,height,format,bpp,sha256,first_32_hex,decoder_status,kind,ui_hint,fits_240x320
start.mr,1921,1514,3787,gzip,0,mr,,,unknown,,c8d664aa7034d044ded428158f9cca1d49a3781242421eb1b1de7f201949ff05,1b4d525080010a0000004073746172742e6d7200000000000000000d96000000,ok,blob,True,False
mrc_loader.ext,3458,219,232,gzip,0,ext,,,unknown,,d36151ee3c119717305afe4b1f0ba47f0f0154f8ba6f2c5081d6402c8eddd938,4d525047434d41502c009fe508402de900008fe0080010e51410a0e3642090e5,ok,blob,False,False
jiantou_t!12!10.bmp,3705,47,240,gzip,0,bmp,12,10,raw_rgb565,16,b5be03d78f1fc1c7b688b3e2c76e6c2239c1c2b2e533e72f207c380ea5981c94,0000000000000000000000000000000000000000000000000000c942c942c942,ok,small_sprite,False,True
loadingbar!201!29.bmp,3782,1385,11658,gzip,0,bmp,201,29,raw_rgb565,16,6ab17ba601918ab21e1ec7d802ed70027586f2ce231e5b11732e0f97a5d6435d,1ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff86141614161416141,ok,background_or_title,True,True
wy_jiao02!10!10.bmp,5195,91,200,gzip,0,bmp,10,10,raw_rgb565,16,57298e740114d972d8c14c4c9b9075ec5119be13acc3888512b7cf658f6e2786,0000359fef7448320000263200000000000000000000359fef7448320000094b,ok,sprite_button,True,True
bar!16!18.bmp,5308,35,576,gzip,0,bmp,16,18,raw_rgb565,16,3dfc15b75d265a3593991b6d076e41b678d341c681721628baac21cd081886eb,000000000000000000000000000000001ff81ff81ff81ff81ff81ff81ff81ff8,ok,small_sprite,True,True
jiao42!11!6.bmp,5367,48,132,gzip,0,bmp,11,6,raw_rgb565,16,a252997e7ea6abb542f300257d4459eed5217c8616692da92afa473762396013,206a206a206a206a206a206a206a206a206a206a206a844a844ae673e673e673,ok,sprite_button,True,True
target.ani,5434,113,125,gzip,0,ani,,,unknown,,b35ad4317927a0c190731b4fd15361d7c644653b9fe642852f51c3912702d83b,4a43414e4930313100107461726765742136352132352e626d70040000000000,ok,blob,False,False
textbar!120!30.bmp,5574,1544,7200,gzip,0,bmp,120,30,raw_rgb565,16,1ec9f3d46f79243d4c961afc2b61a241b213a22ef35f43999fd6f2a1adb13bbc,6241624162416241624162416241624162416241624162416241624162416241,ok,mid_sprite,True,True
listicon.bmp,7139,184,800,gzip,0,bmp,,,unknown,,2828abd633027d0d3a890438149f574eb1b626262689f92027ae3b21e24c75f2,1ff8411041104110411041104110411041104110411041104110411041104110,ok,blob,True,False
target!65!25.bmp,7348,351,3250,gzip,0,bmp,65,25,raw_rgb565,16,636bacb7634ff7eda8c69ae9816decc99f62a9356c1986cdbe97b887255cba7a,1ff81ff821ec21ec1ff81ff81ff81ff81ff81ff81ff821ec21ec1ff81ff81ff8,ok,mid_sprite,False,True
dirarrow!13!12.bmp,7726,95,312,gzip,0,bmp,13,12,raw_rgb565,16,b74167de275cc489e573714b3c5a7af4d0df86a31e31cf6c353fde4accb0f866,1ff81ff81ff81ff81ff81ff821ec1ff81ff81ff81ff81ff81ff81ff81ff81ff8,ok,small_sprite,False,True
wy_jiao3!10!10.bmp,7848,67,200,gzip,0,bmp,10,10,raw_rgb565,16,6c75abc1bb592f55c075d4681769205d25f65d11744b95155e967d3f3bd8878c,1ff81ff81ff81ff81ff8200120012001200120011ff81ff81ff81ff820016efe,ok,sprite_button,True,True
wy_xian2!15!5.bmp,7941,35,150,gzip,0,bmp,15,5,raw_rgb565,16,d38fb926de56c4243ea0145f5454b52ccfd19d683ebe4cb758743efabc4a5485,200120012001200120012001200120012001200120012001200120012001fc67,ok,small_sprite,True,True
wy_jiao2!10!10.bmp,8003,67,200,gzip,0,bmp,10,10,raw_rgb565,16,e44746d176272d4165daa2e5733c7ea188c82762c8bba8fe8f65618d5613415c,1ff81ff81ff81ff81ff8200120012001200120011ff81ff81ff81ff82001fc67,ok,sprite_button,True,True
wy_jiao22!10!10.bmp,8098,48,200,gzip,0,bmp,10,10,raw_rgb565,16,455e422004ed8dbfa1e822e656034aaa60d5c7fd77dd8409483f832680b66881,2001fc678c128c128c12091287118711871187112001fc678c128c128c120912,ok,sprite_button,True,True
wy_jiao5!11!11.bmp,8173,73,242,gzip,0,bmp,11,11,raw_rgb565,16,8c32b77a50ba7638952ccdbfbd160b2c9ba7f618157222b1c563151ef52bcdc6,1ff81ff81ff81ff81ff81ff81ff820012001200120011ff81ff81ff81ff81ff8,ok,sprite_button,True,True
wy_xian1!15!7.bmp,8272,36,210,gzip,0,bmp,15,7,raw_rgb565,16,84d53fabd01318e635c5f87138f21d2eb3271d280f56ca9c0dd8b01f1554968d,2001200120012001200120012001200120012001200120012001200120016f77,ok,small_sprite,True,True
wy_jiao12!11!11.bmp,8336,51,242,gzip,0,bmp,11,11,raw_rgb565,16,a998e920d576ab639cdffad5b47f8f088431c8fa12f44747b68ebbb45f78b6d8,20016f77651265126512c411c411430943094309430920016f77651265126512,ok,sprite_button,True,True
wy_jiao1!11!11.bmp,8414,90,242,gzip,0,bmp,11,11,raw_rgb565,16,edfe428dfb2daa8deea599915b7c5d4db75b6bfbfe78671cecd33e4ca4662a13,1ff860006000600060006000600060002001200120016000c62bc62bc62bc62b,ok,sprite_button,True,True
jt!30!16.bmp,8525,148,960,gzip,0,bmp,30,16,raw_rgb565,16,c65d7cdd7edb99447ff33268a7e56658bbddf7b502c0a08877a1c2bc897dc601,1ff81ff81ff81ff8fffeffffffffffffffffffffffffffffffffffffffffffff,ok,small_sprite,False,True
top!76!28.bmp,8695,1321,4256,gzip,0,bmp,76,28,raw_rgb565,16,b2dbe87f1b037af5cb892bac0c0469f2d7d5415f9df7df4c1d2bb9f5f8d9da0a,1ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff8,ok,mid_sprite,False,True
