n,tick,req_va,idx_va,req_ascii,idx_ascii,req_hex,idx_hex,req_len,idx_len,first_mismatch,host_strcmp,shim,cause
1,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","start.mr",77795f6a69616f312131312131312e626d70,73746172742e6d72,18,8,0,1,1,CASE_OR_ENCODING_MISMATCH
2,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","mrc_loader.ext",77795f6a69616f312131312131312e626d70,6d72635f6c6f616465722e657874,18,14,0,1,1,CASE_OR_ENCODING_MISMATCH
3,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","jiantou_t!12!10.bmp",77795f6a69616f312131312131312e626d70,6a69616e746f755f742131322131302e626d70,18,19,0,1,1,CASE_OR_ENCODING_MISMATCH
4,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","loadingbar!201!29.bmp",77795f6a69616f312131312131312e626d70,6c6f6164696e67626172213230312132392e626d70,18,21,0,1,1,CASE_OR_ENCODING_MISMATCH
5,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","wy_jiao02!10!10.bmp",77795f6a69616f312131312131312e626d70,77795f6a69616f30322131302131302e626d70,18,19,7,1,1,CASE_OR_ENCODING_MISMATCH
6,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","bar!16!18.bmp",77795f6a69616f312131312131312e626d70,6261722131362131382e626d70,18,13,0,1,1,CASE_OR_ENCODING_MISMATCH
7,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","jiao42!11!6.bmp",77795f6a69616f312131312131312e626d70,6a69616f343221313121362e626d70,18,15,0,1,1,CASE_OR_ENCODING_MISMATCH
8,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","target.ani",77795f6a69616f312131312131312e626d70,7461726765742e616e69,18,10,0,1,1,CASE_OR_ENCODING_MISMATCH
9,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","textbar!120!30.bmp",77795f6a69616f312131312131312e626d70,74657874626172213132302133302e626d70,18,18,0,1,1,CASE_OR_ENCODING_MISMATCH
10,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","listicon.bmp",77795f6a69616f312131312131312e626d70,6c69737469636f6e2e626d70,18,12,0,1,1,CASE_OR_ENCODING_MISMATCH
11,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","target!65!25.bmp",77795f6a69616f312131312131312e626d70,7461726765742136352132352e626d70,18,16,0,1,1,CASE_OR_ENCODING_MISMATCH
12,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","dirarrow!13!12.bmp",77795f6a69616f312131312131312e626d70,6469726172726f772131332131322e626d70,18,18,0,1,1,CASE_OR_ENCODING_MISMATCH
13,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","wy_jiao3!10!10.bmp",77795f6a69616f312131312131312e626d70,77795f6a69616f332131302131302e626d70,18,18,7,-1,1,CASE_OR_ENCODING_MISMATCH
14,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","wy_xian2!15!5.bmp",77795f6a69616f312131312131312e626d70,77795f7869616e3221313521352e626d70,18,17,3,-1,1,CASE_OR_ENCODING_MISMATCH
15,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","wy_jiao2!10!10.bmp",77795f6a69616f312131312131312e626d70,77795f6a69616f322131302131302e626d70,18,18,7,-1,1,CASE_OR_ENCODING_MISMATCH
16,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","wy_jiao22!10!10.bmp",77795f6a69616f312131312131312e626d70,77795f6a69616f32322131302131302e626d70,18,19,7,-1,1,CASE_OR_ENCODING_MISMATCH
17,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","wy_jiao5!11!11.bmp",77795f6a69616f312131312131312e626d70,77795f6a69616f352131312131312e626d70,18,18,7,-1,1,CASE_OR_ENCODING_MISMATCH
18,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","wy_xian1!15!7.bmp",77795f6a69616f312131312131312e626d70,77795f7869616e3121313521372e626d70,18,17,3,-1,1,CASE_OR_ENCODING_MISMATCH
19,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","wy_jiao12!11!11.bmp",77795f6a69616f312131312131312e626d70,77795f6a69616f31322131312131312e626d70,18,19,8,-1,1,EXCLAMATION_SEPARATOR_MISMATCH
20,1,0x2A8364,0x2A83E0,"wy_jiao1!11!11.bmp","wy_jiao1!11!11.bmp",77795f6a69616f312131312131312e626d70,77795f6a69616f312131312131312e626d70,18,18,-1,0,1,OK_HOST_STRCMP
