n,tick,pc,lr,r4,r0,r1,r9,note
1,1,0x2EF86C,0x80000,0x0,0x45,0x13,0x2B1858,splash_enter
2,1,0x2EF888,0x2EF881,0x314338,0x2B23F8,0x7DA,0x2B1858,r4_change
3,1,0x2EFA46,0x304589,0x314338,0x0,0x31430C,0x2B1858,bind_bar_bl
4,1,0x2EFA56,0x2EFA4B,0x314338,0x0,0x3142F8,0x2B1858,bind_textbar_bl
5,1,0x2EFA5C,0x2EFA5B,0x314338,0x314338,0x2A83C4,0x2B1858,ycalc_r4_vs_R9_BD0
6,1,0x2EFA7C,0x2EFA73,0x314338,0x140,0x0,0x2B1858,blit_setup_2EFA7C
7,1,0x2EFA9A,0x2EFA73,0x314338,0x2A83C4,0x13,0x2B1858,pre_blit_2EFA9A
8,1,0x2EC6B8,0x2EFA9F,0x314338,0x2A83C4,0x13,0x2B1858,blit_2EC6B8
9,1,0x2EFA9E,0x2EFA9F,0x314338,0x4,0x3910080,0x2B1858,progress_loop
10,1,0x2EC6B8,0x2EFAE7,0x314338,0x3910080,0x2F,0x2B1858,blit_2EC6B8
11,1,0x2EC6B8,0x2EFAE7,0x314338,0x3910080,0x3B,0x2B1858,blit_2EC6B8
12,1,0x2EC6B8,0x2EFAE7,0x314338,0x3910080,0x47,0x2B1858,blit_2EC6B8
13,1,0x2EC6B8,0x2EFAE7,0x314338,0x3910080,0x53,0x2B1858,blit_2EC6B8
14,1,0x2EFAF2,0xB3,0x314338,0x0,0x2B23F8,0x2B1858,gate_b6c_zero
15,1,0x2EFAFA,0xB3,0x314338,0x0,0x2B23F8,0x2B1858,r4_cmp_nz
