n,tick,pc,lr,r0,r4,b6c,bd0,count,note
1,1,0x2EFA9E,0x2EFA9F,0x4,0x314338,0x0,0x314338,0x4,progress_loop_enter
2,1,0x2EFAE2,0x2F,0x3910080,0x314338,0x0,0x0,0x0,progress_blit_2EFAE2
3,1,0x2EFAE2,0x3B,0x3910080,0x314338,0x0,0x0,0x0,progress_blit_2EFAE2
4,1,0x2EFAE2,0x47,0x3910080,0x314338,0x0,0x0,0x0,progress_blit_2EFAE2
5,1,0x2EFAE2,0x53,0x3910080,0x314338,0x0,0x0,0x0,progress_blit_2EFAE2
6,1,0x2EFAF2,0xB3,0x0,0x314338,0x0,0x314338,0x4,b6c_zero
7,1,0x2EFAFA,0xB3,0x0,0x314338,0x0,0x314338,0x4,r4_cmp_nz
8,1,0x2EFB0E,0x2EFB0B,0x1,0x314338,0x0,0x0,0x0,post_r4_2EFB0E
9,1,0x2EFBA2,0x70,0x314338,0x314338,0x0,0x0,0x0,text_draw
10,1,0x305BFC,0x2EFBA7,0x314338,0x314338,0x0,0x0,0x0,text_draw
