n,tick,pc,lr,code,str,old_w,old_h,new_w,new_h,note
1,1,0x303C50,0x305E89,0x0,0x3142B4,0,0,0,0,303C50_enter
2,1,0x305EA0,0x304589,0x12340,0x0,0,0,0,0,plat_return
3,1,0x305EA0,0x304589,0x12340,0x0,0,0,36,16,shim_write
4,1,0x303C50,0x305E89,0x0,0x314338,0,0,0,0,303C50_enter
5,1,0x305EA0,0x304589,0x12340,0x314338,0,3202555,0,3202555,plat_return
6,1,0x305EA0,0x304589,0x12340,0x314338,0,3202555,36,16,shim_write
7,1,0x2EFB48,0x304621,0x0,0x314338,38,16,38,16,305E78_ret
8,1,0x303C50,0x305E89,0x0,0x314338,0,0,0,0,303C50_enter
9,1,0x305EA0,0x304589,0x12340,0x314338,0,2621400,0,2621400,plat_return
10,1,0x305EA0,0x304589,0x12340,0x314338,0,2621400,36,16,shim_write
11,1,0x303C50,0x305D0D,0x0,0x314338,0,0,0,0,303C50_enter
