n,member,key,skipped,lit,source
1,loadingbar!201!29.bmp,0xF81F,202,5627,corners
2,bar!16!18.bmp,0xF81F,136,152,corners
3,bar!16!18.bmp,0xF81F,136,152,corners
4,bar!16!18.bmp,0xF81F,136,152,corners
5,bar!16!18.bmp,0xF81F,136,152,corners
6,bar!16!18.bmp,0xF81F,136,152,corners
7,bar!16!18.bmp,0xF81F,136,152,corners
8,bar!16!18.bmp,0xF81F,136,152,corners
9,bar!16!18.bmp,0xF81F,136,152,corners
10,bar!16!18.bmp,0xF81F,136,152,corners
11,bar!16!18.bmp,0xF81F,136,152,corners
12,bar!16!18.bmp,0xF81F,136,152,corners
13,bar!16!18.bmp,0xF81F,136,152,corners
