n,tick,phase,pc,count_before,count_after,gate8b8,note
1,1,bp_0x3124D8,0x3124D8,0,0,0x0,hit
2,1,bp_0x3124FE,0x3124FE,0,0,0x0,hit
1,1,tick_1,0x3124D8,0,1,0x0,ok
3,1,bp_0x3124D8,0x3124D8,1,1,0x0,hit
4,1,bp_0x3124FE,0x3124FE,1,1,0x0,hit
2,1,tick_2,0x3124D8,1,2,0x0,ok
5,1,bp_0x3124D8,0x3124D8,2,2,0x0,hit
6,1,bp_0x3124FE,0x3124FE,2,2,0x0,hit
3,1,tick_3,0x3124D8,2,3,0x0,ok
7,1,bp_0x3124D8,0x3124D8,3,3,0x0,hit
8,1,bp_0x3124FE,0x3124FE,3,3,0x0,hit
4,1,tick_4,0x3124D8,3,4,0x0,ok
9,1,bp_0x3124D8,0x3124D8,4,4,0x0,hit
10,1,bp_0x3124FE,0x3124FE,4,4,0x0,hit
5,1,tick_5,0x3124D8,4,5,0x0,ok
11,1,bp_0x3124D8,0x3124D8,5,5,0x0,hit
12,1,bp_0x3124FE,0x3124FE,5,5,0x0,hit
6,1,tick_6,0x3124D8,5,6,0x0,ok
13,1,bp_0x3124D8,0x3124D8,6,6,0x0,hit
14,1,bp_0x3124FE,0x3124FE,6,6,0x0,hit
7,1,tick_7,0x3124D8,6,7,0x0,ok
15,1,bp_0x3124D8,0x3124D8,7,7,0x0,hit
16,1,bp_0x3124FE,0x3124FE,7,7,0x0,hit
8,1,tick_8,0x3124D8,7,8,0x0,ok
17,1,bp_0x3124D8,0x3124D8,8,8,0x0,hit
18,1,bp_0x3124FE,0x3124FE,8,8,0x0,hit
9,1,tick_9,0x3124D8,8,9,0x0,ok
19,1,bp_0x3124D8,0x3124D8,9,9,0x0,hit
20,1,bp_0x3124FE,0x3124FE,9,9,0x0,hit
10,1,tick_10,0x3124D8,9,10,0x0,ok
21,1,bp_0x3124D8,0x3124D8,10,10,0x0,hit
22,1,bp_0x3124FE,0x3124FE,10,10,0x0,hit
11,1,tick_11,0x3124D8,10,11,0x0,ok
23,1,bp_0x3124D8,0x3124D8,11,11,0x0,hit
24,1,bp_0x3124FE,0x3124FE,11,11,0x0,hit
12,1,tick_12,0x3124D8,11,12,0x0,ok
