n,tick,pc,lr,count,gate8b8,note
1,1,0x3124D8,0x80000,0,0x0,assist
2,1,0x3124FE,0x3124E5,0,0x0,natural_or_other
3,1,0x3124D8,0x80000,1,0x0,assist
4,1,0x3124FE,0x3124E5,1,0x0,natural_or_other
5,1,0x3124D8,0x80000,2,0x0,assist
6,1,0x3124FE,0x3124E5,2,0x0,natural_or_other
7,1,0x3124D8,0x80000,3,0x0,assist
8,1,0x3124FE,0x3124E5,3,0x0,natural_or_other
9,1,0x3124D8,0x80000,4,0x0,assist
10,1,0x3124FE,0x3124E5,4,0x0,natural_or_other
11,1,0x3124D8,0x80000,5,0x0,assist
12,1,0x3124FE,0x3124E5,5,0x0,natural_or_other
13,1,0x3124D8,0x80000,6,0x0,assist
14,1,0x3124FE,0x3124E5,6,0x0,natural_or_other
15,1,0x3124D8,0x80000,7,0x0,assist
16,1,0x3124FE,0x3124E5,7,0x0,natural_or_other
17,1,0x3124D8,0x80000,8,0x0,assist
18,1,0x3124FE,0x3124E5,8,0x0,natural_or_other
19,1,0x3124D8,0x80000,9,0x0,assist
20,1,0x3124FE,0x3124E5,9,0x0,natural_or_other
21,1,0x3124D8,0x80000,10,0x0,assist
22,1,0x3124FE,0x3124E5,10,0x0,natural_or_other
23,1,0x3124D8,0x80000,11,0x0,assist
24,1,0x3124FE,0x3124E5,11,0x0,natural_or_other
