target_mrp,side_pack_dir,pack_name,pack_path,member_count,appid,appver,sha256,is_downimage,ready
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,attack,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/attack.mrp,13,0x7534,0x65,d65f6d406c361b69e85fb1f6c841bc5bebe34ef1ae196bb60d140220f5ecb0d6,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,bigWorldMap,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/bigWorldMap.mrp,2,0x7534,0x65,2bf19e4adb556b29d43e1482bac1559ab748e1244906026a6b723ad583ae3a3a,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,bmm1,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/bmm1.mrp,2,0x7534,0x65,1559eeba17cd8dfeb9d7a1db27fe16997c19f7a12fac68c7a3f81f99bd5286ec,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,bmm2,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/bmm2.mrp,2,0x7534,0x65,4060a3421b86a6843011e67113329842e3b9ebab35fc4ab0145ae387dd28b064,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,bmm3,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/bmm3.mrp,2,0x7534,0x65,1cd6699f1c48928f899f37326c68d708a89944dd9ce8b7d0892b684a4770a795,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,bmm4,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/bmm4.mrp,2,0x7534,0x65,953640faa44c30ea5ead6c13a0da921d5afac39031cca8f59265a017c9d22c91,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,bmm5,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/bmm5.mrp,2,0x7534,0x65,ffcf7d86ec5c52347854b7ea8a138c65f0439bb59f7602dfaaac4b45d21c5f23,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,bmm6,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/bmm6.mrp,2,0x7534,0x65,4aabdd62436b4ad28954b4c0777217131ed59b4a46b578a0155a10fd2702af03,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,bmm7,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/bmm7.mrp,2,0x7534,0x65,4e9a483d9bacb8d6c010525348e8d41493125b861c868d712aba0455c70d3c95,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,bmm8,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/bmm8.mrp,2,0x7534,0x65,8ee29d7b6bcbf182296d06bf1a9f782e3bfe736a4c8fda6aceb36910ff455313,0,1
