sequence,time_from_case9_leave,guest_instruction_index,PC,LR,SP,R0,R1,R2,R3,event_request_id,operation_type,platform_function,resource_name,branch_target,result,raw
1,0,,,,,,,,,,case9_leave,,,,ok=1 pc_after=0x80000 ret=0,[JJFB_P11] CASE9_LEAVE ok=1 uc_err=0 pc_after=0x80000 ret=0 slice_n=65 evidence=OBSERVED
2,4,,0x80000,0x304599,,,,,,,family_deliver_done,PLATFORM_FAMILY_EVENT,,,ok=1 handler=0x30D311,[PLATFORM_FAMILY_EVENT] op=DELIVER_DONE ok=1 ret=0 end=stop_at_base handler=0x30D311 pc_after=0x80000 lr_after=0x304599 lim=5000000 evidence=OBSERVED
3,5,,,,,,,,,,scheduler_cb,SCHEDULER_NATURAL_CALLBACK,,,handler=0x30D311 ret=0,[SCHEDULER_NATURAL_CALLBACK] owner_module=robotol.ext source=PLATFORM_EVENT forced=no handler=0x30D311 ret=0 guest_entered=yes run_id=p12_succ_20260801_045247_7640 evidence=OBSERVED
4,6,,0x280058,,,0x1E209,0x9,,,0x1E209,extchunk_call,sendAppEvent/extchunk,,,ret=0x0,[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED
5,10,,0x280068,,,,,,,,callback:GUEST_BEFORE_HOST_CALLBACK,_mr_c_function_new,,0x304599,,[CALLBACK_FRAME] boundary=GUEST_BEFORE_HOST_CALLBACK callback_id=5 module_id=3 module=robotol.ext slot=0x280068 slot_name=_mr_c_function_new call_pc=0x280068 continuation_pc=0x304599 continuation_file_offset=0x2B794 r0=0x0 r1=0x9 r2=0x0 r3=
6,11,,,,,0x0,0x9,,,,cfunction_new,,,,helper=0x0 len=9,ext call _mr_c_function_new(0x0[0]; 0x9[9])
7,22,,,,,,,,,,module_reg,,gwy/wxjwq.mrp:mmochat.ext,,id=4 state=MAPPED,[MODULE_REGISTRY] package=gwy/wxjwq.mrp module=mmochat.ext module_id=4 requested=mmochat.ext resolved=mmochat.ext origin=MRP_MEMBER strategy=exact state=MAPPED stored_size=206148 unpacked_size=320292 extracted_size=320292 helper=0x0
8,24,,,,,,,,,,module_reg,,gwy/wxjwq.mrp:mmochat.ext,,id=4 state=REGISTERED,[MODULE_REGISTRY] package=gwy/wxjwq.mrp module=mmochat.ext module_id=4 requested=mmochat.ext resolved=mmochat.ext origin=MRP_MEMBER strategy=exact state=REGISTERED stored_size=206148 unpacked_size=320292 extracted_size=320292 helper=0x0
9,30,,0x280068,,,,,,,,callback:HOST_CALLBACK_RETURN,_mr_c_function_new,,0x304599,,[CALLBACK_FRAME] boundary=HOST_CALLBACK_RETURN callback_id=5 module_id=3 module=robotol.ext slot=0x280068 slot_name=_mr_c_function_new call_pc=0x280068 continuation_pc=0x304599 continuation_file_offset=0x2B794 r0=0x0 r1=0x9 r2=0x0 r3=0x0 r4
10,33,,0x280068,,,,,,,,callback:GUEST_CONTINUATION_RESUME,_mr_c_function_new,,0x304599,,[CALLBACK_FRAME] boundary=GUEST_CONTINUATION_RESUME callback_id=5 module_id=3 module=robotol.ext slot=0x280068 slot_name=_mr_c_function_new call_pc=0x280068 continuation_pc=0x304599 continuation_file_offset=0x2B794 r0=0x0 r1=0x9 r2=0x0 r3=0
