item,original_shell,product_direct_p17
case9_handler,registered_0x30D311,0x30D311_REACHED_STOP_x48_per_180s
case9_return,wrapper_epilogue_then_outer,PC_LR_cont_0x304599_then_DRAIN_OUTSIDE_HOOK
case9_period_proxy,unknown_needs_live_shell,~50ms_host_lifecycle_paced
timer_id,unknown,host_lifecycle_id=1
timer_interval,unknown,period_ms=50_forced_host
classic_mr_timerStart,expected_on_bubble,ABSENT_JJFB_TIMER_ARM_ABSENT
10133_params,unknown,r0=0x10133_r1=0x1E205_from_pc_0x305E32
lifecycle_helper,unknown_or_parent,0x30631D_then_0x306762_to_0x2F9975
evt_1e209_after_case9,unknown,reissued_identical_digest_0xFF5FCBC8
next_module,parent_shell_candidate,none_observed
next_genuine_API,unknown,(none)_GENUINE_count=0
parent_scheduler_action,likely_after_child_callback_return,missing_or_not_reached_in_direct
MAP_DATA_fallthrough,no,0
nested_emu_in_hook,must_be_no,0_blocked_events
bmp_layer1,shell_may_differ,NOT_REACHED_not_regression
p16_frame_csv,reports/p16_original_shell_callback_compare.csv,retained
note,full_RUN_RESEARCH_GWY_SHELL_deferred_to_keep_3hit_same_binary,product_lock=stateless_1E209_cycle
