source,field,value
product_natural,policy,NATURAL_ONLY
product_natural,forced_arm,0
product_natural,lifecycle_fire,0
product_natural,evt_1e209,0
product_natural,reg_caller_pc,0x304599
product_natural,reg_handler,0x30631D
product_natural,reg_family,0x5
product_natural,reg_owner,robotol.ext
product_natural,reg_abi_period,none
product_natural,last_guest_call,sendAppEvent_0x10800_app_0x4
product_natural,stop,start_dsm_return_then_idle
product_oneshot,policy,RESEARCH_ONESHOT
product_oneshot,lifecycle_fire,1
product_oneshot,evt_1e209,1_path_digest_FF5FCBC8
product_oneshot,state_digest_changed,0
product_oneshot,guest_mr_timerStart,0
product_oneshot,host_start_chunk_false_positive_in_matrix,1
product_oneshot,rearm,0_ONESHOT_DONE
research_shell,suite,RUN_RESEARCH_GWY_SHELL_complete
research_shell,live_runners,SKIP_missing_RUN_LIVE_scripts
research_shell,jjfb_10140_first_call,NOT_CAPTURED
research_shell,note,gbrwcore_to_gamelist_continue_only_no_jjfb_10140_stage
docs_06,wording,period_or_main_handler_CROSS_TARGET_not_ABI_period
classification,primary,E_REGISTERED_BUT_NOT_ACTIVATED_THIS_STAGE
classification,hypothesis,A_parent_first_activator_missing
