variable,p19_shell,historical_e10a31,role,forges_events,migrate_to_p20
JJFB_LAUNCH_PATH,gwy_shell_core_continue,gwy_shell_core_continue,shell_chain,no,yes
JJFB_SHELL_CHAIN_MODE,continue_after_gbrwcore_init,continue_after_gbrwcore_init,continue_policy,no,yes
GWY_LAUNCH_TARGET,gwy/gbrwcore.mrp,gwy/gbrwcore.mrp,entry_package,no,yes
JJFB_EXTCHUNK_PROVIDER,shell_core,shell_core,chunk_owner,no,yes
JJFB_ER_RW_BIND_RESTORE,shell_core,shell_core,erw_bind,no,yes
JJFB_E10A31B_MODE,unset,1,P_ERW_isolation,no,yes
JJFB_E10A31_TIMER_CONTEXT,unset,1,gamelist_timer_observe,no,yes
JJFB_E10A31_WAIT_FOR_TIMER,unset,1,observe_stop,no,yes
JJFB_E10A_MODE,unset,1,shell_trace_arm,no,yes
JJFB_E10A_SHELL_TRACE,unset,1,phase_csv,no,yes
JJFB_TIMER_DELIVER_TRACE,unset,1,natural_timer_trace,no,yes
JJFB_TIMER_ARM_TRACE,unset,1,natural_timer_trace,no,yes
JJFB_FAST_BD0_INIT_CALL,unset,1,host_calls_real_guest_0x2FC418,host_assist_not_state_forge,optional_historical
JJFB_FAST_PROGRESS_TICK_CALL,unset,1,host_calls_real_guest_0x3124D8,host_assist_not_state_forge,optional_historical
JJFB_E5_SCHEDULER_MODE,1,unset,product_scheduler,no,no_exclude
JJFB_FORCE_10140_LIFECYCLE,0/unset,0/unset,NATURAL_ONLY,no,must_stay_off
JJFB_P19_HANDOFF,1,unset,parent_child_observe,no,yes
JJFB_P20_CLEAN,unset,1_this_round,gate_capsule_observe,no,yes
note_first_fork,P19_no_br_exit_so_no_CONTINUE,E10A31_br_exit_CONTINUE_to_gamelist,scheduler_exit_path,n/a,restore_br_exit_conditions
