sequence,caller_pc,caller_module,branch_instruction,api,path,mode,offset,requested_size,returned_size,return_value,buffer_guest,buffer_sha256,buffer_first_64_hex,owner_package,timer_generation
1,0x280284,"?",0x90EA0,"open","system/gb16.uc2","rb",0,0,1,1,0x0,-,-,"?",0
2,0x280284,"?",0x90EA0,"open","mythroad/system/gb16.uc2","read",0,0,1,2,0x0,-,-,"?",0
3,0x280284,"?",0xA1BD4,"open","gwy/gamelist.mrp","rb",0,0,1,1,0x0,-,-,"?",0
4,0x280284,"?",0xA1BD4,"open","mythroad/gwy/gamelist.mrp","read",0,0,1,3,0x0,-,-,"?",0
5,0x28028C,"?",0x8D240,"read","mythroad/gwy/gamelist.mrp","rb",0,16,16,16,0x0,d84860c94be88e343c3fc8c3d63ee704067a7cc988d6aedab2a03f1813c420ee,4D52504797030000CA1B0100F0000000,"?",0
6,0x280294,"?",0x8D2DC,"seek","mythroad/gwy/gamelist.mrp","",224,0,0,0,0x0,-,-,"?",0
7,0x28028C,"?",0x8D324,"read","mythroad/gwy/gamelist.mrp","rb",240,687,687,687,0x0,6aa336a7d9ed5de9095a19671425b2f5cb5db73180881fac3412bf94f750297f,0900000073746172742E6D7200B0030000FA0300000000000009000000686561642E626D7000BB070000E100000000000000080000006E65772E626D7000AC08,"?",0
8,0x280294,"?",0x8D530,"seek","mythroad/gwy/gamelist.mrp","",944,0,0,0,0x0,-,-,"?",0
9,0x28028C,"?",0x8D58C,"read","mythroad/gwy/gamelist.mrp","rb",944,1018,1018,1018,0x0,fff0ef8db9b4b421c779a8ae31e2d41b61ee7b48ec6190acf2a429aa10c44aae,1F8B080000000000000B9D56CF6F1B45147EF363D74EA085968010E1507AAA1084B4EA0509DA9AC48D7A000A099020A1C5596FD26DEDB5B5BBB6DA03D2FA9056,"?",0
10,0x280294,"?",0xA066C,"seek","mythroad/system/gb16.uc2","",923424,0,0,0,0x0,-,-,"?",0
11,0x28028C,"?",0xA068C,"read","mythroad/system/gb16.uc2","rb",923424,32,32,32,0x0,71f02bad01e3a51f48e7fac8bb9efd309e9fbd4c4e8f2852ac6480790537f673,00000080008000FC008000800FF80808080808080FF800001248112421240000,"?",0
12,0x280294,"?",0xA066C,"seek","mythroad/system/gb16.uc2","",1600,0,0,0,0x0,-,-,"?",0
13,0x28028C,"?",0xA068C,"read","mythroad/system/gb16.uc2","rb",1600,32,32,32,0x0,96ed68ce348f4189a4d206bcbba5cef2c800aab3a330dbf7fece8b7bc988b973,00000000000000001E00210021000100020004000800100021003F0000000000,"?",0
14,0x280284,"?",0xA1BD4,"open","gwy/gamelist.mrp","rb",0,0,1,1,0x0,-,-,"?",0
15,0x280284,"?",0xA1BD4,"open","mythroad/gwy/gamelist.mrp","read",0,0,1,3,0x0,-,-,"?",0
16,0x28028C,"?",0x8D240,"read","mythroad/gwy/gamelist.mrp","rb",0,16,16,16,0x0,d84860c94be88e343c3fc8c3d63ee704067a7cc988d6aedab2a03f1813c420ee,4D52504797030000CA1B0100F0000000,"?",0
17,0x280294,"?",0x8D2DC,"seek","mythroad/gwy/gamelist.mrp","",224,0,0,0,0x0,-,-,"?",0
18,0x28028C,"?",0x8D324,"read","mythroad/gwy/gamelist.mrp","rb",240,687,687,687,0x0,6aa336a7d9ed5de9095a19671425b2f5cb5db73180881fac3412bf94f750297f,0900000073746172742E6D7200B0030000FA0300000000000009000000686561642E626D7000BB070000E100000000000000080000006E65772E626D7000AC08,"?",0
19,0x280294,"?",0x8D530,"seek","mythroad/gwy/gamelist.mrp","",13325,0,0,0,0x0,-,-,"?",0
20,0x28028C,"?",0x8D58C,"read","mythroad/gwy/gamelist.mrp","rb",13325,58522,58522,58522,0x0,4307d1116ee850868e593a3649bfbe2ce83704ed5a64d718d0a31f619d1b9cff,1F8B080000000000000BBCBD097C144516385CDD73E74E08612669A07B268149C231490003780C9311661242142F0EC509971302183C03784CC2E104589C44C1,"?",0
