sequence,absolute_pc,module_base,module_offset,raw_bytes,disassembly,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,sp,lr,cpsr,basic_block,branch_condition,branch_taken,memory_read,memory_write,note
1,0x2E7744,0x2D4364,0x133E0,F0B587B0,"push",0x0,0x2E7745,0x0,0x0,0x2A83C0,0x0,0x68350C,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FB08,0x2E36A1,0x200001F3,bb_0x133E0,"",-1,,,"slice"
2,0x2E7746,0x2D4364,0x133E2,87B003A8,"op",0x0,0x2E7745,0x0,0x0,0x2A83C0,0x0,0x68350C,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAF4,0x2E36A1,0x200001F3,bb_0x133E2,"",-1,,,"slice"
3,0x2E7748,0x2D4364,0x133E4,03A80021,"op",0x0,0x2E7745,0x0,0x0,0x2A83C0,0x0,0x68350C,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAD8,0x2E36A1,0x200001F3,bb_0x133E4,"",-1,,,"slice"
4,0x2E774A,0x2D4364,0x133E6,00210022,"op",0x27FAE4,0x2E7745,0x0,0x0,0x2A83C0,0x0,0x68350C,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAD8,0x2E36A1,0x200001F3,bb_0x133E6,"",-1,,,"slice"
5,0x2E774C,0x2D4364,0x133E8,002206C0,"op",0x27FAE4,0x0,0x0,0x0,0x2A83C0,0x0,0x68350C,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAD8,0x2E36A1,0x600001F3,bb_0x133E8,"",-1,,,"slice"
6,0x2E774E,0x2D4364,0x133EA,06C006C0,"op",0x27FAE4,0x0,0x0,0x0,0x2A83C0,0x0,0x68350C,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAD8,0x2E36A1,0x600001F3,bb_0x133EA,"",-1,,,"slice"
7,0x2E7750,0x2D4364,0x133EC,06C00292,"op",0x27FAEC,0x0,0x0,0x0,0x2A83C0,0x0,0x68350C,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAD8,0x2E36A1,0x600001F3,bb_0x133EC,"",-1,,,"slice"
8,0x2E7752,0x2D4364,0x133EE,0292CA43,"op",0x27FAF4,0x0,0x0,0x0,0x2A83C0,0x0,0x68350C,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAD8,0x2E36A1,0x600001F3,bb_0x133EE,"",-1,,,"slice"
9,0x2E7754,0x2D4364,0x133F0,CA430091,"op",0x27FAF4,0x0,0x0,0x0,0x2A83C0,0x0,0x68350C,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAD8,0x2E36A1,0x600001F3,bb_0x133F0,"",-1,,,"slice"
10,0x2E7756,0x2D4364,0x133F2,00910191,"op",0x27FAF4,0x0,0xFFFFFFFF,0x0,0x2A83C0,0x0,0x68350C,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAD8,0x2E36A1,0xA00001F3,bb_0x133F2,"",-1,,,"slice"
11,0x2E7758,0x2D4364,0x133F4,0191234E,"op",0x27FAF4,0x0,0xFFFFFFFF,0x0,0x2A83C0,0x0,0x68350C,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAD8,0x2E36A1,0xA00001F3,bb_0x133F4,"",-1,,,"slice"
12,0x2E775A,0x2D4364,0x133F6,234E0025,"ldr_pc",0x27FAF4,0x0,0xFFFFFFFF,0x0,0x2A83C0,0x0,0x68350C,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAD8,0x2E36A1,0xA00001F3,bb_0x133F6,"",-1,,,"slice"
13,0x2E775C,0x2D4364,0x133F8,00252B1C,"op",0x27FAF4,0x0,0xFFFFFFFF,0x0,0x2A83C0,0x0,0x10204,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAD8,0x2E36A1,0xA00001F3,bb_0x133F8,"",-1,,,"slice"
14,0x2E775E,0x2D4364,0x133FA,2B1C0421,"op",0x27FAF4,0x0,0xFFFFFFFF,0x0,0x2A83C0,0x0,0x10204,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAD8,0x2E36A1,0x600001F3,bb_0x133FA,"",-1,,,"slice"
15,0x2E7760,0x2D4364,0x133FC,0421301C,"op",0x27FAF4,0x0,0xFFFFFFFF,0x0,0x2A83C0,0x0,0x10204,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAD8,0x2E36A1,0x400001F3,bb_0x133FC,"",-1,,,"slice"
16,0x2E7762,0x2D4364,0x133FE,301CFAF7,"op",0x27FAF4,0x4,0xFFFFFFFF,0x0,0x2A83C0,0x0,0x10204,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAD8,0x2E36A1,0x1F3,bb_0x133FE,"",-1,,,"slice"
17,0x2E7764,0x2D4364,0x13400,FAF70AFE,"bl",0x10204,0x4,0xFFFFFFFF,0x0,0x2A83C0,0x0,0x10204,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAD8,0x2E36A1,0x1F3,bb_0x13400,"",-1,,,"slice"
18,0x2E237C,0x2D4364,0xE018,F0B50D1C,"push",0x10204,0x4,0xFFFFFFFF,0x0,0x2A83C0,0x0,0x10204,0xFFFFFFFF,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FAD8,0x2E7769,0x1F3,bb_0xE018,"",-1,,,"slice"
