# run_id=p22f_20260801_224103_10436 source_commit=3a1fdfa12492827ce1a183af464001d7c6398841 main_exe_sha256=47de8b9c133ff3634f464e32f62732956ca69714e19d887a186036b6bc01b079 raw_gamelist_ext_sha256=70abc063dae99c95e7d9d7a44db5117c9512a430078c2672ecae9e28c3616414 runtime_image_sha256=PENDING module_id=UNKNOWN_NOT_EXPOSED runtime_base=0x0 runtime_end=0x0 runtime_size=0x0 raw_base_refine_pad=0x0 ERW=0x0 P=UNKNOWN_NOT_EXPOSED generation=UNKNOWN_NOT_EXPOSED package_owner=UNKNOWN_NOT_EXPOSED identity_gaps=none
# offset_map=runtime_module_offset = guest_pc - runtime_base; raw_file_offset ≈ runtime_module_offset (after RAW_BASE_REFINE pad)
sequence,timestamp_ms,producer,event_type,event_code,callback_registered,callback_target,delivery_target,r0,r1,r2,r3,stack0,stack1,stack2,stack3,module_owner,generation,r9_before,r9_after,result
1,7848,shell,GAMELIST_STARTED,0x0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,UNKNOWN_NOT_EXPOSED,UNKNOWN_NOT_EXPOSED,0x0,0x0,started
2,13306,platform_send_app_event,plat,0x1,0,0x0,0x2E23AD,0x64,0x0,0x0,0x0,0,0,0,0,gamelist.ext,1,0x0,0x0,ret=0x0
3,13691,platform_send_app_event,plat,0x10108,0,0x0,0x2E23AD,0x2E863C,0x0,0x0,0x0,0,0,0,0,gamelist.ext,1,0x0,0x0,ret=0x0
4,13831,platform_send_app_event,plat,0x11F00,0,0x0,0x2E23AD,0xC,0x2B0E14,0x1,0x0,0,0,0,0,gamelist.ext,1,0x0,0x0,ret=0x0
5,13890,platform_send_app_event,plat,0x11F00,0,0x0,0x2E23AD,0xC,0x2E8A98,0x1,0x0,0,0,0,0,gamelist.ext,1,0x0,0x0,ret=0x0
6,13898,platform_send_app_event,plat,0x11F00,0,0x0,0x2E23AD,0x6,0x27F7E4,0x40,0x0,0,0,0,0,gamelist.ext,1,0x0,0x0,ret=0x0
7,13907,platform_send_app_event,plat,0x11F00,0,0x0,0x2E23AD,0x7,0x2E8A98,0x27F7A0,0x0,0,0,0,0,gamelist.ext,1,0x0,0x0,ret=0x0
8,14291,platform_send_app_event,plat,0x1,0,0x0,0x2E23AD,0x64,0x0,0x0,0x0,0,0,0,0,gamelist.ext,1,0x0,0x0,ret=0x0
9,14669,platform_send_app_event,plat,0x10108,0,0x0,0x2E23AD,0x2E863C,0x0,0x0,0x0,0,0,0,0,gamelist.ext,1,0x0,0x0,ret=0x0
10,14819,platform_send_app_event,plat,0x11F00,0,0x0,0x2E23AD,0xC,0x682C78,0x1,0x0,0,0,0,0,gamelist.ext,1,0x0,0x0,ret=0x0
11,14883,platform_send_app_event,plat,0x11F00,0,0x0,0x2E23AD,0xC,0x2E8A98,0x1,0x0,0,0,0,0,gamelist.ext,1,0x0,0x0,ret=0x0
12,14891,platform_send_app_event,plat,0x11F00,0,0x0,0x2E23AD,0x6,0x27FA54,0x40,0x0,0,0,0,0,gamelist.ext,1,0x0,0x0,ret=0x0
13,14902,platform_send_app_event,plat,0x11F00,0,0x0,0x2E23AD,0x7,0x2E8A98,0x27FA10,0x0,0,0,0,0,gamelist.ext,1,0x0,0x0,ret=0x0
14,24959,platform_send_app_event,plat,0x10500,0,0x0,0x2E23AD,0x2,0x105,0x0,0x0,0,0,0,0,gamelist.ext,1,0x0,0x0,ret=0x0
15,24965,platform_send_app_event,plat,0x10204,0,0x0,0x2E23AD,0xF,0x682AB4,0x27FAE4,0x0,0,0,0,0,gamelist.ext,1,0x0,0x0,ret=0x0
16,25012,platform_timer,FIRE_EXT,0x2E3099,0,0x0,0x0,0x2E3099,0x2AC8EC,0x682B8C,0x0,0,0,0,0,gamelist.ext,1,0x0,0x0,delivered
17,30066,platform_send_app_event,plat,0x10500,0,0x0,0x2E23AD,0x2,0x105,0x0,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
18,30075,platform_send_app_event,plat,0x10204,0,0x0,0x2E23AD,0xF,0x682AFC,0x27FAE4,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
19,30121,platform_timer,FIRE_EXT,0x2E3099,0,0x0,0x0,0x2E3099,0x2AC8EC,0x682B8C,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,delivered
20,35165,platform_send_app_event,plat,0x10500,0,0x0,0x2E23AD,0x2,0x105,0x0,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
21,35172,platform_send_app_event,plat,0x10204,0,0x0,0x2E23AD,0xF,0x6A14B4,0x27FAE4,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
22,35218,platform_timer,FIRE_EXT,0x2E3099,0,0x0,0x0,0x2E3099,0x2AC8EC,0x682B8C,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,delivered
23,40260,platform_send_app_event,plat,0x10500,0,0x0,0x2E23AD,0x2,0x105,0x0,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
24,40267,platform_send_app_event,plat,0x10204,0,0x0,0x2E23AD,0xF,0x6A14FC,0x27FAE4,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
25,40314,platform_timer,FIRE_EXT,0x2E3099,0,0x0,0x0,0x2E3099,0x2AC8EC,0x682B8C,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,delivered
26,45360,platform_send_app_event,plat,0x10500,0,0x0,0x2E23AD,0x2,0x105,0x0,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
27,45366,platform_send_app_event,plat,0x10204,0,0x0,0x2E23AD,0xF,0x6A1544,0x27FAE4,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
28,45413,platform_timer,FIRE_EXT,0x2E3099,0,0x0,0x0,0x2E3099,0x2AC8EC,0x682B8C,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,delivered
29,50456,platform_send_app_event,plat,0x10500,0,0x0,0x2E23AD,0x2,0x105,0x0,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
30,50463,platform_send_app_event,plat,0x10204,0,0x0,0x2E23AD,0xF,0x6A158C,0x27FAE4,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
31,50509,platform_timer,FIRE_EXT,0x2E3099,0,0x0,0x0,0x2E3099,0x2AC8EC,0x682B8C,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,delivered
32,55551,platform_send_app_event,plat,0x10500,0,0x0,0x2E23AD,0x2,0x105,0x0,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
33,55557,platform_send_app_event,plat,0x10204,0,0x0,0x2E23AD,0xF,0x6A15D4,0x27FAE4,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
34,55602,platform_timer,FIRE_EXT,0x2E3099,0,0x0,0x0,0x2E3099,0x2AC8EC,0x682B8C,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,delivered
35,60644,platform_send_app_event,plat,0x10500,0,0x0,0x2E23AD,0x2,0x105,0x0,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
36,60652,platform_send_app_event,plat,0x10204,0,0x0,0x2E23AD,0xF,0x6A161C,0x27FAE4,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
37,60699,platform_timer,FIRE_EXT,0x2E3099,0,0x0,0x0,0x2E3099,0x2AC8EC,0x682B8C,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,delivered
38,65739,platform_send_app_event,plat,0x10500,0,0x0,0x2E23AD,0x2,0x105,0x0,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
39,65746,platform_send_app_event,plat,0x10204,0,0x0,0x2E23AD,0xF,0x6A1664,0x27FAE4,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
40,65792,platform_timer,FIRE_EXT,0x2E3099,0,0x0,0x0,0x2E3099,0x2AC8EC,0x682B8C,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,delivered
41,70841,platform_send_app_event,plat,0x10500,0,0x0,0x2E23AD,0x2,0x105,0x0,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
42,70847,platform_send_app_event,plat,0x10204,0,0x0,0x2E23AD,0xF,0x6A16AC,0x27FAE4,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
43,70897,platform_timer,FIRE_EXT,0x2E3099,0,0x0,0x0,0x2E3099,0x2AC8EC,0x682B8C,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,delivered
44,75961,platform_send_app_event,plat,0x10500,0,0x0,0x2E23AD,0x2,0x105,0x0,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
45,75971,platform_send_app_event,plat,0x10204,0,0x0,0x2E23AD,0xF,0x6A16F4,0x27FAE4,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
46,76031,platform_timer,FIRE_EXT,0x2E3099,0,0x0,0x0,0x2E3099,0x2AC8EC,0x682B8C,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,delivered
47,81074,platform_send_app_event,plat,0x10500,0,0x0,0x2E23AD,0x2,0x105,0x0,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
48,81080,platform_send_app_event,plat,0x10204,0,0x0,0x2E23AD,0xF,0x6A173C,0x27FAE4,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,ret=0x0
49,81170,platform_timer,FIRE_EXT,0x2E3099,0,0x0,0x0,0x2E3099,0x2AC8EC,0x682B8C,0x0,0,0,0,0,gamelist.ext,2,0x0,0x0,delivered
