seq,method,pc,insn,desc,r0,r1,r5,r8,r9,sp,sp64,sp68,note
1,6,0x89BF0,0xE59D1064,"w=0xE59D1064",0x0,0x682B8C,0x1,0x6,0x280400,0x27F8D8,0x0,0x0,"continuation"
2,6,0x89BF4,0xE1A05000,"MOV r5,r0",0x0,0x0,0x1,0x6,0x280400,0x27F8D8,0x0,0x0,"mov_r5_r0"
3,6,0x89BF8,0xE3510000,"w=0xE3510000",0x0,0x0,0x0,0x6,0x280400,0x27F8D8,0x0,0x0,"ctrl"
4,6,0x89BFC,0x159D2068,"w=0x159D2068",0x0,0x0,0x0,0x6,0x280400,0x27F8D8,0x0,0x0,"step"
5,6,0x89C00,0x13520000,"w=0x13520000",0x0,0x0,0x0,0x6,0x280400,0x27F8D8,0x0,0x0,"step"
6,6,0x89C04,0x0A000002,"Bcond 0x89C14",0x0,0x0,0x0,0x6,0x280400,0x27F8D8,0x0,0x0,"beq_taken_zero_sp64"
7,6,0x89C14,0xE59F10D4,"w=0xE59F10D4",0x0,0x0,0x0,0x6,0x280400,0x27F8D8,0x0,0x0,"step"
8,6,0x89C18,0xE08F1001,"w=0xE08F1001",0x0,0x242D4,0x0,0x6,0x280400,0x27F8D8,0x0,0x0,"step"
9,6,0x89C1C,0xE1A00004,"w=0xE1A00004",0x0,0xADEF4,0x0,0x6,0x280400,0x27F8D8,0x0,0x0,"step"
10,6,0x89C20,0xEB006EBF,"BL 0xA5724",0x2A8264,0xADEF4,0x0,0x6,0x280400,0x27F8D8,0x0,0x0,"bl"
11,6,0x89C24,0xE1A01005,"w=0xE1A01005",0x2A83CC,0x2AD964,0x0,0x6,0x280400,0x27F8D8,0x0,0x0,"step"
12,6,0x89C28,0xE1A00004,"w=0xE1A00004",0x2A83CC,0x0,0x0,0x6,0x280400,0x27F8D8,0x0,0x0,"step"
13,6,0x89C2C,0xEB006EB4,"BL 0xA5704",0x2A8264,0x0,0x0,0x6,0x280400,0x27F8D8,0x0,0x0,"bl"
14,6,0x89C30,0xE3A00002,"MOV r0,#2",0x2A8264,0x2A83D4,0x0,0x6,0x280400,0x27F8D8,0x0,0x0,"epilogue_r0_2"
15,6,0x89C34,0xE28DD070,"w=0xE28DD070",0x2,0x2A83D4,0x0,0x6,0x280400,0x27F8D8,0x0,0x0,"step"
16,6,0x89C38,0xE8BD8DF0,"LDMFD sp!,{r4-r11,pc}",0x2,0x2A83D4,0x0,0x6,0x280400,0x27F948,0x2AF894,0x2A8264,"function_epilogue"
17,0,0x89BF0,0xE59D1064,"w=0xE59D1064",0xFFFFFFFF,0x682B8C,0x2AD964,0x0,0x280400,0x27F8D8,0x0,0x0,"continuation"
18,0,0x89BF4,0xE1A05000,"MOV r5,r0",0xFFFFFFFF,0x0,0x2AD964,0x0,0x280400,0x27F8D8,0x0,0x0,"mov_r5_r0"
19,0,0x89BF8,0xE3510000,"w=0xE3510000",0xFFFFFFFF,0x0,0xFFFFFFFF,0x0,0x280400,0x27F8D8,0x0,0x0,"ctrl"
20,0,0x89BFC,0x159D2068,"w=0x159D2068",0xFFFFFFFF,0x0,0xFFFFFFFF,0x0,0x280400,0x27F8D8,0x0,0x0,"step"
21,0,0x89C00,0x13520000,"w=0x13520000",0xFFFFFFFF,0x0,0xFFFFFFFF,0x0,0x280400,0x27F8D8,0x0,0x0,"step"
22,0,0x89C04,0x0A000002,"Bcond 0x89C14",0xFFFFFFFF,0x0,0xFFFFFFFF,0x0,0x280400,0x27F8D8,0x0,0x0,"beq_taken_zero_sp64"
23,0,0x89C14,0xE59F10D4,"w=0xE59F10D4",0xFFFFFFFF,0x0,0xFFFFFFFF,0x0,0x280400,0x27F8D8,0x0,0x0,"step"
24,0,0x89C18,0xE08F1001,"w=0xE08F1001",0xFFFFFFFF,0x242D4,0xFFFFFFFF,0x0,0x280400,0x27F8D8,0x0,0x0,"step"
25,0,0x89C1C,0xE1A00004,"w=0xE1A00004",0xFFFFFFFF,0xADEF4,0xFFFFFFFF,0x0,0x280400,0x27F8D8,0x0,0x0,"step"
26,0,0x89C20,0xEB006EBF,"BL 0xA5724",0x2A8264,0xADEF4,0xFFFFFFFF,0x0,0x280400,0x27F8D8,0x0,0x0,"bl"
27,0,0x89C24,0xE1A01005,"w=0xE1A01005",0x2A83CC,0x2AD964,0xFFFFFFFF,0x0,0x280400,0x27F8D8,0x0,0x0,"step"
28,0,0x89C28,0xE1A00004,"w=0xE1A00004",0x2A83CC,0xFFFFFFFF,0xFFFFFFFF,0x0,0x280400,0x27F8D8,0x0,0x0,"step"
29,0,0x89C2C,0xEB006EB4,"BL 0xA5704",0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x280400,0x27F8D8,0x0,0x0,"bl"
30,0,0x89C30,0xE3A00002,"MOV r0,#2",0x2A8264,0x2A83D4,0xFFFFFFFF,0x0,0x280400,0x27F8D8,0x0,0x0,"epilogue_r0_2"
31,0,0x89C34,0xE28DD070,"w=0xE28DD070",0x2,0x2A83D4,0xFFFFFFFF,0x0,0x280400,0x27F8D8,0x0,0x0,"step"
32,0,0x89C38,0xE8BD8DF0,"LDMFD sp!,{r4-r11,pc}",0x2,0x2A83D4,0xFFFFFFFF,0x0,0x280400,0x27F948,0x2AF8B0,0x2A8264,"function_epilogue"
33,1,0x89BF0,0xE59D1064,"w=0xE59D1064",0x1,0x682B8C,0x2A835C,0x1,0x280400,0x27F8D8,0x0,0x0,"continuation"
34,1,0x89BF4,0xE1A05000,"MOV r5,r0",0x1,0x0,0x2A835C,0x1,0x280400,0x27F8D8,0x0,0x0,"mov_r5_r0"
35,1,0x89BF8,0xE3510000,"w=0xE3510000",0x1,0x0,0x1,0x1,0x280400,0x27F8D8,0x0,0x0,"ctrl"
36,1,0x89BFC,0x159D2068,"w=0x159D2068",0x1,0x0,0x1,0x1,0x280400,0x27F8D8,0x0,0x0,"step"
37,1,0x89C00,0x13520000,"w=0x13520000",0x1,0x0,0x1,0x1,0x280400,0x27F8D8,0x0,0x0,"step"
38,1,0x89C04,0x0A000002,"Bcond 0x89C14",0x1,0x0,0x1,0x1,0x280400,0x27F8D8,0x0,0x0,"beq_taken_zero_sp64"
39,1,0x89C14,0xE59F10D4,"w=0xE59F10D4",0x1,0x0,0x1,0x1,0x280400,0x27F8D8,0x0,0x0,"step"
40,1,0x89C18,0xE08F1001,"w=0xE08F1001",0x1,0x242D4,0x1,0x1,0x280400,0x27F8D8,0x0,0x0,"step"
41,1,0x89C1C,0xE1A00004,"w=0xE1A00004",0x1,0xADEF4,0x1,0x1,0x280400,0x27F8D8,0x0,0x0,"step"
42,1,0x89C20,0xEB006EBF,"BL 0xA5724",0x2A8264,0xADEF4,0x1,0x1,0x280400,0x27F8D8,0x0,0x0,"bl"
43,1,0x89C24,0xE1A01005,"w=0xE1A01005",0x2ACA0C,0x2AD964,0x1,0x1,0x280400,0x27F8D8,0x0,0x0,"step"
44,1,0x89C28,0xE1A00004,"w=0xE1A00004",0x2ACA0C,0x1,0x1,0x1,0x280400,0x27F8D8,0x0,0x0,"step"
45,1,0x89C2C,0xEB006EB4,"BL 0xA5704",0x2A8264,0x1,0x1,0x1,0x280400,0x27F8D8,0x0,0x0,"bl"
46,1,0x89C30,0xE3A00002,"MOV r0,#2",0x2A8264,0x2ACA14,0x1,0x1,0x280400,0x27F8D8,0x0,0x0,"epilogue_r0_2"
47,1,0x89C34,0xE28DD070,"w=0xE28DD070",0x2,0x2ACA14,0x1,0x1,0x280400,0x27F8D8,0x0,0x0,"step"
48,1,0x89C38,0xE8BD8DF0,"LDMFD sp!,{r4-r11,pc}",0x2,0x2ACA14,0x1,0x1,0x280400,0x27F948,0x2AF8F8,0x2A8264,"function_epilogue"
