seq,pc,module,offset,insn,desc,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,sp,lr,cpsr,note,mem
1,0x86E5C,cfunction.ext,0x6E5C,0xE8BD8038,"LDMFD sp!,{r3,r4,r5,pc}",0x2,0x2ACA14,0x2ACA0C,0x3,0x2A8264,0x321,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x68,0x2E3099,0x27F968,0x89C30,0x600001D3,"parent_resume","R:0x27F968/4"
2,0x97970,cfunction.ext,0x17970,0xE5941008,"w=0xE5941008",0x2,0x2ACA14,0x2ACA0C,0xC,0x2A8264,0x2AC9E4,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x68,0x2E3099,0x27F978,0x89C30,0x600001D3,"","R:0x2A826C/4"
3,0x97974,cfunction.ext,0x17974,0xE28DD008,"w=0xE28DD008",0x2,0x2ACA14,0x2ACA0C,0xC,0x2A8264,0x2AC9E4,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x68,0x2E3099,0x27F978,0x89C30,0x600001D3,"",""
4,0x97978,cfunction.ext,0x17978,0xE0410180,"w=0xE0410180",0x2,0x2ACA14,0x2ACA0C,0xC,0x2A8264,0x2AC9E4,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x68,0x2E3099,0x27F980,0x89C30,0x600001D3,"R0_CONSUME",""
5,0x9797C,cfunction.ext,0x1797C,0xE8BD8DF0,"LDMFD sp!,{r4,r5,r6,r7,r8,r10,r11,pc}",0x2ACA04,0x2ACA14,0x2ACA0C,0xC,0x2A8264,0x2AC9E4,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x68,0x2E3099,0x27F980,0x89C30,0x600001D3,"frame_ldm_pc","R:0x27F980/4"
6,0x9D098,cfunction.ext,0x1D098,0xE3500000,"CMP r0,#0x0",0x2ACA04,0x2ACA14,0x2ACA0C,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x89C30,0x600001D3,"",""
7,0x9D09C,cfunction.ext,0x1D09C,0x0A000014,"Bcond 0x9D0F4",0x2ACA04,0x2ACA14,0x2ACA0C,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x89C30,0x200001D3,"branch_after_r0 NOT_TAKEN ->0x9D0F4",""
8,0x9D0A0,cfunction.ext,0x1D0A0,0xE5941008,"w=0xE5941008",0x2ACA04,0x2ACA14,0x2ACA0C,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x89C30,0x200001D3,"","R:0x2A826C/4"
9,0x9D0A4,cfunction.ext,0x1D0A4,0xE1510000,"w=0xE1510000",0x2ACA04,0x2ACA14,0x2ACA0C,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x89C30,0x200001D3,"",""
10,0x9D0A8,cfunction.ext,0x1D0A8,0x2A000008,"Bcond 0x9D0D0",0x2ACA04,0x2ACA14,0x2ACA0C,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x89C30,0x200001D3,"",""
11,0x9D0D0,cfunction.ext,0x1D0D0,0xE1A02000,"w=0xE1A02000",0x2ACA04,0x2ACA14,0x2ACA0C,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x89C30,0x200001D3,"",""
12,0x9D0D4,cfunction.ext,0x1D0D4,0xE1A00004,"w=0xE1A00004",0x2ACA04,0x2ACA14,0x2ACA04,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x89C30,0x200001D3,"",""
13,0x9D0D8,cfunction.ext,0x1D0D8,0xE1A0100A,"w=0xE1A0100A",0x2A8264,0x2ACA14,0x2ACA04,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x89C30,0x200001D3,"",""
14,0x9D0DC,cfunction.ext,0x1D0DC,0xEBFFE8F9,"BL 0x974C8",0x2A8264,0x0,0x2ACA04,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x89C30,0x200001D3,"",""
15,0x974C8,cfunction.ext,0x174C8,0xE92D4070,"w=0xE92D4070",0x2A8264,0x0,0x2ACA04,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x200001D3,"","W:0x27F990/4"
16,0x974CC,cfunction.ext,0x174CC,0xE1A04000,"w=0xE1A04000",0x2A8264,0x0,0x2ACA04,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x200001D3,"",""
17,0x974D0,cfunction.ext,0x174D0,0xE5D00030,"w=0xE5D00030",0x2A8264,0x0,0x2ACA04,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x200001D3,"","R:0x2A8294/1"
18,0x974D4,cfunction.ext,0x174D4,0xE1A05001,"w=0xE1A05001",0x0,0x0,0x2ACA04,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x200001D3,"",""
