opcode,jt_slot_off,case_off,abs_case,tags,notes
0x00,0x1C588,0x1C624,0x9C624,case;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x01,0x1C58C,0x1C648,0x9C648,case;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x02,0x1C590,0x1C664,0x9C664,case;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x03,0x1C594,0x1C690,0x9C690,case;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x04,0x1C598,0x1C6B4,0x9C6B4,case;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x05,0x1C59C,0x1C6E0,0x9C6E0,case;BL;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x06,0x1C5A0,0x1C744,0x9C744,case;BL;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x07,0x1C5A4,0x1C808,0x9C808,case;BL,ADDLS base=+0x1C588
0x08,0x1C5A8,0x1C828,0x9C828,case;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x09,0x1C5AC,0x1C854,0x9C854,case;BL,ADDLS base=+0x1C588
0x0A,0x1C5B0,0x1C898,0x9C898,case;BL;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x0B,0x1C5B4,0x1C8E4,0x9C8E4,case,ADDLS base=+0x1C588
0x0C,0x1C5B8,0x1C9CC,0x9C9CC,case;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x0D,0x1C5BC,0x1CA4C,0x9CA4C,case;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x0E,0x1C5C0,0x1CACC,0x9CACC,case;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x0F,0x1C5C4,0x1CB4C,0x9CB4C,case;BL;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x10,0x1C5C8,0x1CBCC,0x9CBCC,case;BL;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x11,0x1C5CC,0x1CC18,0x9CC18,case;BL;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x12,0x1C5D0,0x1CCA4,0x9CCA4,case;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x13,0x1C5D4,0x1CCE4,0x9CCE4,case;BL;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x14,0x1C5D8,0x1CD40,0x9CD40,OBSERVED_THIS_RUN;cursor_xform;writes_state;OP14_CURSOR,ADDLS base=+0x1C588;may_write_record_or_object;OBSERVED_op14
0x15,0x1C5DC,0x1CD60,0x9CD60,case;BL;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x16,0x1C5E0,0x1CDF8,0x9CDF8,case;BL;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x17,0x1C5E4,0x1CE68,0x9CE68,case;BL;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x18,0x1C5E8,0x1CFF4,0x9CFF4,case;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x19,0x1C5EC,0x1D070,0x9D070,case;BL;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x1A,0x1C5F0,0x1D070,0x9D070,case;BL;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x1B,0x1C5F4,0x1D1CC,0x9D1CC,OBSERVED_THIS_RUN;list_ops;BL;writes_state;OP1B_LIST,ADDLS base=+0x1C588;may_write_record_or_object;OBSERVED_op1b
0x1C,0x1C5F8,0x1D260,0x9D260,case;BL,ADDLS base=+0x1C588
0x1D,0x1C5FC,0x1D338,0x9D338,case;BL;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x1E,0x1C600,0x1D40C,0x9D40C,case;BL;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x1F,0x1C604,0x1D480,0x9D480,case,ADDLS base=+0x1C588
0x20,0x1C608,0x1D480,0x9D480,case,ADDLS base=+0x1C588
0x21,0x1C60C,0x1D514,0x9D514,case;BL,ADDLS base=+0x1C588
0x22,0x1C610,0x1D548,0x9D548,case;BL;writes_state,ADDLS base=+0x1C588;may_write_record_or_object
0x23,0x1C614,0x1D610,0x9D610,case,ADDLS base=+0x1C588
0x24,0x1C618,0x1D650,0x9D650,case,ADDLS base=+0x1C588
0x25,0x1C61C,0x1D6B4,0x9D6B4,case,ADDLS base=+0x1C588
0x26,0x1C620,0x1D718,0x9D718,case,ADDLS base=+0x1C588
# NOTE: 0x9C41C BEQ +0x1C56C = NORMAL_OPCODE_DISPATCH (not a lock)
# default when opcode>0x26 falls through +0x1C584 -> +0x1C408
