seq,pc,off,insn,desc,r0,r1,r2,r3,r4,r5,r8,r9,r10,sp,lr,note
1,0x9C40C,0x1C40C,0xE4905004,"LDR r5,[r0],#4",0x2AF8F8,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x2020059,0x2AC9E4,0x280400,0x0,0x27F9A0,0x9D0E0,""
2,0x9C410,0x1C410,0xE58D000C,"w=0xE58D000C",0x2AF8FC,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9E4,0x280400,0x0,0x27F9A0,0x9D0E0,""
3,0x9C414,0x1C414,0xE5D40030,"w=0xE5D40030",0x2AF8FC,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9E4,0x280400,0x0,0x27F9A0,0x9D0E0,""
4,0x9C418,0x1C418,0xE310000C,"w=0xE310000C",0x0,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9E4,0x280400,0x0,0x27F9A0,0x9D0E0,""
5,0x9C41C,0x1C41C,0x0A000052,"Bcond 0x9C56C",0x0,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9E4,0x280400,0x0,0x27F9A0,0x9D0E0,""
6,0x9C56C,0x1C56C,0xE594A00C,"w=0xE594A00C",0x0,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9E4,0x280400,0x0,0x27F9A0,0x9D0E0,""
7,0x9C570,0x1C570,0xE1A00C25,"w=0xE1A00C25",0x0,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9E4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
8,0x9C574,0x1C574,0xE08A8180,"w=0xE08A8180",0x0,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9E4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
9,0x9C578,0x1C578,0xE205003F,"w=0xE205003F",0x0,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
10,0x9C57C,0x1C57C,0xE3500026,"w=0xE3500026",0x14,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
11,0x9C580,0x1C580,0x908FF100,"ADDLS pc,pc,r0,LSL#2",0x14,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
12,0x9C5D8,0x1C5D8,0xEA0001D8,"Bcond 0x9CD40",0x14,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
13,0x9CD40,0x1CD40,0xE59F07E0,"w=0xE59F07E0",0x14,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,"op14_enter"
14,0x9CD44,0x1CD44,0xE59D100C,"w=0xE59D100C",0xFFFFC,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
15,0x9CD48,0x1CD48,0xE0000225,"w=0xE0000225",0xFFFFC,0x2AF8FC,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
16,0x9CD4C,0x1CD4C,0xE0800001,"w=0xE0800001",0x80004,0x2AF8FC,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
17,0x9CD50,0x1CD50,0xE59F17D4,"w=0xE59F17D4",0x32F900,0x2AF8FC,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
18,0x9CD54,0x1CD54,0xE0800001,"w=0xE0800001",0x32F900,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
19,0x9CD58,0x1CD58,0xE58D000C,"w=0xE58D000C",0x2AF904,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
20,0x9CD5C,0x1CD5C,0xEAFFFDA9,"Bcond 0x9C408",0x2AF904,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,"op14_loop_back"
