seq,pc,off,insn,desc,r0,r1,r2,r3,r4,r5,r8,r9,r10,sp,lr,note
1,0x9C40C,0x1C40C,0xE4905004,"LDR r5,[r0],#4",0x2AF904,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
2,0x9C410,0x1C410,0xE58D000C,"w=0xE58D000C",0x2AF908,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
3,0x9C414,0x1C414,0xE5D40030,"w=0xE5D40030",0x2AF908,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
4,0x9C418,0x1C418,0xE310000C,"w=0xE310000C",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
5,0x9C41C,0x1C41C,0x0A000052,"Bcond 0x9C56C",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
6,0x9C56C,0x1C56C,0xE594A00C,"w=0xE594A00C",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
7,0x9C570,0x1C570,0xE1A00C25,"w=0xE1A00C25",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
8,0x9C574,0x1C574,0xE08A8180,"w=0xE08A8180",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
9,0x9C578,0x1C578,0xE205003F,"w=0xE205003F",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
10,0x9C57C,0x1C57C,0xE3500026,"w=0xE3500026",0x1B,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
11,0x9C580,0x1C580,0x908FF100,"ADDLS pc,pc,r0,LSL#2",0x1B,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
12,0x9C5F4,0x1C5F4,0xEA0002F4,"Bcond 0x9D1CC",0x1B,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
13,0x9D1CC,0x1D1CC,0xE5940014,"w=0xE5940014",0x1B,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,"op1b_enter"
14,0x9D1D0,0x1D1D0,0xE2406018,"w=0xE2406018",0x2A84CC,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
15,0x9D1D4,0x1D1D4,0xE1A00405,"w=0xE1A00405",0x2A84CC,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
16,0x9D1D8,0x1D1D8,0xE1B00BA0,"w=0xE1B00BA0",0x801B00,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
17,0x9D1DC,0x1D1DC,0x10880180,"w=0x10880180",0x1,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
18,0x9D1E0,0x1D1E0,0x12400008,"w=0x12400008",0x2AC9DC,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
19,0x9D1E4,0x1D1E4,0x15840008,"w=0x15840008",0x2AC9D4,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
20,0x9D1E8,0x1D1E8,0xE5940048,"w=0xE5940048",0x2AC9D4,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
21,0x9D1EC,0x1D1EC,0xE3500000,"w=0xE3500000",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
22,0x9D1F0,0x1D1F0,0x11A0100A,"w=0x11A0100A",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
23,0x9D1F4,0x1D1F4,0x11A00004,"w=0x11A00004",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2AC9D4,0x280400,0x2AC9D4,0x27F9A0,0x9D0E0,""
