seq,pc,off,addr,size,old,new,phase
1,0x974C8,0x174C8,0x27F990,4,0x2AC9E4,0x2A8264,other
2,0x974C8,0x174C8,0x27F994,4,0x0,0x2020059,other
3,0x974C8,0x174C8,0x27F998,4,0x2A83C4,0x2ADF7C,other
4,0x974C8,0x174C8,0x27F99C,4,0x9D098,0x9D0E0,other
5,0x97548,0x17548,0x2A8278,4,0x2A84E4,0x2A84CC,other
6,0x97554,0x17554,0x2A8270,4,0x2AC9EC,0x2AC9D4,other
7,0x975B4,0x175B4,0x2A826C,4,0x2ACA14,0x2AC9E4,other
8,0x9D0EC,0x1D0EC,0x2A826C,4,0x2AC9E4,0x2ACA1C,other
9,0x9C410,0x1C410,0x27F9AC,4,0x2AF8F8,0x2AF8FC,op14
10,0x9CD58,0x1CD58,0x27F9AC,4,0x2AF8FC,0x2AF904,op14
11,0x9C410,0x1C410,0x27F9AC,4,0x2AF904,0x2AF908,op1b
12,0x9D1E4,0x1D1E4,0x2A826C,4,0x2ACA1C,0x2AC9D4,op1b
13,0x9D204,0x1D204,0x2A84D4,4,0x2,0x8,op1b
14,0x9D210,0x1D210,0x2A84D8,4,0x2AF868,0x2AF908,op1b
